evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0/0,63/37,73/27,65/35,50/50,64/36,69/31,64/36,53/47,62/38,56/44,72/28,66/34,68/32,69/31,58/42,62/38,54/46
gpt-4.1-mini,53/47,0/0,56/44,53/47,50/50,45/55,51/49,51/49,48/52,50/50,52/48,54/46,53/47,48/52,49/51,50/50,43/57,51/49
gpt-4o,85/15,68/32,0/0,77/23,51/49,68/32,76/24,80/20,52/48,68/32,54/46,78/22,76/24,80/20,84/16,65/35,61/39,63/37
gpt-4.1,54/46,53/47,51/49,0/0,50/50,54/46,51/49,52/48,50/50,55/45,50/50,53/47,52/48,52/48,49/51,55/45,55/45,49/51
haiku-3.5,51/49,49/51,51/49,50/50,0/0,50/50,50/50,50/50,50/50,51/49,51/49,53/47,48/52,52/48,50/50,49/51,49/51,49/51
sonnet-3.7,36/64,40/60,25/75,45/55,49/51,0/0,41/59,43/57,48/52,40/60,46/54,32/68,35/65,37/63,33/67,45/55,38/62,44/56
sonnet-4.5,49/51,50/50,48/52,38/62,48/52,38/62,0/0,15/85,50/50,42/58,50/50,47/53,49/51,50/50,47/53,27/73,43/57,33/67
opus-4.1,51/49,50/50,51/49,51/49,50/50,49/51,54/46,0/0,50/50,53/47,50/50,48/52,49/51,50/50,51/49,43/57,49/51,50/50
gemini-2.0-flash-lite,49/51,46/54,47/53,46/54,39/61,48/52,48/52,48/52,0/0,48/52,43/57,47/53,46/54,48/52,49/51,49/51,48/52,50/50
gemini-2.0-flash,51/49,51/49,50/50,51/49,49/51,46/54,46/54,49/51,49/51,0/0,49/51,50/50,48/52,51/49,46/54,44/56,43/57,43/57
ll-3.1-8b,58/42,56/44,53/47,55/45,51/49,55/45,55/45,56/44,49/51,55/45,0/0,55/45,56/44,56/44,55/45,52/48,53/47,53/47
ll-3.1-70b,80/20,66/34,82/18,77/23,52/48,73/27,77/23,81/19,57/43,66/34,54/46,0/0,82/18,80/20,81/19,59/41,65/35,62/38
ll-3.1-405b,68/32,56/44,68/32,64/36,50/50,57/43,70/30,63/37,49/51,62/38,54/46,76/24,0/0,64/36,70/30,60/40,54/46,55/45
qwen-2.5-7b,82/18,74/26,87/13,82/18,57/43,86/14,85/15,81/19,54/46,70/30,56/44,80/20,74/26,0/0,81/19,62/38,82/18,73/27
qwen-2.5-72b,65/35,55/45,64/36,70/30,50/50,53/47,69/31,70/30,50/50,62/38,51/49,65/35,65/35,66/34,0/0,55/45,55/45,52/48
qwen-3.0-80b,50/50,49/51,49/51,52/48,50/50,48/52,49/51,50/50,50/50,50/50,50/50,50/50,50/50,50/50,50/50,0/0,52/48,47/53
deepseek-3.1,51/49,50/50,50/50,54/46,50/50,46/54,50/50,49/51,50/50,47/53,49/51,50/50,50/50,52/48,46/54,47/53,0/0,49/51
kimi-k2,51/49,52/48,50/50,54/46,51/49,53/47,58/42,56/44,50/50,51/49,49/50,52/48,51/48,52/48,52/48,61/39,57/43,0/0
