evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.63,0.73,0.65,0.5,0.64,0.69,0.64,0.53,0.62,0.56,0.72,0.66,0.68,0.69,0.58,0.62,0.54
gpt-4.1-mini,0.53,,0.56,0.53,0.5,0.45,0.51,0.51,0.48,0.5,0.52,0.54,0.53,0.48,0.49,0.5,0.43,0.51
gpt-4o,0.85,0.68,,0.77,0.51,0.68,0.76,0.8,0.52,0.68,0.54,0.78,0.76,0.8,0.84,0.65,0.61,0.63
gpt-4.1,0.54,0.53,0.51,,0.5,0.54,0.51,0.52,0.5,0.55,0.5,0.53,0.52,0.52,0.49,0.55,0.55,0.49
haiku-3.5,0.51,0.49,0.51,0.5,,0.5,0.5,0.5,0.5,0.51,0.51,0.53,0.48,0.52,0.5,0.49,0.49,0.49
sonnet-3.7,0.36,0.4,0.25,0.45,0.49,,0.41,0.43,0.48,0.4,0.46,0.32,0.35,0.37,0.33,0.45,0.38,0.44
sonnet-4.5,0.49,0.5,0.48,0.38,0.48,0.38,,0.15,0.5,0.42,0.5,0.47,0.49,0.5,0.47,0.27,0.43,0.33
opus-4.1,0.51,0.5,0.51,0.51,0.5,0.49,0.54,,0.5,0.53,0.5,0.48,0.49,0.5,0.51,0.43,0.49,0.5
gemini-2.0-flash-lite,0.49,0.46,0.47,0.46,0.39,0.48,0.48,0.48,,0.48,0.43,0.47,0.46,0.48,0.49,0.49,0.48,0.5
gemini-2.0-flash,0.51,0.51,0.5,0.51,0.49,0.46,0.46,0.49,0.49,,0.49,0.5,0.48,0.51,0.46,0.44,0.43,0.43
ll-3.1-8b,0.58,0.56,0.53,0.55,0.51,0.55,0.55,0.56,0.49,0.55,,0.55,0.56,0.56,0.55,0.52,0.53,0.53
ll-3.1-70b,0.8,0.66,0.82,0.77,0.52,0.73,0.77,0.81,0.57,0.66,0.54,,0.82,0.8,0.81,0.59,0.65,0.62
ll-3.1-405b,0.68,0.56,0.68,0.64,0.5,0.57,0.7,0.63,0.49,0.62,0.54,0.76,,0.64,0.7,0.6,0.54,0.55
qwen-2.5-7b,0.82,0.74,0.87,0.82,0.57,0.86,0.85,0.81,0.54,0.7,0.56,0.8,0.74,,0.81,0.62,0.82,0.73
qwen-2.5-72b,0.65,0.55,0.64,0.7,0.5,0.53,0.69,0.7,0.5,0.62,0.51,0.65,0.65,0.66,,0.55,0.55,0.52
qwen-3.0-80b,0.5,0.49,0.49,0.52,0.5,0.48,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.52,0.47
deepseek-3.1,0.51,0.5,0.5,0.54,0.5,0.46,0.5,0.49,0.5,0.47,0.49,0.5,0.5,0.52,0.46,0.47,,0.49
kimi-k2,0.51,0.52,0.5,0.54,0.51,0.53,0.58,0.56,0.5,0.51,0.494949494949495,0.52,0.5151515151515151,0.52,0.52,0.61,0.57,
