evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.020000000000000018,0.020000000000000018,0.13,0.010000000000000009,0.1200000000000001,0.36,0.39,0.020000000000000018,0.13,0.039999999999999925,0.08000000000000002,0.07999999999999996,0.12,0.05999999999999997,0.07999999999999999,0.13,0.10999999999999996
gpt-4.1-mini,0.019999999999999962,,0.07999999999999996,0.01999999999999999,0.04999999999999993,0.21000000000000002,0.09,0.11,0.06000000000000005,0.030000000000000027,0.039999999999999925,0.020000000000000018,0.02999999999999997,0.08000000000000002,0.020000000000000046,0.009999999999999992,0.12999999999999995,0.009999999999999953
gpt-4o,0.020000000000000018,0.07999999999999996,,0.2799999999999999,0.0,0.19000000000000006,0.36,0.44999999999999996,0.030000000000000027,0.19999999999999996,0.010000000000000009,0.09999999999999998,0.18000000000000005,0.13,0.25999999999999995,0.18,0.21000000000000008,0.24999999999999994
gpt-4.1,0.13,0.020000000000000018,0.2799999999999999,,0.0,0.050000000000000044,0.26999999999999996,0.20999999999999996,0.040000000000000036,0.21999999999999997,0.050000000000000044,0.24,0.09999999999999998,0.33999999999999997,0.13,0.12999999999999995,0.10999999999999999,0.13000000000000003
haiku-3.5,0.010000000000000037,0.04999999999999996,2.7755575615628914e-17,0.0,,0.010000000000000009,0.020000000000000018,0.0,0.09000000000000008,0.020000000000000018,0.0,0.029999999999999943,0.019999999999999962,0.01000000000000005,0.019999999999999983,0.01,0.01,4.163336342344337e-17
sonnet-3.7,0.1200000000000001,0.20999999999999996,0.19000000000000006,0.050000000000000044,0.010000000000000009,,0.03,0.07999999999999999,0.020000000000000018,0.08000000000000007,0.030000000000000027,0.10999999999999999,0.08000000000000007,0.22999999999999998,0.22000000000000003,0.10999999999999999,5.551115123125783e-17,0.03
sonnet-4.5,0.36,0.08999999999999997,0.36,0.2699999999999999,0.020000000000000018,0.030000000000000027,,0.13,0.020000000000000018,0.21999999999999997,0.050000000000000044,0.26,0.22999999999999998,0.37,0.31999999999999995,0.66,0.07000000000000006,0.19000000000000006
opus-4.1,0.39,0.10999999999999999,0.44999999999999996,0.20999999999999996,0.0,0.07999999999999996,0.13,,0.0,0.12,0.06000000000000005,0.29000000000000004,0.26,0.37,0.49,0.41000000000000003,0.05999999999999994,5.551115123125783e-17
gemini-2.0-flash-lite,0.020000000000000018,0.06000000000000005,0.02999999999999997,0.040000000000000036,0.09000000000000002,0.019999999999999962,0.02,1.734723475976807e-17,,0.009999999999999974,0.040000000000000036,0.03999999999999995,0.030000000000000027,0.019999999999999962,0.009999999999999981,0.01,0.02,0.019999999999999983
gemini-2.0-flash,0.13,0.030000000000000027,0.19999999999999996,0.21999999999999997,0.020000000000000018,0.08000000000000007,0.21999999999999997,0.12,0.010000000000000009,,0.020000000000000018,0.07999999999999996,0.12,0.08999999999999997,0.12000000000000005,0.12000000000000005,0.08000000000000002,0.14000000000000004
ll-3.1-8b,0.03999999999999998,0.03999999999999998,0.009999999999999953,0.050000000000000044,2.7755575615628914e-17,0.02999999999999997,0.05,0.06,0.04000000000000001,0.019999999999999962,,0.009999999999999995,0.019999999999999962,5.551115123125783e-17,0.039999999999999994,0.02,0.01999999999999999,0.028974358974359016
ll-3.1-70b,0.07999999999999996,0.020000000000000018,0.09999999999999998,0.24,0.029999999999999916,0.10999999999999999,0.25999999999999995,0.29,0.039999999999999925,0.07999999999999996,0.010000000000000009,,0.0,0.0,0.14,0.08999999999999998,0.04999999999999999,0.15999999999999995
ll-3.1-405b,0.07999999999999996,0.030000000000000027,0.18000000000000005,0.09999999999999998,0.020000000000000018,0.08000000000000007,0.22999999999999998,0.26,0.030000000000000027,0.12,0.019999999999999907,0.0,,0.08000000000000007,0.09000000000000002,0.19999999999999998,0.12,0.15948717948717955
qwen-2.5-7b,0.12,0.08000000000000007,0.13,0.33999999999999997,0.010000000000000009,0.22999999999999998,0.37,0.37,0.019999999999999907,0.09000000000000002,0.0,0.0,0.08000000000000007,,0.13,0.13999999999999999,0.22000000000000003,0.24999999999999994
qwen-2.5-72b,0.05999999999999994,0.020000000000000018,0.2599999999999999,0.13,0.020000000000000018,0.22000000000000008,0.31999999999999995,0.49,0.010000000000000009,0.12,0.040000000000000036,0.14,0.09000000000000008,0.13,,0.03000000000000004,0.15000000000000002,0.12000000000000002
qwen-3.0-80b,0.07999999999999996,0.010000000000000009,0.17999999999999994,0.1299999999999999,0.010000000000000009,0.10999999999999999,0.66,0.41000000000000003,0.010000000000000009,0.12,0.020000000000000018,0.08999999999999997,0.19999999999999996,0.14,0.030000000000000027,,0.08999999999999997,0.11999999999999994
deepseek-3.1,0.13,0.1299999999999999,0.21000000000000008,0.10999999999999999,0.010000000000000009,0.0,0.07,0.05999999999999994,0.020000000000000018,0.07999999999999996,0.020000000000000018,0.04999999999999993,0.12,0.21999999999999997,0.15000000000000002,0.09,,0.0
kimi-k2,0.10999999999999999,0.010000000000000009,0.25,0.13,0.0,0.030000000000000027,0.19000000000000006,0.0,0.020000000000000018,0.14,0.02897435897435907,0.15999999999999992,0.1594871794871795,0.25,0.12,0.11999999999999988,0.0,
