evaluator,performance,n_samples
gpt-4o-mini,0.5041176470588236,1800.0
gpt-4.1-mini,0.5176470588235295,1800.0
gpt-4o,0.5994117647058823,1800.0
gpt-4.1,0.6076470588235294,1800.0
haiku-3.5,0.5573529411764706,1800.0
sonnet-3.7,0.6347058823529412,1800.0
sonnet-4.5,0.6120588235294118,1800.0
opus-4.1,0.6536425339366516,1800.0
gemini-2.0-flash-lite,0.19647058823529412,1800.0
gemini-2.0-flash,0.5158823529411765,1800.0
ll-3.1-8b,0.1738235294117647,1800.0
ll-3.1-70b,0.5155882352941177,1800.0
ll-3.1-405b,0.4626470588235294,1800.0
qwen-2.5-7b,0.5605882352941176,1800.0
qwen-2.5-72b,0.6023529411764705,1800.0
qwen-3.0-80b,0.5191176470588236,1800.0
deepseek-3.1,0.5788235294117647,1800.0
kimi-k2,0.6399999999999999,1800.0
