evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.8,0.19,0.02,0.1,0.49,0.03,0.06,0.04,0.79,0.16,0.9,0.21,0.3,0.1,0.04,0.01,0.04,0.06
gpt-4.1-mini,0.2,0.9,0.01,0.1,0.12,0.0,0.02,0.0,0.57,0.1,0.7,0.14,0.19,0.07,0.03,0.0,0.02,0.03
gpt-4o,0.2,0.17,0.98,0.1,0.6,0.0,0.02,0.03,0.79,0.18,0.89,0.24,0.29,0.1,0.03,0.01,0.01,0.06
gpt-4.1,0.18,0.13,0.05,0.97,0.42,0.01,0.06,0.05,0.76,0.23,0.84,0.36,0.44,0.3,0.1,0.01,0.09,0.14
haiku-3.5,0.21,0.18,0.02,0.11,0.97,0.01,0.02,0.03,0.53,0.06,0.71,0.19,0.21,0.08,0.03,0.01,0.02,0.04
sonnet-3.7,0.2,0.21,0.03,0.11,0.61,1.0,0.01,0.01,0.88,0.35,0.94,0.32,0.33,0.26,0.11,0.04,0.05,0.12
sonnet-4.5,0.44,0.46,0.33,0.33,0.68,0.33,0.72,0.4,0.78,0.57,0.89,0.51,0.56,0.55,0.43,0.48,0.38,0.45
opus-4.1,0.34,0.41,0.15,0.18,0.7,0.04,0.02,0.98,0.9,0.33,0.93,0.3838461538461539,0.4,0.46,0.17,0.04,0.04,0.07
gemini-2.0-flash-lite,0.27,0.39,0.05,0.23,0.85,0.01,0.01,0.0,0.18,0.26,0.88,0.16,0.29,0.1,0.03,0.02,0.01,0.06
gemini-2.0-flash,0.22,0.25,0.04,0.11,0.58,0.0,0.0,0.0,0.75,0.82,0.87,0.18,0.27,0.19,0.05,0.02,0.01,0.06
ll-3.1-8b,0.28,0.42,0.08,0.27,0.82,0.03,0.09,0.06,0.86,0.32,0.11,0.16,0.28,0.12,0.03,0.05,0.06,0.11
ll-3.1-70b,0.2,0.22,0.02,0.1,0.61,0.0,0.0,0.0,0.83,0.22,0.89,0.82,0.28,0.11,0.02,0.02,0.02,0.05
ll-3.1-405b,0.2,0.2,0.02,0.14,0.69,0.0,0.0,0.0,0.84,0.24,0.9,0.16,0.72,0.05,0.01,0.0,0.0,0.04
qwen-2.5-7b,0.24,0.23,0.04,0.1,0.3,0.02,0.04,0.02,0.54,0.16,0.77,0.15,0.29,0.94,0.04,0.03,0.05,0.06
qwen-2.5-72b,0.21,0.19,0.02,0.11,0.53,0.0,0.02,0.0,0.78,0.18,0.88,0.17,0.28,0.04,1.0,0.02,0.0,0.05
qwen-3.0-80b,0.0,0.02,0.04,0.01,0.0,0.0,0.02,0.03,0.02,0.0,0.15,0.04,0.02,0.18,0.06,1.0,0.04,0.02
deepseek-3.1,0.2,0.16,0.02,0.1,0.13,0.0,0.0,0.01,0.64,0.07,0.83,0.14,0.24,0.08,0.02,0.0,1.0,0.04
kimi-k2,0.41,0.39,0.27,0.26,0.7,0.11,0.16,0.14,0.88,0.38,0.92,0.47,0.49,0.46,0.25,0.24,0.27,0.88
