evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,1.1159089057251951e-09,2.7027625220487884e-10,7.969072864542661e-27,3.0632901754379845e-17,0.9204107626128211,2.630866896130179e-25,2.005959521923613e-21,6.449688895763542e-24,4.3373666334216375e-09,2.6059358186561004e-12,3.0632901754379845e-17,4.3373666334216375e-09,7.85013964559367e-05,3.0632901754379845e-17,6.449688895763542e-24,1.5934990285464438e-28,6.449688895763542e-24,2.005959521923613e-21
gpt-4.1-mini,1.1159089057251951e-09,3.0632901754379845e-17,1.5934990285464438e-28,3.0632901754379845e-17,1.9113575360277063e-15,1.5777218104420236e-30,7.969072864542661e-27,1.5777218104420236e-30,0.1933479044956428,3.0632901754379845e-17,7.85013964559367e-05,8.284451872080075e-14,2.7027625220487884e-10,2.726143732806038e-20,2.630866896130179e-25,1.5777218104420236e-30,7.969072864542661e-27,2.630866896130179e-25
gpt-4o,1.1159089057251951e-09,1.3097998650070218e-11,7.969072864542661e-27,3.0632901754379845e-17,0.056887933640980784,1.5777218104420236e-30,7.969072864542661e-27,2.630866896130179e-25,4.3373666334216375e-09,6.147806615047975e-11,2.540853335492305e-16,1.8100026213029253e-07,3.2160015295666335e-05,3.0632901754379845e-17,2.630866896130179e-25,1.5934990285464438e-28,1.5934990285464438e-28,2.005959521923613e-21
gpt-4.1,6.147806615047975e-11,1.312981552203585e-14,1.252324512538536e-22,2.630866896130179e-25,0.13321061920721386,1.5934990285464438e-28,2.005959521923613e-21,1.252324512538536e-22,1.8100026213029253e-07,5.513580775850052e-08,2.6059358186561004e-12,0.006637120515926128,0.2712530240738354,7.85013964559367e-05,3.0632901754379845e-17,1.5934990285464438e-28,3.3220489794536525e-18,8.284451872080075e-14
haiku-3.5,4.3373666334216375e-09,6.147806615047975e-11,7.969072864542661e-27,2.540853335492305e-16,2.630866896130179e-25,1.5934990285464438e-28,7.969072864542661e-27,2.630866896130179e-25,0.6172994135892521,2.005959521923613e-21,3.2160015295666335e-05,2.7027625220487884e-10,4.3373666334216375e-09,3.208563668244003e-19,2.630866896130179e-25,1.5934990285464438e-28,7.969072864542661e-27,6.449688895763542e-24
sonnet-3.7,1.1159089057251951e-09,4.3373666334216375e-09,2.630866896130179e-25,2.540853335492305e-16,0.03520020021770479,1.5777218104420236e-30,1.5934990285464438e-28,1.5934990285464438e-28,1.9113575360277063e-15,0.0035176417229701587,2.005959521923613e-21,0.00040877716742681523,0.0008737198369123724,1.6673626494501009e-06,2.540853335492305e-16,6.449688895763542e-24,1.252324512538536e-22,1.9113575360277063e-15
sonnet-4.5,0.2712530240738354,0.48411841360729146,0.0008737198369123724,0.0008737198369123724,0.00040877716742681523,0.0008737198369123724,1.2579150016678854e-05,0.056887933640980784,1.5905328473786136e-08,0.1933479044956428,2.540853335492305e-16,0.9204107626128211,0.2712530240738354,0.36820161732669576,0.1933479044956428,0.7643534344026669,0.02097873567785172,0.36820161732669576
opus-4.1,0.0017899303914868528,0.08862608011406767,4.825421503937195e-13,6.147806615047975e-11,7.85013964559367e-05,6.449688895763542e-24,7.969072864542661e-27,7.969072864542661e-27,3.0632901754379845e-17,0.0008737198369123724,2.726143732806038e-20,0.02097873567785172,0.056887933640980784,0.48411841360729146,1.3097998650070218e-11,6.449688895763542e-24,6.449688895763542e-24,2.726143732806038e-20
gemini-2.0-flash-lite,4.69241261264223e-06,0.03520020021770479,1.252324512538536e-22,5.513580775850052e-08,4.825421503937195e-13,1.5934990285464438e-28,1.5934990285464438e-28,1.5777218104420236e-30,6.147806615047975e-11,1.6673626494501009e-06,1.9113575360277063e-15,2.6059358186561004e-12,3.2160015295666335e-05,3.0632901754379845e-17,2.630866896130179e-25,7.969072864542661e-27,1.5934990285464438e-28,2.005959521923613e-21
gemini-2.0-flash,1.5905328473786136e-08,5.636282034205402e-07,6.449688895763542e-24,2.540853335492305e-16,0.13321061920721386,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,5.636282034205402e-07,6.147806615047975e-11,1.312981552203585e-14,6.147806615047975e-11,4.69241261264223e-06,2.7027625220487884e-10,1.252324512538536e-22,7.969072864542661e-27,1.5934990285464438e-28,2.005959521923613e-21
