evaluator,performance,n_samples
gpt-oss-120b-thinking,0.39559034458213344,2300
opus-4.1-thinking,0.8799999999999999,2300
gemini-2.5-pro-thinking,0.9221739130434783,2300
qwen-3.0-80b-thinking,0.8913043478260869,2300
deepseek-r1-thinking,0.7608695652173914,2300
kimi-k2-thinking,0.8583083964090829,2300
gpt-4o-mini,0.47869565217391313,2300
gpt-4.1-mini,0.4082608695652174,2300
gpt-4o,0.5830094466936572,2300
gpt-4.1,0.5973913043478261,2300
haiku-3.5,0.36086956521739133,2300
sonnet-3.7,0.6347826086956523,2300
sonnet-4.5,0.7034782608695652,2300
opus-4.1,0.8247826086956521,2300
gemini-2.0-flash-lite,0.17173913043478262,2300
gemini-2.0-flash,0.5069565217391304,2300
ll-3.1-8b,0.12391304347826085,2300
ll-3.1-70b,0.5178260869565218,2300
ll-3.1-405b,0.4930434782608696,2300
qwen-2.5-7b,0.5786956521739129,2300
qwen-2.5-72b,0.592608695652174,2300
qwen-3.0-80b,0.8608695652173912,2300
deepseek-3.1,0.5860869565217391,2300
kimi-k2,0.7143701226309922,2300
