evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,0.55,0.68,0.6122448979591837,0.6666666666666666,0.6262626262626263,0.5625,0.6767676767676768,0.68,0.5416666666666666,0.5454545454545454,0.6363636363636364,0.59,0.5858585858585859,0.5612244897959183,0.6161616161616161,0.5494505494505495,0.6262626262626263,0.6526315789473685,0.5454545454545454,0.73,0.57,0.58,0.6224489795918368
opus-4.1-thinking,0.51,,0.6,0.55,0.59,0.66,0.51,0.55,0.53,0.5,0.5,0.68,0.74,0.75,0.5,0.54,0.51,0.53,0.51,0.51,0.5,0.52,0.58,0.53
gemini-2.5-pro-thinking,0.51,0.54,,0.87,0.67,0.84,0.5,0.5,0.5,0.57,0.5,0.5,0.53,0.52,0.5,0.53,0.5,0.5,0.51,0.5,0.52,0.71,0.57,0.84
qwen-3.0-80b-thinking,0.51,0.6,0.77,,0.69,0.85,0.55,0.52,0.56,0.59,0.5,0.52,0.61,0.6,0.51,0.64,0.5,0.58,0.56,0.55,0.58,0.72,0.58,0.73
deepseek-r1-thinking,0.51,0.75,0.81,0.74,,0.82,0.57,0.59,0.57,0.72,0.49,0.6,0.8,0.75,0.51,0.54,0.51,0.66,0.62,0.58,0.72,0.77,0.67,0.74
kimi-k2-thinking,0.51,0.67,0.8947368421052632,0.85,0.8163265306122449,,0.53,0.52,0.51,0.5858585858585859,0.5050505050505051,0.6,0.75,0.66,0.52,0.6464646464646465,0.5,0.52,0.52,0.52,0.58,0.71,0.6666666666666666,0.7878787878787878
gpt-4o-mini,0.59,0.86,0.76,0.67,0.84,0.84,,0.84,0.91,0.87,0.55,0.87,0.88,0.86,0.56,0.81,0.6,0.86,0.82,0.85,0.89,0.81,0.86,0.85
gpt-4.1-mini,0.5,0.81,0.75,0.57,0.71,0.76,0.78,,0.8,0.66,0.52,0.77,0.79,0.79,0.56,0.7,0.54,0.8,0.74,0.78,0.77,0.61,0.68,0.74
gpt-4o,0.5,0.96,0.84,0.7,0.88,0.89,0.8787878787878788,0.797979797979798,,0.88,0.55,0.96,0.95,0.93,0.56,0.8282828282828283,0.5306122448979592,0.85,0.84,0.86,0.96,0.88,0.92,0.84
gpt-4.1,0.55,0.92,0.81,0.91,0.94,0.92,0.85,0.87,0.9,,0.55,0.92,0.87,0.91,0.57,0.8,0.55,0.81,0.79,0.68,0.85,0.93,0.91,0.87
haiku-3.5,0.5,0.58,0.55,0.61,0.62,0.65,0.55,0.56,0.7,0.51,,0.55,0.53,0.52,0.47,0.56,0.51,0.57,0.59,0.66,0.67,0.6,0.5,0.64
sonnet-3.7,0.48,0.33,0.49,0.44,0.44,0.48,0.32,0.33,0.29,0.37,0.44,,0.38,0.32,0.33,0.39,0.43,0.33,0.3,0.35,0.32,0.4,0.31,0.49
sonnet-4.5,0.43,0.04,0.08,0.11,0.08,0.12,0.33,0.26,0.32,0.18,0.25,0.09,,0.01,0.38,0.27,0.38,0.34,0.36,0.41,0.36,0.23,0.09,0.08
opus-4.1,0.48,0.11,0.5,0.56,0.41,0.27,0.49,0.38,0.45,0.36,0.38,0.16,0.19,,0.44,0.47,0.49,0.48,0.46,0.49,0.5,0.5,0.24,0.44
gemini-2.0-flash-lite,0.5,0.52,0.5,0.5,0.51,0.51,0.52,0.55,0.5,0.51,0.39,0.52,0.52,0.53,,0.5,0.49,0.5,0.49,0.53,0.52,0.52,0.5,0.5
gemini-2.0-flash,0.5,0.71,0.54,0.53,0.63,0.61,0.59,0.64,0.6,0.69,0.52,0.66,0.7,0.68,0.49,,0.57,0.67,0.6,0.61,0.68,0.63,0.73,0.6
ll-3.1-8b,0.73,0.56,0.55,0.55,0.55,0.56,0.6,0.59,0.56,0.56,0.55,0.56,0.55,0.56,0.54,0.57,,0.58,0.59,0.57,0.55,0.55,0.56,0.55
ll-3.1-70b,0.54,0.92,0.9,0.92,0.92,0.91,0.87,0.85,0.89,0.9,0.72,0.91,0.92,0.92,0.6,0.83,0.59,,0.85,0.9,0.91,0.93,0.9,0.89
ll-3.1-405b,0.54,0.75,0.8,0.82,0.79,0.79,0.78,0.73,0.76,0.6,0.53,0.72,0.76,0.75,0.51,0.63,0.55,0.78,,0.61,0.73,0.66,0.71,0.6
qwen-2.5-7b,0.51,0.96,0.97,0.86,0.95,0.95,0.9,0.83,0.97,0.9,0.59,0.98,0.96,0.97,0.58,0.86,0.56,0.87,0.83,,0.98,0.89,0.98,0.96
qwen-2.5-72b,0.5,0.95,0.97,0.96,0.99,0.99,0.88,0.86,0.99,0.93,0.86,0.99,0.98,0.97,0.59,0.89,0.55,0.9,0.86,0.92,,0.98,0.99,0.95
qwen-3.0-80b,0.5,0.52,0.82,0.67,0.73,0.86,0.49,0.5,0.49,0.53,0.5,0.5,0.59,0.53,0.5,0.59,0.5,0.5,0.51,0.49,0.53,,0.6,0.77
deepseek-3.1,0.5,0.64,0.66,0.61,0.63,0.63,0.69,0.64,0.73,0.67,0.51,0.71,0.64,0.63,0.5,0.66,0.52,0.69,0.65,0.67,0.72,0.69,,0.63
kimi-k2,0.5252525252525253,0.7878787878787878,0.8,0.8,0.84,0.83,0.65,0.74,0.64,0.6868686868686869,0.53,0.72,0.77,0.84,0.52,0.63,0.52,0.64,0.6464646464646465,0.64,0.69,0.82,0.73,
