evaluator,deviation
gpt-oss-120b-thinking,0.20986162954698417
opus-4.1-thinking,0.21858340788546737
gemini-2.5-pro-thinking,0.0969565217391305
qwen-3.0-80b-thinking,0.047858942957911044
deepseek-r1-thinking,0.06456521739130439
kimi-k2-thinking,0.14251774922255467
gpt-4o-mini,0.07021739130434779
gpt-4.1-mini,0.018043478260869605
gpt-4o,0.056892076903518496
gpt-4.1,0.1436956521739131
haiku-3.5,0.07449275362318841
sonnet-3.7,0.2144035674470457
sonnet-4.5,0.0939130434782609
opus-4.1,0.18839206750711512
gemini-2.0-flash-lite,-0.2767391304347826
gemini-2.0-flash,-0.02717391304347827
ll-3.1-8b,-0.07195652173913047
ll-3.1-70b,0.008695652173913104
ll-3.1-405b,0.02717391304347827
qwen-2.5-7b,0.05500000000000005
qwen-2.5-72b,0.1169565217391304
qwen-3.0-80b,0.004347826086956497
deepseek-3.1,0.019565217391304346
kimi-k2,0.07000000000000006
