evaluator,performance,n_samples
gpt-oss-120b-thinking,0.7098616295469842,2400.0
opus-4.1-thinking,0.7185834078854674,2400.0
gemini-2.5-pro-thinking,0.5969565217391305,2400.0
qwen-3.0-80b-thinking,0.547858942957911,2400.0
deepseek-r1-thinking,0.5645652173913044,2400.0
kimi-k2-thinking,0.6425177492225547,2400.0
gpt-4o-mini,0.5702173913043478,2400.0
gpt-4.1-mini,0.5180434782608696,2400.0
gpt-4o,0.5568920769035185,2400.0
gpt-4.1,0.6436956521739131,2400.0
haiku-3.5,0.5744927536231884,2400.0
sonnet-3.7,0.7144035674470457,2400.0
sonnet-4.5,0.5939130434782609,2400.0
opus-4.1,0.6883920675071151,2400.0
gemini-2.0-flash-lite,0.22326086956521743,2400.0
gemini-2.0-flash,0.47282608695652173,2400.0
ll-3.1-8b,0.4280434782608695,2400.0
ll-3.1-70b,0.5086956521739131,2400.0
ll-3.1-405b,0.5271739130434783,2400.0
qwen-2.5-7b,0.555,2400.0
qwen-2.5-72b,0.6169565217391304,2400.0
qwen-3.0-80b,0.5043478260869565,2400.0
deepseek-3.1,0.5195652173913043,2400.0
kimi-k2,0.5700000000000001,2400.0
