evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,0.7164346164346165,0.7959696538643908,0.8382661782661782,0.5777327935222673,0.6783625730994152,0.7573684210526315,0.7039118065433854,0.6427067669172932,0.7515789473684211,0.6175791175791177,0.4878378378378379,0.7023847376788553,0.8234817813765183,0.8402633402633403,0.5820135925399084,0.71264377159114,0.48663101604278075,0.7289473684210526,0.6908187134502924,0.7476923076923078,0.8026315789473684,0.6771794871794872,0.6821696696696696,0.8474673202614379
opus-4.1-thinking,0.9885714285714287,0.57,0.96,1.0,0.88,0.83,1.0,0.9588888888888889,0.9894736842105263,0.9167567567567567,0.6456140350877192,0.4,0.49,0.44,0.99,0.94,0.9786628733997155,0.98,0.9271255060728746,1.0,0.98,1.0,0.67,0.9797435897435898
gemini-2.5-pro-thinking,0.95,0.0,1.0,0.03,0.0,0.0,0.2,0.13,0.03,0.08,0.49,0.0,0.0,0.0,0.82,0.22,0.78,0.17,0.29,0.19,0.01,0.03,0.0,0.04
qwen-3.0-80b-thinking,0.7938310708898944,0.04051282051282051,0.1412820512820513,0.9794871794871796,0.0,0.011111111111111112,0.07372688477951636,0.061282051282051275,0.011111111111111112,0.02052631578947368,0.0,0.0,0.03,0.02,0.06629588431590656,0.05236167341430499,0.5881460407776197,0.15685888317467264,0.16526315789473686,0.31891891891891894,0.05102564102564102,0.0,0.02,0.05105263157894736
deepseek-r1-thinking,0.88,0.0,0.04,0.0,0.99,0.02,0.15,0.1,0.01,0.06,0.14,0.0,0.0,0.02,0.47,0.1,0.66,0.12,0.22,0.11,0.03,0.0,0.01,0.06
kimi-k2-thinking,0.9897435897435898,0.05210526315789474,0.10283400809716597,0.22421052631578944,0.10205128205128204,0.97,0.3241025641025641,0.30230769230769233,0.11,0.21,0.6838461538461539,0.06,0.05,0.05,0.9,0.36,0.92,0.39,0.36,0.41,0.2,0.18282051282051281,0.0917948717948718,0.17
gpt-4o-mini,0.59,0.35,0.34,0.14,0.2,0.3,0.81,0.3,0.21,0.28,0.46,0.24,0.38,0.31,0.64,0.32,0.6,0.3,0.32,0.34,0.17,0.13,0.26,0.42
gpt-4.1-mini,0.2,0.0,0.04,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.01,0.12,0.04,0.26,0.05,0.02,0.05,0.02,0.0,0.0,0.0
gpt-4o,0.6611111111111111,0.010256410256410255,0.16333333333333336,0.0,0.01,0.01,0.09153846153846153,0.08,0.99,0.05,0.08,0.02,0.03,0.03,0.31,0.05076923076923077,0.602051282051282,0.19230769230769235,0.2025910931174089,0.0923076923076923,0.01,0.02,0.02,0.11076923076923077
gpt-4.1,0.87,0.26,0.68,0.58,0.51,0.45,0.36,0.24,0.28,0.8,0.43,0.13,0.31,0.26,0.92,0.5,0.91,0.57,0.59,0.73,0.4,0.58,0.3,0.35
haiku-3.5,0.6966666666666665,0.26,0.48,0.3,0.24,0.35,0.29,0.25,0.31,0.26,0.8,0.13,0.36,0.28,0.4,0.4,0.58,0.4,0.35,0.4,0.31,0.27,0.3,0.41
sonnet-3.7,0.95,0.5143589743589744,0.87,0.86,0.83,0.9084615384615384,0.37,0.42,0.21,0.32,0.66,0.81,0.65,0.39,0.89,0.46461538461538465,0.91,0.53,0.5358974358974359,0.52,0.26,0.84,0.39,0.9392307692307693
sonnet-4.5,1.0,0.73,0.97,1.0,0.91,0.91,0.98,0.92,0.98,0.97,0.9,0.77,0.25,0.72,1.0,0.99,1.0,0.99,1.0,1.0,0.99,1.0,0.85,0.99
opus-4.1,0.9862068965517241,0.42,0.96,1.0,0.91,0.87,0.9894736842105263,0.9159459459459459,0.9794736842105263,0.8667567567567568,0.62,0.41,0.5,0.51,0.98,0.96,0.99,0.99,0.9484345479082321,0.99,0.9897435897435898,1.0,0.69,0.97
gemini-2.0-flash-lite,0.97,0.09,0.07,0.01,0.06,0.0,0.47,0.54,0.31,0.28,0.86,0.28,0.09,0.08,0.13,0.42,0.88,0.4,0.45,0.36,0.2,0.1,0.24,0.12
gemini-2.0-flash,0.71,0.42,0.27,0.39,0.3,0.34,0.64,0.62,0.64,0.48,0.68,0.52,0.45,0.37,0.78,0.41,0.76,0.61,0.66,0.67,0.61,0.44,0.54,0.42
ll-3.1-8b,0.79,0.52,0.44,0.51,0.49,0.5,0.59,0.56,0.5,0.54,0.53,0.5,0.54,0.52,0.6,0.55,0.32,0.54,0.57,0.51,0.5,0.53,0.51,0.49
ll-3.1-70b,0.97,0.44,0.11,0.46,0.56,0.44,0.32,0.3,0.23,0.44,0.33,0.26,0.46,0.36,0.78,0.57,0.79,0.55,0.47,0.42,0.24,0.7,0.31,0.79
ll-3.1-405b,0.98,0.05,0.46,0.76,0.37,0.64,0.19,0.18,0.01,0.15,0.42,0.0,0.08,0.03,0.83,0.17,0.91,0.19,0.71,0.08,0.07,0.52,0.14,0.69
qwen-2.5-7b,0.97,0.03,0.01,0.0,0.0,0.0,0.25,0.31,0.13,0.14,0.45,0.02,0.03,0.07,0.61,0.13,0.8,0.17,0.3,0.91,0.06,0.01,0.04,0.07
qwen-2.5-72b,0.98,0.17,0.17,0.08,0.12,0.17,0.2,0.16,0.01,0.12,0.22,0.03,0.12,0.11,0.82,0.24,0.9,0.22,0.31,0.13,0.99,0.02,0.07,0.24
qwen-3.0-80b,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.1,0.02,1.0,0.01,0.0
deepseek-3.1,0.16,0.0,0.15,0.05,0.03,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.18,0.03,0.01,0.11,0.02,0.01,1.0,0.04
kimi-k2,0.77,0.27,0.33,0.51,0.41,0.31,0.53,0.53,0.4,0.45,0.65,0.29,0.31,0.3,0.86,0.58,0.84,0.64,0.62,0.61,0.4,0.3,0.36,0.65
