evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,1.2579150016678854e-05,1.1159089057251951e-09,2.6059358186561004e-12,0.13321061920721386,0.00040877716742681523,1.8100026213029253e-07,7.85013964559367e-05,0.006637120515926128,5.636282034205402e-07,0.02097873567785172,0.9204107626128211,7.85013964559367e-05,6.147806615047975e-11,2.6059358186561004e-12,0.13321061920721386,3.2160015295666335e-05,0.9204107626128211,4.69241261264223e-06,0.00018314322488235366,5.636282034205402e-07,1.1159089057251951e-09,0.00040877716742681523,0.00040877716742681523,4.825421503937195e-13
opus-4.1-thinking,1.5934990285464438e-28,0.1933479044956428,6.449688895763542e-24,1.5777218104420236e-30,1.9113575360277063e-15,1.3097998650070218e-11,1.5777218104420236e-30,6.449688895763542e-24,1.5934990285464438e-28,3.208563668244003e-19,0.0035176417229701587,0.056887933640980784,0.9204107626128211,0.2712530240738354,1.5934990285464438e-28,2.005959521923613e-21,7.969072864542661e-27,7.969072864542661e-27,2.726143732806038e-20,1.5777218104420236e-30,7.969072864542661e-27,1.5777218104420236e-30,0.0008737198369123724,7.969072864542661e-27
gemini-2.5-pro-thinking,1.252324512538536e-22,1.5777218104420236e-30,1.5777218104420236e-30,2.630866896130179e-25,1.5777218104420236e-30,1.5777218104420236e-30,1.1159089057251951e-09,1.312981552203585e-14,2.630866896130179e-25,3.208563668244003e-19,0.9204107626128211,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,6.147806615047975e-11,1.5905328473786136e-08,1.5905328473786136e-08,1.3097998650070218e-11,3.2160015295666335e-05,2.7027625220487884e-10,1.5934990285464438e-28,2.630866896130179e-25,1.5777218104420236e-30,6.449688895763542e-24
qwen-3.0-80b-thinking,4.3373666334216375e-09,6.449688895763542e-24,8.284451872080075e-14,7.969072864542661e-27,1.5777218104420236e-30,1.5934990285464438e-28,2.726143732806038e-20,2.005959521923613e-21,1.5934990285464438e-28,7.969072864542661e-27,1.5777218104420236e-30,1.5777218104420236e-30,2.630866896130179e-25,7.969072864542661e-27,2.726143732806038e-20,1.252324512538536e-22,0.08862608011406767,2.6059358186561004e-12,1.3097998650070218e-11,0.00040877716742681523,1.252324512538536e-22,1.5777218104420236e-30,7.969072864542661e-27,1.252324512538536e-22
deepseek-r1-thinking,1.9113575360277063e-15,1.5777218104420236e-30,6.449688895763542e-24,1.5777218104420236e-30,1.5934990285464438e-28,7.969072864542661e-27,4.825421503937195e-13,3.0632901754379845e-17,1.5934990285464438e-28,2.005959521923613e-21,8.284451872080075e-14,1.5777218104420236e-30,1.5777218104420236e-30,7.969072864542661e-27,0.6172994135892521,3.0632901754379845e-17,0.0017899303914868528,1.9113575360277063e-15,1.5905328473786136e-08,2.540853335492305e-16,2.630866896130179e-25,1.5777218104420236e-30,1.5934990285464438e-28,2.005959521923613e-21
kimi-k2-thinking,1.5934990285464438e-28,1.252324512538536e-22,3.0632901754379845e-17,1.5905328473786136e-08,3.0632901754379845e-17,2.630866896130179e-25,0.00040877716742681523,7.85013964559367e-05,2.540853335492305e-16,4.3373666334216375e-09,0.00040877716742681523,2.005959521923613e-21,1.252324512538536e-22,1.252324512538536e-22,3.0632901754379845e-17,0.006637120515926128,3.208563668244003e-19,0.03520020021770479,0.006637120515926128,0.08862608011406767,1.1159089057251951e-09,6.147806615047975e-11,3.3220489794536525e-18,1.3097998650070218e-11
gpt-4o-mini,0.08862608011406767,0.0035176417229701587,0.0017899303914868528,8.284451872080075e-14,1.1159089057251951e-09,7.85013964559367e-05,2.7027625220487884e-10,7.85013964559367e-05,4.3373666334216375e-09,1.2579150016678854e-05,0.48411841360729146,1.8100026213029253e-07,0.02097873567785172,0.00018314322488235366,0.006637120515926128,0.00040877716742681523,0.056887933640980784,7.85013964559367e-05,0.00040877716742681523,0.0017899303914868528,1.3097998650070218e-11,1.312981552203585e-14,1.6673626494501009e-06,0.13321061920721386
gpt-4.1-mini,1.1159089057251951e-09,1.5777218104420236e-30,6.449688895763542e-24,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,1.5777218104420236e-30,1.5934990285464438e-28,1.9113575360277063e-15,6.449688895763542e-24,1.6673626494501009e-06,1.252324512538536e-22,7.969072864542661e-27,1.252324512538536e-22,7.969072864542661e-27,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30
gpt-4o,0.0017899303914868528,1.5934990285464438e-28,2.6059358186561004e-12,1.5777218104420236e-30,1.5934990285464438e-28,1.5934990285464438e-28,3.3220489794536525e-18,3.208563668244003e-19,1.5934990285464438e-28,1.252324512538536e-22,3.208563668244003e-19,7.969072864542661e-27,2.630866896130179e-25,2.630866896130179e-25,0.00018314322488235366,1.252324512538536e-22,0.056887933640980784,2.7027625220487884e-10,1.1159089057251951e-09,3.3220489794536525e-18,1.5934990285464438e-28,7.969072864542661e-27,7.969072864542661e-27,2.540853335492305e-16
gpt-4.1,1.312981552203585e-14,1.6673626494501009e-06,0.00040877716742681523,0.13321061920721386,0.9204107626128211,0.36820161732669576,0.006637120515926128,1.8100026213029253e-07,1.2579150016678854e-05,1.1159089057251951e-09,0.1933479044956428,1.312981552203585e-14,0.00018314322488235366,1.6673626494501009e-06,3.208563668244003e-19,1.0,3.3220489794536525e-18,0.1933479044956428,0.08862608011406767,4.69241261264223e-06,0.056887933640980784,0.13321061920721386,7.85013964559367e-05,0.0035176417229701587
haiku-3.5,7.85013964559367e-05,1.6673626494501009e-06,0.7643534344026669,7.85013964559367e-05,1.8100026213029253e-07,0.0035176417229701587,3.2160015295666335e-05,5.636282034205402e-07,0.00018314322488235366,1.6673626494501009e-06,1.1159089057251951e-09,1.312981552203585e-14,0.006637120515926128,1.2579150016678854e-05,0.056887933640980784,0.056887933640980784,0.13321061920721386,0.056887933640980784,0.0035176417229701587,0.056887933640980784,0.00018314322488235366,4.69241261264223e-06,7.85013964559367e-05,0.08862608011406767
sonnet-3.7,1.252324512538536e-22,0.9204107626128211,1.312981552203585e-14,8.284451872080075e-14,1.3097998650070218e-11,3.3220489794536525e-18,0.012032975725363479,0.13321061920721386,4.3373666334216375e-09,0.00040877716742681523,0.0017899303914868528,2.7027625220487884e-10,0.0035176417229701587,0.03520020021770479,2.540853335492305e-16,0.48411841360729146,3.3220489794536525e-18,0.6172994135892521,0.48411841360729146,0.7643534344026669,1.6673626494501009e-06,2.6059358186561004e-12,0.03520020021770479,2.005959521923613e-21
sonnet-4.5,1.5777218104420236e-30,4.69241261264223e-06,2.630866896130179e-25,1.5777218104420236e-30,3.3220489794536525e-18,3.3220489794536525e-18,7.969072864542661e-27,3.208563668244003e-19,7.969072864542661e-27,2.630866896130179e-25,3.0632901754379845e-17,5.513580775850052e-08,5.636282034205402e-07,1.2579150016678854e-05,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,1.5777218104420236e-30,1.5934990285464438e-28,1.5777218104420236e-30,4.825421503937195e-13,1.5934990285464438e-28
opus-4.1,1.5934990285464438e-28,0.13321061920721386,6.449688895763542e-24,1.5777218104420236e-30,3.3220489794536525e-18,1.312981552203585e-14,1.5934990285464438e-28,3.208563668244003e-19,7.969072864542661e-27,1.312981552203585e-14,0.02097873567785172,0.08862608011406767,1.0,0.9204107626128211,7.969072864542661e-27,6.449688895763542e-24,1.5934990285464438e-28,1.5934990285464438e-28,1.252324512538536e-22,1.5934990285464438e-28,1.5934990285464438e-28,1.5777218104420236e-30,0.00018314322488235366,2.630866896130179e-25
gemini-2.0-flash-lite,2.630866896130179e-25,3.3220489794536525e-18,2.726143732806038e-20,1.5934990285464438e-28,2.005959521923613e-21,1.5777218104420236e-30,0.6172994135892521,0.48411841360729146,0.00018314322488235366,1.2579150016678854e-05,8.284451872080075e-14,1.2579150016678854e-05,3.3220489794536525e-18,3.208563668244003e-19,1.312981552203585e-14,0.13321061920721386,1.9113575360277063e-15,0.056887933640980784,0.36820161732669576,0.006637120515926128,1.1159089057251951e-09,3.0632901754379845e-17,1.8100026213029253e-07,1.9113575360277063e-15
gemini-2.0-flash,3.2160015295666335e-05,0.13321061920721386,4.69241261264223e-06,0.03520020021770479,7.85013964559367e-05,0.0017899303914868528,0.006637120515926128,0.02097873567785172,0.006637120515926128,0.7643534344026669,0.00040877716742681523,0.7643534344026669,0.36820161732669576,0.012032975725363479,1.5905328473786136e-08,0.08862608011406767,1.8100026213029253e-07,0.03520020021770479,0.0017899303914868528,0.0008737198369123724,0.03520020021770479,0.2712530240738354,0.48411841360729146,0.13321061920721386
ll-3.1-8b,4.3373666334216375e-09,0.7643534344026669,0.2712530240738354,0.9204107626128211,0.9204107626128211,1.0,0.08862608011406767,0.2712530240738354,1.0,0.48411841360729146,0.6172994135892521,1.0,0.48411841360729146,0.7643534344026669,0.056887933640980784,0.36820161732669576,0.00040877716742681523,0.48411841360729146,0.1933479044956428,0.9204107626128211,1.0,0.6172994135892521,0.9204107626128211,0.9204107626128211
ll-3.1-70b,2.630866896130179e-25,0.2712530240738354,2.540853335492305e-16,0.48411841360729146,0.2712530240738354,0.2712530240738354,0.00040877716742681523,7.85013964559367e-05,5.513580775850052e-08,0.2712530240738354,0.0008737198369123724,1.6673626494501009e-06,0.48411841360729146,0.006637120515926128,1.5905328473786136e-08,0.1933479044956428,4.3373666334216375e-09,0.36820161732669576,0.6172994135892521,0.13321061920721386,1.8100026213029253e-07,7.85013964559367e-05,0.00018314322488235366,4.3373666334216375e-09
ll-3.1-405b,7.969072864542661e-27,1.252324512538536e-22,0.48411841360729146,1.8100026213029253e-07,0.012032975725363479,0.006637120515926128,2.7027625220487884e-10,6.147806615047975e-11,1.5934990285464438e-28,4.825421503937195e-13,0.13321061920721386,1.5777218104420236e-30,3.208563668244003e-19,2.630866896130179e-25,1.3097998650070218e-11,1.3097998650070218e-11,3.3220489794536525e-18,2.7027625220487884e-10,3.2160015295666335e-05,3.208563668244003e-19,2.726143732806038e-20,0.7643534344026669,8.284451872080075e-14,0.00018314322488235366
qwen-2.5-7b,2.630866896130179e-25,2.630866896130179e-25,1.5934990285464438e-28,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,5.636282034205402e-07,0.00018314322488235366,1.312981552203585e-14,8.284451872080075e-14,0.36820161732669576,7.969072864542661e-27,2.630866896130179e-25,2.726143732806038e-20,0.03520020021770479,1.312981552203585e-14,1.1159089057251951e-09,1.3097998650070218e-11,7.85013964559367e-05,3.3220489794536525e-18,2.005959521923613e-21,1.5934990285464438e-28,6.449688895763542e-24,2.726143732806038e-20
qwen-2.5-72b,7.969072864542661e-27,1.3097998650070218e-11,1.3097998650070218e-11,3.208563668244003e-19,1.9113575360277063e-15,1.3097998650070218e-11,1.1159089057251951e-09,2.6059358186561004e-12,1.5934990285464438e-28,1.9113575360277063e-15,1.5905328473786136e-08,2.630866896130179e-25,1.9113575360277063e-15,2.540853335492305e-16,6.147806615047975e-11,1.8100026213029253e-07,3.0632901754379845e-17,1.5905328473786136e-08,0.00018314322488235366,1.312981552203585e-14,1.5934990285464438e-28,7.969072864542661e-27,2.726143732806038e-20,1.8100026213029253e-07
