evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.6153846153846154,0.4,0.5,0.7,0.375,0.4,0.375,0.725,0.475,0.325,0.4,0.75,0.475,0.5,0.45,0.375,0.4,0.375
gpt-4.1-mini,0.425,,0.325,0.325,0.725,0.3,0.25,0.225,0.725,0.375,0.075,0.25,0.875,0.4,0.5,0.45,0.25,0.125,0.225
gpt-4o,0.5789473684210527,0.7105263157894737,,0.55,0.9,0.5,0.5,0.525,0.9487179487179487,0.6153846153846154,0.4,0.5,0.925,0.625,0.675,0.575,0.4,0.375,0.35
gpt-4.1,0.625,0.6,0.5,,0.725,0.45,0.5,0.5,0.825,0.625,0.5,0.7,0.875,0.65,0.725,0.75,0.6,0.55,0.45
haiku-3.5,0.575,0.525,0.5,0.5,,0.4,0.475,0.35,0.625,0.5,0.45,0.55,0.9,0.5641025641025641,0.65,0.475,0.5,0.425,0.35
sonnet-3.7,0.55,0.325,0.625,0.425,0.15,,0.775,0.65,0.225,0.6,0.5,0.975,0.475,0.55,0.45,0.55,0.725,0.9,0.45
sonnet-4.5,0.675,0.65,0.625,0.55,0.775,0.625,,0.525,0.85,0.825,0.65,0.85,0.825,0.6666666666666666,0.725,0.825,0.775,0.8,0.575
opus-4.1,0.925,0.825,0.825,0.8,0.525,0.575,0.45,,0.8,0.95,0.875,0.95,0.85,0.8717948717948718,0.85,0.925,0.925,0.925,0.775
gemini-2.0-flash-lite,0.35,0.425,0.25,0.275,0.6,0.05,0.025,0.075,,0.175,0.075,0.0,0.7,0.25,0.275,0.225,0.125,0.025,0.05
gemini-2.0-flash,0.675,0.675,0.6,0.475,0.75,0.5,0.35,0.4,0.625,,0.325,0.3,0.875,0.625,0.625,0.6,0.525,0.225,0.425
gemini-2.5-flash,0.975,0.975,0.925,0.95,1.0,0.85,0.725,0.775,1.0,0.8,,0.2,1.0,0.975,0.975,0.925,0.875,0.525,0.85
gemini-2.5-pro,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.95,0.725,,1.0,1.0,1.0,1.0,1.0,0.875,0.95
ll-3.1-8b,0.3,0.275,0.125,0.225,0.075,0.075,0.05,0.075,0.2,0.1,0.075,0.05,,0.175,0.225,0.075,0.075,0.125,0.075
ll-3.1-70b,0.525,0.55,0.4358974358974359,0.475,0.575,0.4358974358974359,0.4,0.425,0.675,0.5,0.4,0.4,0.775,,0.525,0.4,0.4,0.45,0.425
ll-3.1-405b,0.55,0.425,0.375,0.25,0.6,0.225,0.4,0.325,0.725,0.575,0.35,0.5,0.775,0.5,,0.525,0.525,0.575,0.275
qwen-2.5-7b,0.625,0.7,0.525,0.6,0.875,0.5,0.5,0.5,0.9,0.6,0.5,0.45,0.925,0.575,0.65,,0.525,0.5,0.5
qwen-2.5-72b,0.65,0.675,0.525,0.575,0.7,0.5,0.5,0.525,0.9,0.7,0.475,0.55,0.95,0.6,0.65,0.6,,0.475,0.475
qwen-3.0-80b,0.975,0.925,0.975,0.95,0.85,0.975,0.95,0.85,0.85,0.85,0.625,0.5,0.85,0.95,0.925,0.975,0.975,,0.925
deepseek-3.1,0.8,0.95,0.7,0.7,1.0,0.5,0.225,0.3,1.0,0.775,0.3,0.1,0.95,0.725,0.9,0.8,0.65,0.2,
