evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.19038461538461543,-0.17894736842105263,-0.125,0.125,-0.17500000000000004,-0.275,-0.55,0.375,-0.20000000000000007,-0.6499999999999999,-0.6,0.45,-0.050000000000000044,-0.050000000000000044,-0.175,-0.275,-0.575,-0.42500000000000004
gpt-4.1-mini,-0.19038461538461543,,-0.38552631578947366,-0.27499999999999997,0.19999999999999996,-0.025000000000000022,-0.4,-0.6,0.3,-0.30000000000000004,-0.9,-0.75,0.6,-0.15000000000000002,0.07500000000000001,-0.24999999999999994,-0.42500000000000004,-0.8,-0.725
gpt-4o,0.17894736842105263,0.38552631578947366,,0.050000000000000044,0.4,-0.125,-0.125,-0.29999999999999993,0.6987179487179487,0.015384615384615441,-0.525,-0.5,0.8,0.1891025641025641,0.30000000000000004,0.04999999999999993,-0.125,-0.6,-0.35
gpt-4.1,0.125,0.27499999999999997,-0.050000000000000044,,0.22499999999999998,0.025000000000000022,-0.050000000000000044,-0.30000000000000004,0.5499999999999999,0.15000000000000002,-0.44999999999999996,-0.275,0.65,0.17500000000000004,0.475,0.15000000000000002,0.025000000000000022,-0.3999999999999999,-0.24999999999999994
haiku-3.5,-0.125,-0.19999999999999996,-0.4,-0.22499999999999998,,0.25,-0.30000000000000004,-0.17500000000000004,0.025000000000000022,-0.25,-0.55,-0.44999999999999996,0.8250000000000001,-0.010897435897435859,0.050000000000000044,-0.4,-0.19999999999999996,-0.425,-0.65
sonnet-3.7,0.17500000000000004,0.025000000000000022,0.125,-0.025000000000000022,-0.25,,0.15000000000000002,0.07500000000000007,0.175,0.09999999999999998,-0.35,-0.025000000000000022,0.39999999999999997,0.11410256410256414,0.225,0.050000000000000044,0.22499999999999998,-0.07499999999999996,-0.04999999999999999
sonnet-4.5,0.275,0.4,0.125,0.050000000000000044,0.30000000000000004,-0.15000000000000002,,0.07500000000000001,0.825,0.475,-0.07499999999999996,-0.15000000000000002,0.7749999999999999,0.2666666666666666,0.32499999999999996,0.32499999999999996,0.275,-0.1499999999999999,0.35
opus-4.1,0.55,0.6,0.29999999999999993,0.30000000000000004,0.17500000000000004,-0.07500000000000007,-0.07500000000000001,,0.7250000000000001,0.5499999999999999,0.09999999999999998,-0.050000000000000044,0.775,0.4467948717948718,0.5249999999999999,0.42500000000000004,0.4,0.07500000000000007,0.47500000000000003
gemini-2.0-flash-lite,-0.375,-0.3,-0.6987179487179487,-0.5499999999999999,-0.025000000000000022,-0.175,-0.825,-0.7250000000000001,,-0.45,-0.925,-1.0,0.49999999999999994,-0.42500000000000004,-0.44999999999999996,-0.675,-0.775,-0.825,-0.95
gemini-2.0-flash,0.20000000000000007,0.30000000000000004,-0.015384615384615441,-0.15000000000000002,0.25,-0.09999999999999998,-0.475,-0.5499999999999999,0.45,,-0.47500000000000003,-0.6499999999999999,0.775,0.125,0.050000000000000044,0.0,-0.17499999999999993,-0.625,-0.35000000000000003
