evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.04038461538461546,0.021052631578947323,0.125,0.2749999999999999,0.07499999999999996,0.07500000000000007,0.30000000000000004,0.07499999999999996,0.15000000000000002,0.3,0.4,0.050000000000000044,0.0,0.050000000000000044,0.07500000000000001,0.025000000000000022,0.375,0.17500000000000004
gpt-4.1-mini,0.04038461538461541,,0.035526315789473684,0.07500000000000001,0.25,0.37500000000000006,0.09999999999999998,0.04999999999999996,0.15000000000000002,0.050000000000000044,0.049999999999999975,0.25,0.15000000000000002,0.04999999999999993,0.07499999999999996,0.14999999999999997,0.07499999999999996,0.050000000000000044,0.17499999999999996
gpt-4o,0.021052631578947323,0.03552631578947363,,0.050000000000000044,0.4,0.125,0.125,0.35,0.19871794871794868,0.2153846153846154,0.32500000000000007,0.5,0.050000000000000044,0.0608974358974359,0.050000000000000044,0.09999999999999998,0.07499999999999996,0.35,0.04999999999999993
gpt-4.1,0.125,0.07500000000000007,0.050000000000000044,,0.22499999999999998,0.12499999999999994,0.050000000000000044,0.30000000000000004,0.09999999999999998,0.09999999999999998,0.44999999999999996,0.6749999999999999,0.09999999999999998,0.125,0.025000000000000022,0.35,0.17499999999999993,0.5,0.14999999999999997
haiku-3.5,0.2749999999999999,0.25,0.4,0.22499999999999998,,0.44999999999999996,0.25,0.125,0.22499999999999998,0.25,0.45,0.55,0.025000000000000022,0.13910256410256405,0.25,0.35,0.19999999999999996,0.27499999999999997,0.35
sonnet-3.7,0.07499999999999996,0.37499999999999994,0.125,0.12500000000000006,0.44999999999999996,,0.4,0.22499999999999998,0.725,0.09999999999999998,0.35,0.975,0.45000000000000007,0.014102564102564052,0.325,0.050000000000000044,0.22499999999999998,0.875,0.04999999999999999
sonnet-4.5,0.07500000000000007,0.09999999999999998,0.125,0.050000000000000044,0.25,0.4,,0.025000000000000022,0.125,0.17499999999999993,0.375,0.85,0.125,0.06666666666666665,0.125,0.32499999999999996,0.275,0.75,0.20000000000000007
opus-4.1,0.30000000000000004,0.04999999999999993,0.35,0.30000000000000004,0.125,0.22499999999999998,0.024999999999999967,,0.125,0.35,0.65,0.95,0.07500000000000007,0.29679487179487185,0.17499999999999993,0.42500000000000004,0.45000000000000007,0.775,0.07500000000000007
gemini-2.0-flash-lite,0.07499999999999996,0.14999999999999997,0.19871794871794868,0.09999999999999998,0.22499999999999998,0.725,0.12500000000000003,0.12499999999999996,,0.2,0.075,0.0,0.10000000000000009,0.07499999999999996,0.0,0.12500000000000003,0.025000000000000022,0.12500000000000003,0.05
gemini-2.0-flash,0.15000000000000002,0.050000000000000044,0.2153846153846154,0.09999999999999998,0.25,0.09999999999999998,0.17499999999999993,0.35,0.19999999999999996,,0.12500000000000006,,0.025000000000000022,0.125,0.19999999999999996,0.19999999999999996,0.22499999999999998,0.07499999999999998,0.2
gemini-2.5-flash,0.29999999999999993,0.04999999999999993,0.32500000000000007,0.44999999999999996,0.44999999999999996,0.35,0.375,0.65,0.07499999999999996,0.125,,0.07500000000000001,0.07499999999999996,0.375,0.32499999999999996,0.42500000000000004,0.35,0.15000000000000002,0.15000000000000002
gemini-2.5-pro,0.4,0.25,0.5,0.6749999999999999,0.55,0.975,0.85,0.95,0.0,,0.07500000000000007,,0.050000000000000044,0.4,0.5,0.44999999999999996,0.55,0.375,0.04999999999999993
ll-3.1-8b,0.04999999999999999,0.15000000000000002,0.050000000000000044,0.1,0.02499999999999998,0.45,0.12500000000000006,0.07500000000000002,0.10000000000000003,0.024999999999999994,0.075,0.05,,0.04999999999999999,2.7755575615628914e-17,4.163336342344337e-17,0.024999999999999953,0.025000000000000022,0.024999999999999953
ll-3.1-70b,0.0,0.04999999999999993,0.0608974358974359,0.125,0.13910256410256405,0.014102564102564052,0.06666666666666665,0.2967948717948718,0.07499999999999996,0.125,0.375,0.4,0.04999999999999993,,0.025000000000000022,0.025000000000000022,0.0,0.39999999999999997,0.14999999999999997
