,row_mean,col_mean,difference
gemini-2.5-pro,0.9708333333333332,0.45694444444444443,0.5138888888888888
gemini-2.5-flash,0.8500000000000001,0.42361111111111105,0.42638888888888904
qwen-3.0-80b,0.8819444444444444,0.4708333333333333,0.4111111111111111
opus-4.1,0.8123219373219375,0.4666666666666667,0.3456552706552708
sonnet-4.5,0.7106481481481481,0.4708333333333333,0.23981481481481481
deepseek-3.1,0.6430555555555556,0.4722222222222222,0.1708333333333334
sonnet-3.7,0.55,0.49088319088319093,0.05911680911680911
gpt-4.1,0.6194444444444445,0.5611111111111111,0.05833333333333335
qwen-2.5-72b,0.6124999999999999,0.5680555555555556,0.04444444444444429
gpt-4o,0.591865347128505,0.5686609686609686,0.023204378467536424
qwen-2.5-7b,0.6083333333333334,0.6180555555555556,-0.009722222222222188
gemini-2.0-flash,0.5319444444444444,0.610576923076923,-0.07863247863247858
ll-3.1-70b,0.48732193732193735,0.6209757834757834,-0.13365384615384607
gpt-4o-mini,0.4786324786324787,0.6543859649122807,-0.17575348627980203
haiku-3.5,0.5174501424501424,0.6958333333333333,-0.17838319088319088
ll-3.1-405b,0.4708333333333333,0.6569444444444446,-0.18611111111111123
gpt-4.1-mini,0.37916666666666665,0.6569950517318939,-0.2778283850652272
gemini-2.0-flash-lite,0.21944444444444444,0.7554843304843305,-0.5360398860398861
ll-3.1-8b,0.13194444444444448,0.848611111111111,-0.7166666666666666
