evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.0,deepseek-3.1
gpt-4o-mini,,0.575,0.4,0.5,0.7,0.375,0.375,0.75,0.475,0.275,0.325,0.8,0.45,0.45,0.35,0.375,0.4,0.375
gpt-4.1-mini,0.4,,0.325,0.275,0.7,0.225,0.2,0.725,0.325,0.125,0.275,0.85,0.375,0.45,0.225,0.1,0.25,0.225
gpt-4o,0.6,0.625,,0.55,0.925,0.5,0.5,0.9,0.625,0.4,0.625,0.925,0.625,0.65,0.475,0.375,0.5,0.475
gpt-4.1,0.6,0.6,0.575,,0.825,0.425,0.425,0.9,0.775,0.45,0.625,0.85,0.65,0.825,0.6,0.675,0.5,0.475
haiku-3.5,0.55,0.55,0.425,0.375,,0.3,0.25,0.625,0.5,0.35,0.375,0.875,0.525,0.425,0.4,0.15,0.325,0.2
sonnet-3.7,0.425,0.3,0.55,0.325,0.375,,0.55,0.725,0.65,0.3,0.85,0.375,0.525,0.575,0.6,0.7,0.575,0.375
sonnet-4.5,0.425,0.35,0.55,0.35,0.475,0.425,,0.775,0.575,0.575,0.925,0.575,0.475,0.825,0.65,0.875,0.575,0.5
gemini-2.0-flash-lite,0.475,0.525,0.325,0.3,0.65,0.05,0.075,,0.175,0.1125,0.125,0.65,0.325,0.25,0.25,0.225,0.2,0.125
gemini-2.0-flash,0.65,0.65,0.5,0.475,0.65,0.45,0.375,0.7875,,0.23750000000000002,0.325,0.825,0.55,0.55,0.55,0.325,0.35,0.3
gemini-2.5-flash,1.0,0.925,0.85,0.95,1.0,0.8,0.675,1.0,0.7875000000000001,,0.175,1.0,0.95,0.925,0.85,0.475,0.9,0.825
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.875,,1.0,1.0,1.0,1.0,0.875,1.0,0.925
ll-3.1-8b,0.225,0.2,0.1,0.2,0.075,0.05,0.05,0.2,0.075,0.05,0.05,,0.2,0.075,0.05,0.05,0.1,0.075
ll-3.1-70b,0.6,0.625,0.45,0.475,0.575,0.4,0.4,0.775,0.625,0.425,0.425,0.8,,0.475,0.425,0.425,0.475,0.4
qwen-2.5-7b,0.625,0.7,0.525,0.6,0.775,0.5,0.5,0.8,0.6,0.5,0.475,0.925,0.575,,0.525,0.5,0.5,0.5
qwen-2.5-72b,0.65,0.675,0.525,0.575,0.725,0.5,0.475,0.925,0.7,0.5,0.525,0.95,0.575,0.625,,0.475,0.5,0.425
qwen-3.0-80b,0.8,0.85,0.825,0.725,0.75,0.775,0.55,0.775,0.675,0.525,0.55,0.975,0.675,0.7,0.725,,0.725,0.725
deepseek-3.0,0.675,0.75,0.525,0.575,0.925,0.475,0.375,0.95,0.675,0.375,0.425,0.95,0.6,0.625,0.5,0.1,,0.425
deepseek-3.1,0.85,0.8,0.7,0.625,0.95,0.55,0.275,0.95,0.775,0.3,0.3,0.95,0.675,0.825,0.65,0.15,0.55,
