evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.75,0.45,0.4,0.725,0.55,0.35,0.325,0.75,0.275,0.025,0.25,0.85,0.5,0.4358974358974359,0.55,0.15,0.275,0.4
gpt-4.1-mini,0.25,,0.175,0.225,0.725,0.225,0.1,0.05,0.75,0.275,0.05,0.05,0.85,0.25,0.325,0.25,0.05,0.075,0.15
gpt-4o,0.6111111111111112,0.6842105263157895,,0.6388888888888888,0.9,0.4722222222222222,0.5428571428571428,0.4722222222222222,0.925,0.6842105263157895,0.40540540540540543,0.4117647058823529,0.9473684210526315,0.5945945945945946,0.6052631578947368,0.6285714285714286,0.3888888888888889,0.47368421052631576,0.4864864864864865
gpt-4.1,0.725,0.775,0.55,,0.75,0.5,0.475,0.45,0.825,0.475,0.1,0.225,0.8717948717948718,0.775,0.7435897435897436,0.725,0.45,0.25,0.4
haiku-3.5,0.3,0.475,0.05,0.225,,0.025,0.025,0.025,0.625,0.2,0.0,0.025,0.9,0.375,0.35,0.175,0.075,0.075,0.0
sonnet-3.7,0.725,0.85,0.65,0.725,0.975,,0.25,0.3,1.0,0.725,0.575,0.55,0.95,0.775,0.8,0.8,0.525,0.45,0.5
sonnet-4.5,1.0,1.0,0.95,0.9,1.0,0.9,,0.65,1.0,0.9,0.775,0.6,1.0,0.975,0.975,0.975,0.875,0.725,0.775
opus-4.1,1.0,1.0,0.975,0.825,1.0,0.95,0.35,,1.0,0.725,0.55,0.275,1.0,1.0,0.975,1.0,0.95,0.65,0.825
gemini-2.0-flash-lite,0.275,0.375,0.075,0.175,0.3,0.025,0.0,0.0,,0.075,0.0,0.0,0.7,0.125,0.3,0.025,0.05,0.0,0.0
gemini-2.0-flash,0.725,0.85,0.5,0.6,0.85,0.5,0.4,0.425,1.0,,0.175,0.075,0.975,0.6,0.75,0.55,0.525,0.15,0.375
gemini-2.5-flash,1.0,0.95,0.9,0.95,1.0,0.825,0.675,0.7,1.0,0.75,,0.1,1.0,0.95,0.925,0.9,0.8,0.55,0.925
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.95,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ll-3.1-8b,0.25,0.25,0.075,0.25,0.175,0.075,0.05,0.05,0.25,0.075,0.0,0.05,,0.15,0.2,0.1,0.05,0.025,0.025
ll-3.1-70b,0.575,0.7692307692307693,0.5,0.48717948717948717,0.75,0.45,0.3,0.325,0.775,0.5,0.2,0.075,0.8,,0.475,0.475,0.3,0.175,0.375
ll-3.1-405b,0.5526315789473685,0.6216216216216216,0.45,0.3157894736842105,0.7,0.45,0.225,0.2,0.75,0.425,0.15,0.125,0.8205128205128205,0.5384615384615384,,0.5,0.35,0.18421052631578946,0.325
qwen-2.5-7b,0.6,0.775,0.475,0.625,0.9,0.55,0.525,0.45,0.975,0.55,0.35,0.2,0.95,0.525,0.65,,0.45,0.275,0.5
qwen-2.5-72b,0.85,0.95,0.7,0.725,0.95,0.875,0.375,0.475,0.975,0.65,0.225,0.125,1.0,0.8,0.75,0.725,,0.15,0.725
qwen-3.0-80b,0.975,0.95,1.0,0.925,0.85,0.95,0.875,0.875,0.925,0.925,0.6,0.425,0.925,0.95,0.925,1.0,0.95,,0.925
deepseek-3.1,0.825,0.95,0.65,0.675,1.0,0.475,0.2,0.275,1.0,0.7,0.275,0.075,0.975,0.75,0.875,0.8,0.525,0.175,
