evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.5,-0.16111111111111115,-0.32499999999999996,0.425,-0.17499999999999993,-0.65,-0.675,0.475,-0.44999999999999996,-0.975,-0.75,0.6,-0.07499999999999996,-0.11673414304993257,-0.04999999999999993,-0.7,-0.7,-0.42499999999999993
gpt-4.1-mini,-0.5,,-0.5092105263157896,-0.55,0.25,-0.625,-0.9,-0.95,0.375,-0.575,-0.8999999999999999,-0.95,0.6,-0.5192307692307693,-0.2966216216216216,-0.525,-0.8999999999999999,-0.875,-0.7999999999999999
gpt-4o,0.16111111111111115,0.5092105263157896,,0.0888888888888888,0.85,-0.1777777777777778,-0.40714285714285714,-0.5027777777777778,0.8500000000000001,0.1842105263157895,-0.4945945945945946,-0.5882352941176471,0.8723684210526316,0.09459459459459463,0.15526315789473683,0.15357142857142858,-0.31111111111111106,-0.5263157894736843,-0.1635135135135135
gpt-4.1,0.32499999999999996,0.55,-0.0888888888888888,,0.525,-0.22499999999999998,-0.42500000000000004,-0.37499999999999994,0.6499999999999999,-0.125,-0.85,-0.775,0.6217948717948718,0.28782051282051285,0.4278002699055331,0.09999999999999998,-0.27499999999999997,-0.675,-0.275
haiku-3.5,-0.425,-0.25,-0.85,-0.525,,-0.95,-0.975,-0.975,0.325,-0.6499999999999999,-1.0,-0.975,0.7250000000000001,-0.375,-0.35,-0.7250000000000001,-0.875,-0.775,-1.0
sonnet-3.7,0.17499999999999993,0.625,0.1777777777777778,0.22499999999999998,0.95,,-0.65,-0.6499999999999999,0.975,0.22499999999999998,-0.25,-0.44999999999999996,0.875,0.325,0.35000000000000003,0.25,-0.35,-0.49999999999999994,0.025000000000000022
sonnet-4.5,0.65,0.9,0.40714285714285714,0.42500000000000004,0.975,0.65,,0.30000000000000004,1.0,0.5,0.09999999999999998,-0.4,0.95,0.675,0.75,0.44999999999999996,0.5,-0.15000000000000002,0.575
opus-4.1,0.675,0.95,0.5027777777777778,0.37499999999999994,0.975,0.6499999999999999,-0.30000000000000004,,1.0,0.3,-0.1499999999999999,-0.725,0.95,0.675,0.7749999999999999,0.55,0.475,-0.22499999999999998,0.5499999999999999
gemini-2.0-flash-lite,-0.475,-0.375,-0.8500000000000001,-0.6499999999999999,-0.325,-0.975,-1.0,-1.0,,-0.925,-1.0,-1.0,0.44999999999999996,-0.65,-0.45,-0.95,-0.9249999999999999,-0.925,-1.0
gemini-2.0-flash,0.44999999999999996,0.575,-0.1842105263157895,0.125,0.6499999999999999,-0.22499999999999998,-0.5,-0.3,0.925,,-0.575,-0.9,0.9,0.09999999999999998,0.325,0.0,-0.125,-0.775,-0.32499999999999996
gemini-2.5-flash,0.975,0.8999999999999999,0.4945945945945946,0.85,1.0,0.25,-0.09999999999999998,0.1499999999999999,1.0,0.575,,-0.85,1.0,0.75,0.775,0.55,0.5750000000000001,-0.04999999999999993,0.65
gemini-2.5-pro,0.75,0.95,0.5882352941176471,0.775,0.975,0.44999999999999996,0.4,0.725,1.0,0.9,0.85,,0.95,0.925,0.875,0.8,0.875,0.575,0.925
ll-3.1-8b,-0.6,-0.6,-0.8723684210526316,-0.6217948717948718,-0.7250000000000001,-0.875,-0.95,-0.95,-0.44999999999999996,-0.9,-1.0,-0.95,,-0.65,-0.6205128205128205,-0.85,-0.95,-0.9,-0.95
ll-3.1-70b,0.07499999999999996,0.5192307692307693,-0.09459459459459463,-0.28782051282051285,0.375,-0.325,-0.675,-0.675,0.65,-0.09999999999999998,-0.75,-0.925,0.65,,-0.06346153846153846,-0.050000000000000044,-0.5,-0.7749999999999999,-0.375
ll-3.1-405b,0.11673414304993257,0.2966216216216216,-0.15526315789473683,-0.4278002699055331,0.35,-0.35000000000000003,-0.75,-0.7749999999999999,0.45,-0.325,-0.775,-0.875,0.6205128205128205,0.06346153846153846,,-0.15000000000000002,-0.4,-0.7407894736842106,-0.55
qwen-2.5-7b,0.04999999999999993,0.525,-0.15357142857142858,-0.09999999999999998,0.7250000000000001,-0.25,-0.44999999999999996,-0.55,0.95,0.0,-0.55,-0.8,0.85,0.050000000000000044,0.15000000000000002,,-0.27499999999999997,-0.725,-0.30000000000000004
qwen-2.5-72b,0.7,0.8999999999999999,0.31111111111111106,0.27499999999999997,0.875,0.35,-0.5,-0.475,0.9249999999999999,0.125,-0.5750000000000001,-0.875,0.95,0.5,0.4,0.27499999999999997,,-0.7999999999999999,0.19999999999999996
qwen-3.0-80b,0.7,0.875,0.5263157894736843,0.675,0.775,0.49999999999999994,0.15000000000000002,0.22499999999999998,0.925,0.775,0.04999999999999993,-0.575,0.9,0.7749999999999999,0.7407894736842106,0.725,0.7999999999999999,,0.75
deepseek-3.1,0.42499999999999993,0.7999999999999999,0.1635135135135135,0.275,1.0,-0.025000000000000022,-0.575,-0.5499999999999999,1.0,0.32499999999999996,-0.65,-0.925,0.95,0.375,0.55,0.30000000000000004,-0.19999999999999996,-0.75,
