,row_mean,col_mean,difference
gemini-2.5-pro,0.9958333333333333,0.20204248366013072,0.7937908496732027
qwen-3.0-80b,0.8861111111111111,0.31432748538011696,0.5717836257309941
gemini-2.5-flash,0.827777777777778,0.3003003003003003,0.5274774774774776
sonnet-4.5,0.8875,0.3732142857142857,0.5142857142857142
opus-4.1,0.836111111111111,0.39151234567901233,0.4445987654320987
qwen-2.5-72b,0.6680555555555555,0.47021604938271605,0.19783950617283946
deepseek-3.1,0.6222222222222222,0.4839714714714715,0.13825075075075072
sonnet-3.7,0.673611111111111,0.5442901234567902,0.12932098765432087
gpt-4o,0.6040416632908893,0.5625,0.041541663290889264
gemini-2.0-flash,0.5569444444444445,0.5491228070175438,0.007821637426900674
gpt-4.1,0.5591880341880341,0.5926032138751437,-0.03341517968710961
qwen-2.5-7b,0.5736111111111112,0.621031746031746,-0.04742063492063486
ll-3.1-70b,0.4614672364672365,0.6462808962808962,-0.18481365981365977
gpt-4o-mini,0.4450498575498576,0.6799301494476933,-0.23488029189783566
ll-3.1-405b,0.426845975530186,0.669986129854551,-0.24314015432436498
gpt-4.1-mini,0.26805555555555555,0.776392384287121,-0.5083368287315655
haiku-3.5,0.21805555555555559,0.8083333333333332,-0.5902777777777777
gemini-2.0-flash-lite,0.1388888888888889,0.8625,-0.7236111111111112
ll-3.1-8b,0.11666666666666664,0.917482006297796,-0.8008153396311293
