evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.975,0.975,0.975,1.0,0.775,0.675,0.65,0.975,0.95,0.95,0.775,0.85,0.985897435897436,0.9608974358974359,0.8250000000000001,0.9,0.925,0.85
gpt-4.1-mini,0.9750000000000001,,1.0,1.0,0.8250000000000001,0.95,0.875,0.9,0.875,0.85,1.0,0.925,0.9500000000000001,1.0,0.95,0.95,0.975,0.9500000000000001,0.8999999999999999
gpt-4o,0.975,1.0,,0.825,1.0,0.8,0.55,0.55,1.0,0.925,0.725,0.625,0.925,0.875,0.9500000000000001,0.985897435897436,0.8500000000000001,0.625,0.825
gpt-4.1,0.975,1.0,0.825,,1.0,0.8250000000000001,0.825,0.7250000000000001,0.95,0.9,0.9,0.675,0.925,0.775,0.967948717948718,0.675,0.8500000000000001,0.7999999999999999,0.875
haiku-3.5,1.0,0.825,1.0,1.0,,0.9500000000000001,0.975,0.975,0.9500000000000001,0.9750000000000001,1.0,0.9,1.0,0.875,0.9750000000000001,0.975,1.0,0.95,0.975
sonnet-3.7,0.775,0.95,0.8,0.8250000000000001,0.9500000000000001,,0.725,0.6499999999999999,0.975,0.8,0.5,0.22499999999999998,0.9500000000000001,0.8,0.8,0.675,0.5499999999999999,0.4750000000000001,0.9500000000000001
sonnet-4.5,0.675,0.875,0.55,0.825,0.975,0.725,,0.975,0.975,0.75,0.675,0.32499999999999996,0.95,0.7256410256410256,0.8,0.475,0.75,0.5,0.9249999999999999
opus-4.1,0.65,0.9,0.55,0.7250000000000001,0.975,0.65,0.9750000000000001,,1.0,0.775,0.65,0.55,0.95,0.7,0.7,0.575,0.6000000000000001,0.475,0.85
gemini-2.0-flash-lite,0.975,0.875,1.0,0.95,0.9500000000000001,0.975,0.975,1.0,,0.9500000000000001,1.0,1.0,0.8999999999999999,0.9,0.975,0.9500000000000001,0.975,0.95,1.0
gemini-2.0-flash,0.95,0.85,0.925,0.9,0.9750000000000001,0.8,0.75,0.7749999999999999,0.9500000000000001,,1.0,0.925,0.9500000000000001,0.85,0.875,0.825,0.875,0.85,0.975
gemini-2.5-flash,0.95,1.0,0.725,0.9,1.0,0.5,0.675,0.65,1.0,1.0,,0.9500000000000001,1.0,0.8250000000000001,0.9249999999999999,0.725,0.975,0.875,0.9
gemini-2.5-pro,0.775,0.925,0.625,0.675,0.9,0.22499999999999998,0.32499999999999996,0.55,1.0,0.925,0.9500000000000001,,0.95,0.875,0.825,0.75,0.85,0.5750000000000001,0.9
ll-3.1-8b,0.85,0.95,0.925,0.925,1.0,0.9500000000000001,0.95,0.95,0.8999999999999999,0.9500000000000001,1.0,0.95,,0.9750000000000001,1.0,0.9500000000000001,0.95,0.9500000000000001,1.0
ll-3.1-70b,0.985897435897436,1.0,0.875,0.775,0.875,0.8,0.7256410256410257,0.7,0.9,0.85,0.8250000000000001,0.875,0.9750000000000001,,1.0,0.9750000000000001,0.925,0.875,0.925
ll-3.1-405b,0.9608974358974359,0.95,0.95,0.967948717948718,0.9750000000000001,0.8,0.8,0.7,0.975,0.875,0.9249999999999999,0.825,1.0,1.0,,0.85,0.875,0.7797297297297298,0.825
qwen-2.5-7b,0.8250000000000001,0.95,0.985897435897436,0.675,0.975,0.675,0.475,0.575,0.9500000000000001,0.825,0.725,0.75,0.9500000000000001,0.975,0.85,,0.875,0.7250000000000001,0.725
qwen-2.5-72b,0.9,0.975,0.85,0.85,1.0,0.5499999999999999,0.75,0.6000000000000001,0.975,0.875,0.975,0.85,0.95,0.925,0.875,0.875,,0.925,0.8
qwen-3.0-80b,0.925,0.9500000000000001,0.625,0.7999999999999999,0.95,0.4750000000000001,0.5,0.475,0.95,0.85,0.875,0.575,0.9500000000000001,0.875,0.7797297297297298,0.7250000000000001,0.925,,0.9
deepseek-3.1,0.85,0.8999999999999999,0.8250000000000001,0.875,0.975,0.95,0.925,0.8500000000000001,1.0,0.975,0.8999999999999999,0.9,1.0,0.925,0.8250000000000001,0.725,0.8,0.9,
