evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.575,-0.22499999999999998,-0.32500000000000007,0.5,-0.17499999999999993,-0.575,-0.65,0.475,-0.44999999999999996,-0.95,-0.775,0.65,-0.11410256410256409,-0.08910256410256412,-0.025000000000000022,-0.7999999999999999,-0.875,-0.4
gpt-4.1-mini,-0.575,,-0.55,-0.55,0.27499999999999997,-0.45,-0.7749999999999999,-0.9,0.42500000000000004,-0.6,-0.8999999999999999,-0.925,0.6499999999999999,-0.44999999999999996,-0.30000000000000004,-0.45,-0.9249999999999999,-0.85,-0.75
gpt-4o,0.22499999999999998,0.55,,0.07499999999999996,0.8500000000000001,-0.25,-0.44999999999999996,-0.55,0.8500000000000001,0.125,-0.525,-0.625,0.875,0.125,0.14999999999999997,0.11410256410256409,-0.3,-0.625,-0.27499999999999997
gpt-4.1,0.32500000000000007,0.55,-0.07499999999999996,,0.55,-0.22499999999999998,-0.42500000000000004,-0.37499999999999994,0.7,-0.09999999999999998,-0.85,-0.675,0.675,0.22499999999999998,0.46794871794871795,0.07499999999999996,-0.3,-0.65,-0.27499999999999997
haiku-3.5,-0.5,-0.27499999999999997,-0.8500000000000001,-0.55,,-0.9,-0.9249999999999999,-0.975,0.35,-0.625,-1.0,-0.9,0.75,-0.375,-0.37499999999999994,-0.725,-0.8999999999999999,-0.8,-0.975
sonnet-3.7,0.17499999999999993,0.45,0.25,0.22499999999999998,0.9,,-0.525,-0.45,0.975,0.3,-0.1499999999999999,-0.22499999999999998,0.9,0.25,0.3,0.32499999999999996,-0.35,-0.375,0.10000000000000003
sonnet-4.5,0.575,0.7749999999999999,0.44999999999999996,0.42500000000000004,0.9249999999999999,0.525,,0.175,0.975,0.44999999999999996,-0.07499999999999996,-0.32499999999999996,0.95,0.6743589743589744,0.7,0.42499999999999993,0.44999999999999996,-0.1499999999999999,0.5249999999999999
opus-4.1,0.65,0.9,0.55,0.37499999999999994,0.975,0.45,-0.175,,1.0,0.325,-0.09999999999999998,-0.55,0.95,0.7,0.7,0.575,0.49999999999999994,-0.17499999999999993,0.55
gemini-2.0-flash-lite,-0.475,-0.42500000000000004,-0.8500000000000001,-0.7,-0.35,-0.975,-0.975,-1.0,,-0.9,-1.0,-1.0,0.49999999999999994,-0.6,-0.475,-0.9,-0.9249999999999999,-0.95,-1.0
gemini-2.0-flash,0.44999999999999996,0.6,-0.125,0.09999999999999998,0.625,-0.3,-0.44999999999999996,-0.325,0.9,,-0.6000000000000001,-0.925,0.85,0.09999999999999998,0.27499999999999997,-0.07499999999999996,-0.125,-0.7000000000000001,-0.32500000000000007
gemini-2.5-flash,0.95,0.8999999999999999,0.525,0.85,1.0,0.1499999999999999,0.07499999999999996,0.09999999999999998,1.0,0.6000000000000001,,-0.9,1.0,0.725,0.775,0.5750000000000001,0.5750000000000001,-0.07499999999999996,0.7
gemini-2.5-pro,0.775,0.925,0.625,0.675,0.9,0.22499999999999998,0.32499999999999996,0.55,1.0,0.925,0.9,,0.95,0.875,0.825,0.75,0.85,0.5249999999999999,0.9
ll-3.1-8b,-0.65,-0.6499999999999999,-0.875,-0.675,-0.75,-0.9,-0.95,-0.95,-0.49999999999999994,-0.85,-1.0,-0.95,,-0.625,-0.6000000000000001,-0.85,-0.95,-0.9,-0.95
ll-3.1-70b,0.11410256410256409,0.44999999999999996,-0.125,-0.22499999999999998,0.375,-0.25,-0.6743589743589744,-0.7,0.6,-0.09999999999999998,-0.725,-0.875,0.625,,-0.050000000000000044,-0.07500000000000001,-0.575,-0.7250000000000001,-0.32499999999999996
ll-3.1-405b,0.08910256410256412,0.30000000000000004,-0.14999999999999997,-0.46794871794871795,0.37499999999999994,-0.3,-0.7,-0.7,0.475,-0.27499999999999997,-0.775,-0.825,0.6000000000000001,0.050000000000000044,,-0.15000000000000002,-0.47500000000000003,-0.6797297297297297,-0.5249999999999999
qwen-2.5-7b,0.025000000000000022,0.45,-0.11410256410256409,-0.07499999999999996,0.725,-0.32499999999999996,-0.42499999999999993,-0.575,0.9,0.07499999999999996,-0.5750000000000001,-0.75,0.85,0.07500000000000001,0.15000000000000002,,-0.27499999999999997,-0.625,-0.32500000000000007
qwen-2.5-72b,0.7999999999999999,0.9249999999999999,0.3,0.3,0.8999999999999999,0.35,-0.44999999999999996,-0.49999999999999994,0.9249999999999999,0.125,-0.5750000000000001,-0.85,0.95,0.575,0.47500000000000003,0.27499999999999997,,-0.825,0.19999999999999996
qwen-3.0-80b,0.875,0.85,0.625,0.65,0.8,0.375,0.1499999999999999,0.17499999999999993,0.95,0.7000000000000001,0.07499999999999996,-0.5249999999999999,0.9,0.7250000000000001,0.6797297297297297,0.625,0.825,,0.65
deepseek-3.1,0.4,0.75,0.27499999999999997,0.27499999999999997,0.975,-0.10000000000000003,-0.5249999999999999,-0.55,1.0,0.32500000000000007,-0.7,-0.9,0.95,0.32499999999999996,0.5249999999999999,0.32500000000000007,-0.19999999999999996,-0.65,
