evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.775,0.4,0.35,0.75,0.525,0.375,0.35,0.75,0.25,0.05,0.225,0.9,0.45,0.4358974358974359,0.575,0.05,0.1,0.375
gpt-4.1-mini,0.2,,0.225,0.225,0.725,0.3,0.175,0.1,0.775,0.275,0.05,0.075,0.85,0.275,0.375,0.3,0.05,0.1,0.175
gpt-4o,0.625,0.775,,0.625,0.925,0.475,0.5,0.45,0.925,0.6,0.375,0.375,0.975,0.625,0.6,0.5641025641025641,0.425,0.375,0.45
gpt-4.1,0.675,0.775,0.55,,0.775,0.475,0.375,0.45,0.875,0.5,0.125,0.325,0.875,0.725,0.75,0.7,0.425,0.275,0.425
haiku-3.5,0.25,0.45,0.075,0.225,,0.025,0.05,0.025,0.7,0.2,0.0,0.1,0.875,0.375,0.325,0.15,0.05,0.075,0.0
sonnet-3.7,0.7,0.75,0.725,0.7,0.925,,0.375,0.45,1.0,0.75,0.675,0.775,0.975,0.725,0.75,0.825,0.55,0.575,0.525
sonnet-4.5,0.95,0.95,0.95,0.8,0.975,0.9,,0.6,0.975,0.85,0.625,0.675,1.0,0.9743589743589743,0.95,0.975,0.85,0.675,0.725
opus-4.1,1.0,1.0,1.0,0.825,1.0,0.9,0.425,,1.0,0.775,0.625,0.45,1.0,1.0,1.0,1.0,0.95,0.675,0.85
gemini-2.0-flash-lite,0.275,0.35,0.075,0.175,0.35,0.025,0.0,0.0,,0.075,0.0,0.0,0.7,0.15,0.275,0.075,0.05,0.0,0.0
gemini-2.0-flash,0.7,0.875,0.475,0.6,0.825,0.45,0.4,0.45,0.975,,0.2,0.075,0.95,0.625,0.7,0.55,0.5,0.225,0.35
gemini-2.5-flash,1.0,0.95,0.9,0.975,1.0,0.825,0.7,0.725,1.0,0.8,,0.075,1.0,0.95,0.925,0.925,0.8,0.525,0.9
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,,1.0,1.0,1.0,1.0,1.0,0.975,1.0
ll-3.1-8b,0.25,0.2,0.1,0.2,0.125,0.075,0.05,0.05,0.2,0.1,0.0,0.05,,0.175,0.2,0.1,0.05,0.025,0.025
ll-3.1-70b,0.5641025641025641,0.725,0.5,0.5,0.75,0.475,0.3,0.3,0.75,0.525,0.225,0.125,0.8,,0.475,0.45,0.25,0.2,0.375
ll-3.1-405b,0.525,0.675,0.45,0.28205128205128205,0.7,0.45,0.25,0.3,0.75,0.425,0.15,0.175,0.8,0.525,,0.5,0.325,0.2702702702702703,0.325
qwen-2.5-7b,0.6,0.75,0.45,0.625,0.875,0.5,0.55,0.425,0.975,0.625,0.35,0.25,0.95,0.525,0.65,,0.425,0.325,0.475
qwen-2.5-72b,0.85,0.975,0.725,0.725,0.95,0.9,0.4,0.45,0.975,0.625,0.225,0.15,1.0,0.825,0.8,0.7,,0.125,0.7
qwen-3.0-80b,0.975,0.95,1.0,0.925,0.875,0.95,0.825,0.85,0.95,0.925,0.6,0.45,0.925,0.925,0.95,0.95,0.95,,0.875
deepseek-3.1,0.775,0.925,0.725,0.7,0.975,0.425,0.2,0.3,1.0,0.675,0.2,0.1,0.975,0.7,0.85,0.8,0.5,0.225,
