,row_mean,col_mean,difference
gemini-2.5-pro,0.9972222222222222,0.24722222222222218,0.75
qwen-3.0-80b,0.8805555555555555,0.31918168168168165,0.5613738738738738
gemini-2.5-flash,0.8319444444444445,0.30277777777777776,0.5291666666666668
sonnet-4.5,0.855519943019943,0.3861111111111112,0.46940883190883187
opus-4.1,0.8597222222222222,0.4041666666666666,0.45555555555555555
qwen-2.5-72b,0.6722222222222222,0.4555555555555555,0.21666666666666667
sonnet-3.7,0.7083333333333335,0.5375000000000001,0.1708333333333334
deepseek-3.1,0.6138888888888888,0.47500000000000003,0.13888888888888878
gpt-4o,0.5924501424501424,0.5736111111111111,0.01883903133903131
gemini-2.0-flash,0.5513888888888888,0.5541666666666667,-0.002777777777777879
gpt-4.1,0.5597222222222222,0.5809472934472935,-0.021225071225071224
qwen-2.5-7b,0.5736111111111111,0.6188390313390313,-0.045227920227920215
ll-3.1-70b,0.46050569800569796,0.6416310541310541,-0.18112535612535619
ll-3.1-405b,0.4376289751289752,0.6672720797720797,-0.2296431046431045
gpt-4o-mini,0.42699430199430194,0.6618945868945869,-0.23490028490028497
gpt-4.1-mini,0.29166666666666663,0.7694444444444444,-0.47777777777777775
haiku-3.5,0.21944444444444444,0.8055555555555555,-0.586111111111111
gemini-2.0-flash-lite,0.14305555555555555,0.8652777777777776,-0.7222222222222221
ll-3.1-8b,0.10972222222222222,0.9194444444444445,-0.8097222222222222
