evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.8,0.35,0.35,0.75,0.6,0.4,0.3,0.75,0.275,0.05,0.15,0.8,0.425,0.425,0.55,0.175,0.175,0.425
gpt-4.1-mini,0.25,,0.1,0.225,0.675,0.2,0.05,0.0,0.75,0.275,0.05,0.0,0.825,0.225,0.375,0.25,0.05,0.05,0.15
gpt-4o,0.6410256410256411,0.75,,0.6,0.925,0.525,0.525,0.4,0.925,0.575,0.25,0.325,0.925,0.625,0.6153846153846154,0.575,0.425,0.325,0.425
gpt-4.1,0.7,0.8,0.55,,0.8,0.5,0.425,0.4,0.85,0.475,0.075,0.25,0.85,0.725,0.75,0.675,0.425,0.225,0.425
haiku-3.5,0.25,0.4,0.05,0.2,,0.025,0.0,0.025,0.6,0.2,0.0,0.05,0.875,0.225,0.325,0.1,0.05,0.075,0.0
sonnet-3.7,0.725,0.875,0.65,0.525,0.975,,0.125,0.15,1.0,0.6,0.225,0.25,0.9,0.775,0.675,0.75,0.375,0.1,0.375
sonnet-4.5,1.0,0.975,1.0,0.925,1.0,0.975,,0.55,1.0,0.925,0.55,0.4,1.0,1.0,1.0,1.0,0.975,0.75,0.825
opus-4.1,1.0,1.0,1.0,0.775,1.0,0.95,0.325,,1.0,0.625,0.375,0.1,1.0,1.0,1.0,0.975,0.95,0.525,0.85
gemini-2.0-flash-lite,0.275,0.35,0.075,0.175,0.35,0.025,0.0,0.0,,0.05,0.0,0.0,0.7,0.15,0.3,0.025,0.05,0.0,0.0
gemini-2.0-flash,0.725,0.8,0.5,0.625,0.85,0.45,0.4,0.425,0.975,,0.15,0.05,0.975,0.625,0.725,0.5,0.475,0.225,0.325
gemini-2.5-flash,1.0,0.925,0.9,0.975,1.0,0.85,0.675,0.725,1.0,0.775,,0.125,1.0,0.95,0.95,0.925,0.8,0.5,0.8
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,,1.0,1.0,1.0,1.0,1.0,0.975,1.0
ll-3.1-8b,0.25,0.275,0.075,0.2,0.2,0.075,0.05,0.025,0.25,0.075,0.0,0.05,,0.125,0.15,0.075,0.05,0.025,0.05
ll-3.1-70b,0.625,0.775,0.5,0.5,0.75,0.475,0.25,0.325,0.775,0.475,0.175,0.05,0.825,,0.5,0.45,0.275,0.15,0.35
ll-3.1-405b,0.65,0.7,0.5,0.325,0.7,0.475,0.2,0.2,0.75,0.35,0.1,0.05,0.825,0.55,,0.5,0.3,0.13157894736842105,0.35
qwen-2.5-7b,0.6,0.775,0.45,0.675,0.95,0.525,0.45,0.4,0.975,0.55,0.25,0.15,0.95,0.525,0.6,,0.35,0.25,0.45
qwen-2.5-72b,0.85,1.0,0.85,0.725,0.95,0.875,0.375,0.475,0.975,0.625,0.175,0.05,1.0,0.8,0.8,0.775,,0.2,0.75
qwen-3.0-80b,0.975,0.975,1.0,0.95,0.875,0.95,0.875,0.85,0.95,0.9,0.575,0.275,0.9,0.925,0.925,0.95,0.85,,0.875
deepseek-3.1,0.8,0.975,0.6,0.65,0.975,0.45,0.2,0.275,1.0,0.65,0.175,0.05,1.0,0.675,0.775,0.775,0.425,0.175,
