evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.55,-0.2910256410256411,-0.35,0.5,-0.125,-0.6,-0.7,0.475,-0.44999999999999996,-0.95,-0.85,0.55,-0.2,-0.22500000000000003,-0.04999999999999993,-0.675,-0.8,-0.37500000000000006
gpt-4.1-mini,-0.55,,-0.65,-0.5750000000000001,0.275,-0.675,-0.9249999999999999,-1.0,0.4,-0.525,-0.875,-1.0,0.5499999999999999,-0.55,-0.32499999999999996,-0.525,-0.95,-0.9249999999999999,-0.825
gpt-4o,0.2910256410256411,0.65,,0.04999999999999993,0.875,-0.125,-0.475,-0.6,0.8500000000000001,0.07499999999999996,-0.65,-0.675,0.8500000000000001,0.125,0.11538461538461542,0.12499999999999994,-0.425,-0.675,-0.175
gpt-4.1,0.35,0.5750000000000001,-0.04999999999999993,,0.6000000000000001,-0.025000000000000022,-0.5,-0.375,0.675,-0.15000000000000002,-0.9,-0.75,0.6499999999999999,0.22499999999999998,0.425,0.0,-0.3,-0.725,-0.22500000000000003
haiku-3.5,-0.5,-0.275,-0.875,-0.6000000000000001,,-0.95,-1.0,-0.975,0.25,-0.6499999999999999,-1.0,-0.95,0.675,-0.525,-0.37499999999999994,-0.85,-0.8999999999999999,-0.8,-0.975
sonnet-3.7,0.125,0.675,0.125,0.025000000000000022,0.95,,-0.85,-0.7999999999999999,0.975,0.14999999999999997,-0.625,-0.75,0.8250000000000001,0.30000000000000004,0.20000000000000007,0.22499999999999998,-0.5,-0.85,-0.07500000000000001
sonnet-4.5,0.6,0.9249999999999999,0.475,0.5,1.0,0.85,,0.22500000000000003,1.0,0.525,-0.125,-0.6,0.95,0.75,0.8,0.55,0.6,-0.125,0.625
opus-4.1,0.7,1.0,0.6,0.375,0.975,0.7999999999999999,-0.22500000000000003,,1.0,0.2,-0.35,-0.9,0.975,0.675,0.8,0.575,0.475,-0.32499999999999996,0.575
gemini-2.0-flash-lite,-0.475,-0.4,-0.8500000000000001,-0.675,-0.25,-0.975,-1.0,-1.0,,-0.9249999999999999,-1.0,-1.0,0.44999999999999996,-0.625,-0.45,-0.95,-0.9249999999999999,-0.95,-1.0
gemini-2.0-flash,0.44999999999999996,0.525,-0.07499999999999996,0.15000000000000002,0.6499999999999999,-0.14999999999999997,-0.525,-0.2,0.9249999999999999,,-0.625,-0.95,0.9,0.15000000000000002,0.375,-0.050000000000000044,-0.15000000000000002,-0.675,-0.325
gemini-2.5-flash,0.95,0.875,0.65,0.9,1.0,0.625,0.125,0.35,1.0,0.625,,-0.825,1.0,0.7749999999999999,0.85,0.675,0.625,-0.07499999999999996,0.625
gemini-2.5-pro,0.85,1.0,0.675,0.75,0.95,0.75,0.6,0.9,1.0,0.95,0.825,,0.95,0.95,0.95,0.85,0.95,0.7,0.95
ll-3.1-8b,-0.55,-0.5499999999999999,-0.8500000000000001,-0.6499999999999999,-0.675,-0.8250000000000001,-0.95,-0.975,-0.44999999999999996,-0.9,-1.0,-0.95,,-0.7,-0.6749999999999999,-0.875,-0.95,-0.875,-0.95
ll-3.1-70b,0.2,0.55,-0.125,-0.22499999999999998,0.525,-0.30000000000000004,-0.75,-0.675,0.625,-0.15000000000000002,-0.7749999999999999,-0.95,0.7,,-0.050000000000000044,-0.07500000000000001,-0.525,-0.775,-0.32500000000000007
ll-3.1-405b,0.22500000000000003,0.32499999999999996,-0.11538461538461542,-0.425,0.37499999999999994,-0.20000000000000007,-0.8,-0.8,0.45,-0.375,-0.85,-0.95,0.6749999999999999,0.050000000000000044,,-0.09999999999999998,-0.5,-0.793421052631579,-0.42500000000000004
qwen-2.5-7b,0.04999999999999993,0.525,-0.12499999999999994,0.0,0.85,-0.22499999999999998,-0.55,-0.575,0.95,0.050000000000000044,-0.675,-0.85,0.875,0.07500000000000001,0.09999999999999998,,-0.42500000000000004,-0.7,-0.325
qwen-2.5-72b,0.675,0.95,0.425,0.3,0.8999999999999999,0.5,-0.6,-0.475,0.9249999999999999,0.15000000000000002,-0.625,-0.95,0.95,0.525,0.5,0.42500000000000004,,-0.6499999999999999,0.325
qwen-3.0-80b,0.8,0.9249999999999999,0.675,0.725,0.8,0.85,0.125,0.32499999999999996,0.95,0.675,0.07499999999999996,-0.7,0.875,0.775,0.793421052631579,0.7,0.6499999999999999,,0.7
deepseek-3.1,0.37500000000000006,0.825,0.175,0.22500000000000003,0.975,0.07500000000000001,-0.625,-0.575,1.0,0.325,-0.625,-0.95,0.95,0.32500000000000007,0.42500000000000004,0.325,-0.325,-0.7,
