,row_mean,col_mean,difference
gemini-2.5-pro,0.9958333333333333,0.13194444444444442,0.8638888888888889
gemini-2.5-flash,0.8263888888888888,0.22916666666666663,0.5972222222222222
qwen-3.0-80b,0.8652777777777777,0.26980994152046783,0.5954678362573098
sonnet-4.5,0.8805555555555555,0.3513888888888889,0.5291666666666666
opus-4.1,0.8027777777777777,0.3625,0.4402777777777777
qwen-2.5-72b,0.6805555555555556,0.4444444444444444,0.23611111111111116
deepseek-3.1,0.5902777777777779,0.4680555555555556,0.12222222222222229
gemini-2.0-flash,0.5444444444444443,0.5222222222222223,0.022222222222222032
gpt-4o,0.5753561253561253,0.5638888888888888,0.011467236467236575
sonnet-3.7,0.5583333333333332,0.5513888888888888,0.00694444444444442
gpt-4.1,0.55,0.5777777777777777,-0.02777777777777768
qwen-2.5-7b,0.5486111111111112,0.6027777777777777,-0.054166666666666585
ll-3.1-70b,0.45694444444444443,0.6291666666666669,-0.17222222222222244
ll-3.1-405b,0.4253654970760234,0.6605769230769232,-0.23521142600089978
gpt-4o-mini,0.4305555555555555,0.6842236467236467,-0.25366809116809114
gpt-4.1-mini,0.25,0.786111111111111,-0.536111111111111
haiku-3.5,0.19166666666666668,0.8180555555555555,-0.6263888888888889
gemini-2.0-flash-lite,0.14027777777777775,0.8624999999999999,-0.7222222222222222
ll-3.1-8b,0.1111111111111111,0.9083333333333334,-0.7972222222222223
