evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,0.07692307692307698,-0.2250000000000001,-0.1858974358974359,0.19423076923076932,-0.5,-0.35,-0.07500000000000007,-0.35,-0.22499999999999998
gpt-oss-120b-thinking,-0.07692307692307698,,-0.32499999999999996,-0.07500000000000007,0.25,-0.32499999999999996,-0.32499999999999996,0.025000000000000022,-0.19999999999999996,-0.15000000000000002
sonnet-3.7-thinking,0.2250000000000001,0.32499999999999996,,-0.20000000000000007,0.11474358974358978,0.0,0.09999999999999998,0.3705128205128205,-0.275,0.275
sonnet-4.5-thinking,0.1858974358974359,0.07500000000000007,0.20000000000000007,,0.09999999999999998,0.07499999999999996,0.04999999999999993,0.625,-0.15000000000000002,-0.050000000000000044
opus-4.1-thinking,-0.19423076923076932,-0.25,-0.11474358974358978,-0.09999999999999998,,-0.25,-0.35,0.425,-0.375,-0.04999999999999993
gemini-2.5-flash-thinking,0.5,0.32499999999999996,0.0,-0.07499999999999996,0.25,,-0.175,0.6000000000000001,-0.5249999999999999,-0.04999999999999999
gemini-2.5-pro-thinking,0.35,0.32499999999999996,-0.09999999999999998,-0.04999999999999993,0.35,0.175,,0.675,-0.19999999999999996,0.25000000000000006
ll-3.3-70b-dsR1-thinking,0.07500000000000007,-0.025000000000000022,-0.3705128205128205,-0.625,-0.425,-0.6000000000000001,-0.675,,-0.8250000000000001,-0.625
qwen-3.0-80b-thinking,0.35,0.19999999999999996,0.275,0.15000000000000002,0.375,0.5249999999999999,0.19999999999999996,0.8250000000000001,,0.35000000000000003
deepseek-r1-thinking,0.22499999999999998,0.15000000000000002,-0.275,0.050000000000000044,0.04999999999999993,0.04999999999999999,-0.25000000000000006,0.625,-0.35000000000000003,
