evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,0.1538599441628321,0.01658900337497471,0.42959050784338615,0.0006795482549932785,0.8746293123804207,0.0806904677519924,0.01658900337497471,0.0806904677519924,0.006426576095691416
gpt-oss-120b-thinking,0.6358280026288412,,0.03847730828420026,0.01658900337497471,0.0001821658297558315,0.03847730828420026,0.03847730828420026,0.006426576095691416,0.0001821658297558315,8.364584573428147e-06
sonnet-3.7-thinking,1.946500560734421e-08,1.8189894035458565e-12,,0.8746293123804207,0.26818725105476915,4.2277022657799534e-05,1.8570244719740003e-07,4.2277022657799534e-05,0.42959050784338615,1.382612026645802e-06
sonnet-4.5-thinking,0.0022214337732293643,0.0006795482549932785,0.03847730828420026,,0.26818725105476915,0.0022214337732293643,8.364584573428147e-06,1.8570244719740003e-07,0.006426576095691416,0.01658900337497471
opus-4.1-thinking,0.42959050784338615,0.6358280026288412,0.8746293123804207,1.0,,0.8746293123804207,0.6358280026288412,0.0022214337732293643,1.0,0.0806904677519924
gemini-2.5-flash-thinking,7.457856554538012e-11,1.8189894035458565e-12,4.2277022657799534e-05,0.03847730828420026,0.0006795482549932785,,0.42959050784338615,1.8570244719740003e-07,0.0001821658297558315,0.42959050784338615
gemini-2.5-pro-thinking,1.8189894035458565e-12,1.8189894035458565e-12,0.0001821658297558315,0.0001821658297558315,1.8570244719740003e-07,0.26818725105476915,,1.946500560734421e-08,0.6358280026288412,0.03847730828420026
ll-3.3-70b-dsR1-thinking,0.0006795482549932785,0.01658900337497471,0.6358280026288412,0.006426576095691416,0.03847730828420026,0.01658900337497471,0.0022214337732293643,,1.946500560734421e-08,4.2277022657799534e-05
qwen-3.0-80b-thinking,1.8189894035458565e-12,1.8189894035458565e-12,8.364584573428147e-06,1.382612026645802e-06,1.382612026645802e-06,0.006426576095691416,0.0022214337732293643,1.8570244719740003e-07,,0.0006795482549932785
deepseek-r1-thinking,1.4933903003111482e-09,1.8189894035458565e-12,0.26818725105476915,0.0022214337732293643,0.01658900337497471,0.8746293123804207,0.42959050784338615,0.0001821658297558315,0.42959050784338615,
