,row_mean,col_mean,difference
qwen-3.0-80b-thinking,0.8611111111111112,0.5,0.36111111111111116
gemini-2.5-pro-thinking,0.8055555555555556,0.6083333333333334,0.1972222222222222
sonnet-4.5-thinking,0.7472222222222222,0.6237891737891739,0.12343304843304836
sonnet-3.7-thinking,0.7761396011396012,0.672222222222222,0.10391737891737918
gemini-2.5-flash-thinking,0.6888888888888889,0.5944444444444443,0.09444444444444455
deepseek-r1-thinking,0.6805555555555555,0.65,0.030555555555555447
gpt-oss-120b-thinking,0.7153846153846153,0.8489316239316239,-0.13354700854700863
opus-4.1-thinking,0.563888888888889,0.7037749287749288,-0.13988603988603976
gpt-oss-20b-thinking,0.64985754985755,0.8320512820512821,-0.18219373219373214
ll-3.3-70b-dsR1-thinking,0.36944444444444446,0.8245014245014245,-0.45505698005698003
