evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.13461538461538458,0.04999999999999999,-0.09999999999999998,0.025000000000000022,0.17500000000000004,-0.050000000000000044,-0.04999999999999999,0.025000000000000022,-0.19999999999999996,-0.3,-0.15000000000000002,0.09999999999999998,0.025000000000000022,-0.0641025641025641,0.10000000000000003,-0.225,-0.125,0.025000000000000022
gpt-4.1-mini,-0.175,,-0.15000000000000002,-0.1,0.0,-0.07499999999999998,-0.15,-0.175,0.025000000000000022,-0.09999999999999998,-0.024999999999999994,-0.2,-0.025000000000000022,-0.15000000000000002,-0.175,-0.2,-0.2,-0.05,-0.07500000000000001
gpt-4o,0.032163742690058506,-0.02631578947368418,,0.0888888888888888,0.0,-0.02777777777777779,0.042857142857142816,-0.05277777777777781,-0.023717948717948745,0.06882591093117407,0.00540540540540535,-0.08823529411764708,0.022368421052631593,-0.030405405405405372,-0.06973684210526321,0.0535714285714286,-0.011111111111111127,0.09868421052631571,0.13648648648648654
gpt-4.1,0.09999999999999998,0.17500000000000004,0.050000000000000044,,0.025000000000000022,0.04999999999999999,-0.025000000000000022,-0.04999999999999999,0.0,-0.15000000000000002,-0.4,-0.475,-0.0032051282051281937,0.125,0.018589743589743635,-0.025000000000000022,-0.14999999999999997,-0.30000000000000004,-0.04999999999999999
haiku-3.5,-0.27499999999999997,-0.050000000000000044,-0.45,-0.275,,-0.375,-0.44999999999999996,-0.32499999999999996,0.0,-0.3,-0.45,-0.525,0.0,-0.1891025641025641,-0.30000000000000004,-0.3,-0.425,-0.35,-0.35
sonnet-3.7,0.17499999999999993,0.5249999999999999,0.025000000000000022,0.3,0.825,,-0.525,-0.35000000000000003,0.775,0.125,0.07499999999999996,-0.42499999999999993,0.475,0.22499999999999998,0.35000000000000003,0.25,-0.19999999999999996,-0.45,0.04999999999999999
sonnet-4.5,0.32499999999999996,0.35,0.32499999999999996,0.35,0.22499999999999998,0.275,,0.125,0.15000000000000002,0.07500000000000007,0.125,-0.25,0.17500000000000004,0.30833333333333335,0.25,0.15000000000000002,0.09999999999999998,-0.07500000000000007,0.20000000000000007
opus-4.1,0.07499999999999996,0.17500000000000004,0.15000000000000002,0.02499999999999991,0.475,0.375,-0.10000000000000003,,0.19999999999999996,-0.22499999999999998,-0.32499999999999996,-0.6749999999999999,0.15000000000000002,0.1282051282051282,0.125,0.07499999999999996,0.02499999999999991,-0.275,0.04999999999999993
gemini-2.0-flash-lite,-0.07499999999999996,-0.04999999999999999,-0.175,-0.10000000000000003,-0.3,-0.025,-0.025,-0.075,,-0.09999999999999999,-0.075,0.0,0.0,-0.125,0.024999999999999967,-0.2,-0.075,-0.025,-0.05
gemini-2.0-flash,0.04999999999999993,0.17499999999999993,-0.09999999999999998,0.125,0.09999999999999998,0.0,0.050000000000000044,0.024999999999999967,0.375,,-0.15000000000000002,-0.22499999999999998,0.09999999999999998,-0.025000000000000022,0.125,-0.04999999999999993,0.0,-0.07500000000000001,-0.04999999999999999
gemini-2.5-flash,0.025000000000000022,-0.025000000000000022,-0.025000000000000022,0.0,0.0,-0.025000000000000022,-0.04999999999999993,-0.07500000000000007,0.0,-0.050000000000000044,,-0.1,0.0,-0.025000000000000022,-0.04999999999999993,-0.025000000000000022,-0.07499999999999996,0.025000000000000022,0.07500000000000007
gemini-2.5-pro,0.0,0.0,0.0,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.025000000000000022,0.22499999999999998,,0.0,0.0,0.0,0.0,0.0,0.125,0.050000000000000044
ll-3.1-8b,-0.04999999999999999,-0.025000000000000022,-0.05,0.024999999999999994,0.09999999999999999,0.0,0.0,-0.024999999999999994,0.04999999999999999,-0.02500000000000001,-0.075,0.0,,-0.024999999999999994,-0.024999999999999994,0.02500000000000001,-0.024999999999999994,-0.1,-0.049999999999999996
ll-3.1-70b,0.04999999999999993,0.21923076923076923,0.0641025641025641,0.012179487179487136,0.17500000000000004,0.014102564102564108,-0.10000000000000003,-0.09999999999999998,0.09999999999999998,0.0,-0.2,-0.325,0.025000000000000022,,-0.050000000000000044,0.07499999999999996,-0.10000000000000003,-0.275,-0.04999999999999999
ll-3.1-405b,0.0026315789473684292,0.1966216216216216,0.07500000000000001,0.06578947368421051,0.09999999999999998,0.225,-0.17500000000000002,-0.125,0.025000000000000022,-0.14999999999999997,-0.19999999999999998,-0.375,0.04551282051282046,0.038461538461538436,,-0.025000000000000022,-0.17500000000000004,-0.3907894736842106,0.04999999999999999
qwen-2.5-7b,-0.025000000000000022,0.07500000000000007,-0.050000000000000044,0.025000000000000022,0.025000000000000022,0.050000000000000044,0.025000000000000022,-0.04999999999999999,0.07499999999999996,-0.04999999999999993,-0.15000000000000002,-0.25,0.02499999999999991,-0.04999999999999993,0.0,,-0.07500000000000001,-0.22499999999999998,0.0
qwen-2.5-72b,0.19999999999999996,0.2749999999999999,0.17499999999999993,0.15000000000000002,0.25,0.375,-0.125,-0.050000000000000044,0.07499999999999996,-0.04999999999999993,-0.24999999999999997,-0.42500000000000004,0.050000000000000044,0.20000000000000007,0.09999999999999998,0.125,,-0.32499999999999996,0.25
qwen-3.0-80b,0.0,0.02499999999999991,0.025000000000000022,-0.02499999999999991,0.0,-0.025000000000000022,-0.07499999999999996,0.025000000000000022,0.07500000000000007,0.07500000000000007,-0.025000000000000022,-0.07500000000000001,0.07500000000000007,0.0,0.0,0.025000000000000022,-0.025000000000000022,,0.0
deepseek-3.1,0.02499999999999991,0.0,-0.04999999999999993,-0.02499999999999991,0.0,-0.025000000000000022,-0.024999999999999994,-0.024999999999999967,0.0,-0.07500000000000007,-0.024999999999999967,-0.02500000000000001,0.025000000000000022,0.025000000000000022,-0.025000000000000022,0.0,-0.125,-0.025000000000000022,
