,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.05665885819306339,0.48646728463836986,0.25323508542565065,0.5702839158682146,0.050913950000903214,0.6231952830196219,0.6432594172453439,0.3234749451713832,0.009563548476957924,0.0002101106390518012,0.08316048921733506,0.15991096003143135,0.7854353297923936,0.37254074661360914,0.20993874257441802,0.0051235694408548055,0.13340422288162462,0.7999375281936048
gpt-4.1-mini,0.017611931616510864,,0.05669100677848826,0.04398378691677216,1.0,0.41226846698965924,0.032049808935126455,0.017611931616510864,0.6604312405882872,0.10311785419190199,0.3234749451713832,0.009563548476957924,0.5702839158682146,0.032049808935126455,0.017611931616510864,0.018900485537150465,0.009563548476957924,0.15991096003143124,0.3234749451713834
gpt-4o,0.3243747105262056,1.0,,0.26262427048011694,1.0,0.16020305802397838,0.6612569381679554,0.3241743423860386,1.0,0.08314216219362838,0.6608995723512259,0.1032164617309579,0.32380587235541847,0.32398502626512715,0.08314877539551088,0.5712376192023898,0.5710253890895836,0.08314877539551088,0.04384514714627476
gpt-4.1,0.25323508542565065,0.017611931616510864,0.5702839158682146,,0.6604312405882872,0.6231952830196219,0.7999375281936048,0.5993269211024361,1.0,0.05669100677848826,0.00011607272448451639,6.271107061174908e-07,1.0,0.16839246602241173,0.7673505666481452,0.7105198474425775,0.13541994799643686,0.0017291717948422802,0.5993269211024361
haiku-3.5,0.0014035129681758294,0.48646728463836986,1.5920337303142612e-06,0.0014035129681758294,,8.350923773292067e-05,1.5920337303142612e-06,0.00035748617194406046,1.0,0.0017291717948422802,1.5920337303142612e-06,8.510244968700323e-08,1.0,0.04394021530639819,0.0007153923866428523,0.0017291717948422802,5.571677297678443e-05,0.00017482223771303685,4.629107098940451e-05
sonnet-3.7,0.128185154536761,5.310306629365681e-07,0.8118482072985085,0.012359142085013994,2.412231710901708e-16,,2.2048257733560535e-06,0.00457000617880566,3.3381586175973516e-14,0.2564352010677305,0.5551898452084396,3.8868770026517235e-06,3.288483708117103e-06,0.037232588507408355,0.0010018503416186263,0.010530555882480513,0.10311785419190192,2.6030923077229088e-05,0.6231952830196219
sonnet-4.5,9.983420250071443e-05,4.6291070989404345e-05,9.983420250071443e-05,4.6291070989404345e-05,0.0017291717948422802,0.0004324919013755396,,0.05773020355768705,0.012359142085013994,0.2620346280225958,0.16839246602241173,0.0008725735575987835,0.0064917046580324584,0.00020371240481949408,0.0008725735575987835,0.032049808935126455,0.20993874257441789,0.3234749451713834,0.030633221824776388
opus-4.1,0.08316048921733506,0.006491704658032463,0.032049808935126455,0.7854353297923936,6.271107061174908e-07,2.089591881885961e-05,0.25323508542565065,,0.003373050580186074,0.010661253016161125,0.0018564783530525893,4.631611689451673e-11,0.012359142085013994,0.023296189299748013,0.05773020355768705,0.08316048921733506,0.6604312405882872,0.00601416913524899,0.6231952830196219
gemini-2.0-flash-lite,0.18301996150239602,0.48646728463836986,0.0064917046580324584,0.04398378691677216,0.0002101106390518012,0.5702839158682146,0.3234749451713832,0.08316048921733506,,0.10311785419190198,0.08316048921733506,1.0,1.0,0.023351920363457058,0.7105198474425775,0.0033730505801860804,0.18301996150239602,0.3234749451713832,0.15991096003143135
gemini-2.0-flash,0.5993269211024361,0.07010413538106665,0.3522600618731436,0.16839246602241173,0.25323508542565065,1.0,0.6231952830196219,0.7999375281936048,2.089591881885961e-05,,0.13541994799643686,0.018116601980739205,0.10311785419190199,0.8118482072985085,0.16839246602241173,0.6231952830196219,1.0,0.41226846698965924,0.6432594172453439
gemini-2.5-flash,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,1.0,0.3234749451713832,0.15991096003143124,0.2620346280225958,1.0,0.48646728463836986,,0.10311785419190198,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.18301996150239602,0.7434672032976997,0.18301996150239602
gemini-2.5-pro,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,1.0,1.0,0.3234749451713832,0.0051235694408548055,,1.0,1.0,1.0,1.0,1.0,0.023351920363457058,0.15991096003143135
ll-3.1-8b,0.15991096003143135,0.3234749451713832,0.15991096003143135,0.5702839158682146,0.04398378691677216,1.0,1.0,0.3234749451713832,0.48646728463836986,0.6604312405882872,0.08316048921733506,1.0,,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.10311785419190198,0.15991096003143124
ll-3.1-70b,0.3234749451713832,0.0033395537572689584,0.32363608386440834,1.0,0.03298515293070816,0.6605792583493815,0.04398378691677216,0.04398378691677216,0.15991096003143135,1.0,0.009563548476957924,9.983420250071443e-05,0.6604312405882872,,0.15991096003143124,0.18301996150239602,0.04398378691677216,0.001403512968175822,0.4211369313239446
ll-3.1-405b,0.5706348819380062,0.01219039032855804,0.18301996150239602,0.42150754505115984,0.15991096003143135,0.010661253016161125,0.0064917046580324584,0.13340422288162462,0.3234749451713832,0.012359142085013994,0.018900485537150465,2.089591881885961e-05,0.32363608386440834,0.5704548413552414,,0.7105198474425775,0.017611931616510864,7.895047249495503e-06,0.5702839158682146
qwen-2.5-7b,0.3234749451713832,0.08316048921733506,0.15991096003143135,0.6604312405882872,0.5702839158682146,0.3234749451713832,0.6604312405882872,0.3234749451713832,0.08316048921733506,0.4211369313239446,0.032049808935126455,0.0008725735575987835,0.3234749451713832,0.3234749451713832,1.0,,0.18301996150239602,0.0051235694408548055,1.0
qwen-2.5-72b,0.0033730505801860804,0.0004324919013755396,0.006491704658032463,0.08316048921733506,0.0027039335071804547,0.00023581382815235518,0.13340422288162462,0.5338939001152949,0.18301996150239602,0.48646728463836986,0.0027039335071804547,3.8868770026517235e-06,0.15991096003143135,0.009563548476957924,0.10311785419190199,0.16839246602241173,,0.00035748617194406046,0.010530555882480513
qwen-3.0-80b,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.08316048921733506,0.5702839158682146,0.08316048921733506,0.08316048921733506,0.7434672032976997,0.41226846698965924,0.08316048921733506,1.0,1.0,0.3234749451713832,0.5702839158682146,,1.0
deepseek-3.1,0.6604312405882872,1.0,0.4211369313239446,0.6604312405882872,1.0,0.7672414557706502,0.7105198474425775,0.6604312405882872,1.0,0.08316048921733506,0.5702839158682146,0.3234749451713832,0.3234749451713832,0.7105198474425775,0.5702839158682146,1.0,0.09596045449533595,0.6604312405882872,
