evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.5903846153846155,0.375,0.4750000000000001,0.7,0.1499999999999999,0.07500000000000018,0.02499999999999991,0.7,0.4249999999999998,0.2749999999999999,0.17500000000000004,0.6000000000000001,0.46089743589743604,0.46089743589743604,0.27500000000000013,0.2749999999999999,0.3250000000000002,0.2250000000000001
gpt-4.1-mini,0.3999999999999999,,0.32499999999999996,0.32499999999999996,0.55,0.25,0.125,0.125,0.6000000000000001,0.2250000000000001,0.07499999999999996,0.17500000000000004,0.825,0.3999999999999999,0.44999999999999996,0.3999999999999999,0.2250000000000001,0.07499999999999996,0.125
gpt-4o,0.5539473684210527,0.7105263157894737,,0.375,0.8999999999999999,0.30000000000000004,0.050000000000000044,0.07500000000000018,0.9487179487179489,0.5403846153846155,0.125,0.125,0.8500000000000001,0.5,0.625,0.5608974358974359,0.25,0.0,0.17499999999999982
gpt-4.1,0.6000000000000001,0.6000000000000001,0.32499999999999996,,0.7250000000000001,0.27500000000000013,0.32499999999999996,0.2250000000000001,0.7749999999999999,0.5249999999999999,0.3999999999999999,0.375,0.8,0.42500000000000004,0.6929487179487179,0.42500000000000004,0.4500000000000002,0.3500000000000001,0.32499999999999996
haiku-3.5,0.575,0.3500000000000001,0.5,0.5,,0.3500000000000001,0.44999999999999996,0.32499999999999996,0.575,0.4750000000000001,0.44999999999999996,0.4500000000000002,0.8999999999999999,0.4391025641025641,0.625,0.44999999999999996,0.5,0.375,0.32499999999999996
sonnet-3.7,0.3250000000000002,0.2749999999999999,0.42500000000000004,0.25,0.09999999999999987,,0.5,0.2999999999999998,0.19999999999999996,0.3999999999999999,0.0,0.19999999999999996,0.4249999999999998,0.3500000000000001,0.25,0.2250000000000001,0.2749999999999999,0.375,0.3999999999999999
sonnet-4.5,0.3500000000000001,0.5249999999999999,0.17500000000000004,0.375,0.75,0.3500000000000001,,0.5,0.825,0.575,0.3250000000000002,0.17499999999999982,0.7749999999999999,0.39230769230769225,0.5249999999999999,0.2999999999999998,0.5249999999999999,0.30000000000000004,0.5
opus-4.1,0.5750000000000002,0.7250000000000001,0.375,0.5250000000000001,0.5,0.2250000000000001,0.42500000000000004,,0.8,0.7250000000000001,0.5249999999999999,0.5,0.7999999999999998,0.5717948717948718,0.5499999999999998,0.5,0.5250000000000001,0.3999999999999999,0.625
gemini-2.0-flash-lite,0.32499999999999996,0.30000000000000004,0.25,0.2250000000000001,0.5499999999999998,0.02499999999999991,0.0,0.07499999999999996,,0.125,0.07499999999999996,0.0,0.5999999999999999,0.1499999999999999,0.25,0.17500000000000004,0.10000000000000009,-0.025000000000000022,0.050000000000000044
gemini-2.0-flash,0.625,0.5249999999999999,0.5249999999999999,0.375,0.7250000000000001,0.30000000000000004,0.10000000000000009,0.17499999999999982,0.575,,0.32499999999999996,0.2250000000000001,0.825,0.4750000000000001,0.5,0.4249999999999998,0.3999999999999999,0.07499999999999996,0.3999999999999999
gemini-2.5-flash,0.9249999999999998,0.9750000000000001,0.6499999999999999,0.8500000000000001,1.0,0.3500000000000001,0.3999999999999999,0.42500000000000004,1.0,0.8,,0.1499999999999999,1.0,0.8,0.8999999999999999,0.6499999999999999,0.8500000000000001,0.3999999999999999,0.75
gemini-2.5-pro,0.7749999999999999,0.925,0.625,0.6499999999999999,0.8999999999999999,0.22499999999999987,0.32499999999999996,0.55,1.0,0.875,0.6749999999999998,,0.95,0.875,0.825,0.75,0.8500000000000001,0.4500000000000002,0.8500000000000001
ll-3.1-8b,0.1499999999999999,0.2250000000000001,0.050000000000000044,0.15000000000000013,0.07499999999999996,0.02499999999999991,0.0,0.02499999999999991,0.09999999999999987,0.050000000000000044,0.07499999999999996,0.0,,0.1499999999999999,0.2250000000000001,0.02499999999999991,0.02499999999999991,0.07499999999999996,0.07499999999999996
ll-3.1-70b,0.5108974358974359,0.55,0.3108974358974359,0.25,0.44999999999999996,0.23589743589743595,0.12564102564102564,0.125,0.5750000000000002,0.3500000000000001,0.2250000000000001,0.2749999999999999,0.75,,0.5249999999999999,0.375,0.3250000000000002,0.32499999999999996,0.3500000000000001
ll-3.1-405b,0.5108974358974361,0.375,0.32499999999999996,0.21794871794871806,0.575,0.025000000000000133,0.20000000000000018,0.02499999999999991,0.7,0.44999999999999996,0.2749999999999999,0.32499999999999996,0.7749999999999999,0.5,,0.375,0.3999999999999999,0.3547297297297298,0.10000000000000009
qwen-2.5-7b,0.4500000000000002,0.6499999999999999,0.5108974358974359,0.2749999999999999,0.8500000000000001,0.17500000000000004,-0.025000000000000022,0.07499999999999996,0.8500000000000001,0.4249999999999998,0.2250000000000001,0.19999999999999996,0.875,0.5499999999999998,0.5,,0.3999999999999999,0.2250000000000001,0.2250000000000001
qwen-2.5-72b,0.55,0.6499999999999999,0.375,0.4249999999999998,0.7,0.04999999999999982,0.25,0.125,0.875,0.575,0.44999999999999996,0.3999999999999999,0.8999999999999999,0.5249999999999999,0.5249999999999999,0.4750000000000001,,0.3999999999999999,0.2749999999999999
qwen-3.0-80b,0.8999999999999999,0.875,0.6000000000000001,0.75,0.7999999999999998,0.4500000000000002,0.44999999999999996,0.32499999999999996,0.7999999999999998,0.7,0.5,0.07499999999999996,0.7999999999999998,0.825,0.7047297297297299,0.7000000000000002,0.8999999999999999,,0.8250000000000002
deepseek-3.1,0.6499999999999999,0.8499999999999999,0.5249999999999999,0.575,0.9750000000000001,0.44999999999999996,0.15000000000000013,0.15000000000000013,1.0,0.75,0.19999999999999996,0.0,0.95,0.6499999999999999,0.7250000000000001,0.5249999999999999,0.4500000000000002,0.10000000000000009,
