evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.1596153846153846,0.0,-0.15000000000000002,0.050000000000000044,0.15000000000000002,-0.025000000000000022,-0.025000000000000022,0.025000000000000022,-0.22499999999999998,-0.275,-0.17500000000000002,0.15000000000000002,-0.024999999999999967,-0.0641025641025641,0.12499999999999994,-0.325,-0.30000000000000004,0.0
gpt-4.1-mini,-0.22499999999999998,,-0.1,-0.1,0.0,0.0,-0.07500000000000001,-0.125,0.050000000000000044,-0.09999999999999998,-0.024999999999999994,-0.175,-0.025000000000000022,-0.125,-0.125,-0.15000000000000002,-0.2,-0.024999999999999994,-0.05000000000000002
gpt-4o,0.046052631578947345,0.06447368421052635,,0.07499999999999996,0.025000000000000022,-0.025000000000000022,0.0,-0.07500000000000001,-0.023717948717948745,-0.015384615384615441,-0.025000000000000022,-0.125,0.04999999999999993,0.0,-0.07500000000000007,-0.010897435897435859,0.024999999999999967,0.0,0.10000000000000003
gpt-4.1,0.050000000000000044,0.17500000000000004,0.050000000000000044,,0.050000000000000044,0.024999999999999967,-0.125,-0.04999999999999999,0.050000000000000044,-0.125,-0.375,-0.37499999999999994,0.0,0.07499999999999996,0.025000000000000022,-0.050000000000000044,-0.175,-0.275,-0.025000000000000022
haiku-3.5,-0.32499999999999996,-0.07500000000000001,-0.425,-0.275,,-0.375,-0.425,-0.32499999999999996,0.07499999999999996,-0.3,-0.45,-0.45000000000000007,-0.025000000000000022,-0.1891025641025641,-0.325,-0.32499999999999996,-0.45,-0.35,-0.35
sonnet-3.7,0.1499999999999999,0.425,0.09999999999999998,0.27499999999999997,0.775,,-0.4,-0.2,0.775,0.15000000000000002,0.17500000000000004,-0.19999999999999996,0.5,0.17499999999999993,0.3,0.2749999999999999,-0.17499999999999993,-0.32500000000000007,0.07500000000000001
sonnet-4.5,0.2749999999999999,0.29999999999999993,0.32499999999999996,0.25,0.19999999999999996,0.275,,0.07499999999999996,0.125,0.025000000000000022,-0.025000000000000022,-0.17499999999999993,0.17500000000000004,0.3076923076923078,0.22499999999999998,0.15000000000000002,0.07499999999999996,-0.125,0.15000000000000002
opus-4.1,0.07499999999999996,0.17500000000000004,0.17500000000000004,0.02499999999999991,0.475,0.32500000000000007,-0.025000000000000022,,0.19999999999999996,-0.17499999999999993,-0.25,-0.49999999999999994,0.15000000000000002,0.1282051282051282,0.15000000000000002,0.07499999999999996,0.02499999999999991,-0.25,0.07499999999999996
gemini-2.0-flash-lite,-0.07499999999999996,-0.07500000000000001,-0.175,-0.10000000000000003,-0.25,-0.025,-0.025,-0.075,,-0.09999999999999999,-0.075,0.0,0.0,-0.1,0.0,-0.15000000000000002,-0.075,-0.025,-0.05
gemini-2.0-flash,0.02499999999999991,0.19999999999999996,-0.125,0.125,0.07499999999999996,-0.04999999999999999,0.050000000000000044,0.04999999999999999,0.35,,-0.125,-0.22499999999999998,0.07499999999999996,0.0,0.07499999999999996,-0.04999999999999993,-0.025000000000000022,0.0,-0.07500000000000001
