,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.01755608294103062,1.0,0.10970013782984392,0.3234749451713832,0.10970013782984392,0.7999375281936048,0.7999375281936048,0.3234749451713832,0.0051235694408548055,0.0004324919013755396,0.050913950000903214,0.032049808935126455,0.7854353297923937,0.4124481299969601,0.13340422288162462,0.00035748617194406046,0.0002101106390518012,1.0
gpt-4.1-mini,0.0051235694408548055,,0.20993874257441802,0.04398378691677216,1.0,1.0,0.3234749451713834,0.13340422288162462,0.3234749451713832,0.10311785419190199,0.3234749451713832,0.017611931616510864,0.5702839158682146,0.05773020355768705,0.09596045449533595,0.08316048921733506,0.009563548476957924,0.5702839158682146,0.48646728463836986
gpt-4o,0.16004928081560948,0.10314779946291532,,0.2620346280225958,0.3234749451713832,0.5702839158682146,1.0,0.08316048921733506,1.0,1.0,0.7105198474425775,0.05773020355768705,0.15991096003143135,1.0,0.08316048921733506,1.0,0.5702839158682146,1.0,0.04398378691677216
gpt-4.1,0.5338939001152949,0.017611931616510864,0.5702839158682146,,0.3234749451713832,0.7999375281936048,0.16839246602241173,0.5702839158682146,0.15991096003143124,0.09596045449533595,8.350923773292067e-05,2.089591881885961e-05,1.0,0.41226846698965924,0.7434672032976997,0.48646728463836986,0.08969868351109314,0.0032275338338229272,0.7854353297923936
haiku-3.5,9.983420250071443e-05,0.3234749451713834,1.760958583255596e-05,0.0014035129681758294,,8.350923773292067e-05,1.760958583255596e-05,0.00035748617194406046,0.3723669805154127,0.0017291717948422802,1.5920337303142612e-06,2.6030923077229088e-05,0.6604312405882872,0.058285308921479144,9.983420250071407e-05,0.00035748617194406046,7.736752780154574e-06,0.00017482223771303685,4.629107098940451e-05
sonnet-3.7,0.18301996150239597,1.760958583255596e-05,0.3234749451713832,0.014388648754876226,3.3381586175973516e-14,,0.00011607272448451639,0.10311785419190198,3.3381586175973516e-14,0.18301996150239597,0.128185154536761,0.0033730505801860804,2.3659946646190576e-07,0.08969868351109314,0.003373050580186074,0.009759623077235872,0.08969868351109314,0.0009088272855831884,0.4738380587937252
sonnet-4.5,0.0014035129681758294,0.0002101106390518012,9.983420250071443e-05,0.0059163827982102206,0.0033730505801860804,0.0004324919013755396,,0.08316048921733506,0.023351920363457058,0.6604312405882872,0.7854353297923936,0.017611931616510864,0.0064917046580324584,0.00019708659914195628,0.0017291717948422802,0.012359142085013994,0.3234749451713834,0.09596045449533595,0.10970013782984392
opus-4.1,0.08316048921733506,0.006491704658032463,0.006491704658032463,0.7854353297923936,6.271107061174908e-07,9.983420250071407e-05,0.7999375281936048,,0.003373050580186074,0.017611931616510864,0.010530555882480513,2.3659946646190576e-07,0.012359142085013994,0.023237265010245305,0.012359142085013994,0.08316048921733506,0.5702839158682146,0.010530555882480513,0.44555539942811107
gemini-2.0-flash-lite,0.18301996150239602,0.3234749451713834,0.0064917046580324584,0.04398378691677216,0.0027039335071804547,0.5702839158682146,0.3234749451713832,0.08316048921733506,,0.10311785419190198,0.08316048921733506,1.0,1.0,0.04398378691677216,1.0,0.012359142085013994,0.18301996150239602,0.3234749451713832,0.15991096003143135
gemini-2.0-flash,0.7999375281936048,0.04398378691677216,0.2564352010677305,0.20049586084994875,0.41226846698965924,0.6753438523819293,0.6432594172453439,0.6231952830196219,4.6291070989404345e-05,,0.22976813188050177,0.018116601980739205,0.2620346280225958,1.0,0.44555539942811107,0.6231952830196219,0.7999375281936048,1.0,0.5195605680331583
gemini-2.5-flash,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.4211369313239446,1.0,1.0,,0.023351920363457058,1.0,0.3234749451713832,0.3234749451713832,1.0,0.08316048921733506,1.0,0.3234749451713832
gemini-2.5-pro,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,1.0,1.0,0.15991096003143135,0.0008725735575987835,,1.0,1.0,1.0,1.0,1.0,0.04398378691677216,0.15991096003143135
ll-3.1-8b,0.15991096003143135,0.08316048921733506,0.3234749451713832,0.5702839158682146,0.15991096003143124,1.0,1.0,0.3234749451713832,1.0,1.0,0.08316048921733506,1.0,,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.04398378691677216,0.15991096003143124
ll-3.1-70b,0.5704548413552414,0.0064917046580324584,0.32363608386440834,0.7672414557706502,0.03298515293070816,0.4213174061602605,0.04398378691677216,0.023351920363457058,0.3234749451713834,0.6604312405882872,0.017611931616510864,0.0004324919013755396,0.6604312405882872,,0.15991096003143124,0.3234749451713832,0.012359142085013994,0.0008725735575987835,0.4211369313239446
ll-3.1-405b,0.5702839158682146,0.0008725735575987835,0.18301996150239602,0.6605792583493815,0.15991096003143135,0.010661253016161125,0.012359142085013994,0.7105198474425775,0.3234749451713832,0.012359142085013994,0.018900485537150465,9.983420250071443e-05,0.3234749451713832,0.5702839158682146,,0.7105198474425775,0.009563548476957924,0.00032895054644644885,0.5338939001152949
qwen-2.5-7b,0.3234749451713832,0.3234749451713832,0.08316048921733506,0.6604312405882872,1.0,1.0,0.3234749451713832,0.18301996150239602,0.08316048921733506,0.5702839158682146,0.032049808935126455,0.009563548476957924,0.3234749451713832,0.3234749451713832,1.0,,0.10311785419190199,0.017611931616510864,0.6604312405882872
qwen-2.5-72b,0.0033730505801860804,0.0002101106390518012,0.0033730505801860804,0.08316048921733506,0.0027039335071804547,0.00011607272448451639,0.25323508542565065,0.3723669805154127,0.18301996150239602,0.3234749451713834,0.0027039335071804547,3.888472442678895e-05,0.15991096003143135,0.0051235694408548055,0.032049808935126455,0.25323508542565065,,4.6291070989404345e-05,0.027105434306355224
