evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,-0.18461538461538463,0.050000000000000044,0.15000000000000002,-0.050000000000000044,-0.22499999999999998,0.0,0.07500000000000001,-0.025000000000000022,0.19999999999999996,0.275,0.25,-0.050000000000000044,0.04999999999999999,0.07500000000000001,-0.10000000000000003,0.2,0.22500000000000003,-0.04999999999999999
gpt-4.1-mini,0.175,,0.225,0.1,0.04999999999999993,0.09999999999999998,0.2,0.225,-0.025000000000000022,0.09999999999999998,0.024999999999999994,0.25,0.050000000000000044,0.17500000000000002,0.125,0.2,0.2,0.075,0.07500000000000001
gpt-4o,-0.062078272604588425,-0.03947368421052633,,-0.04999999999999993,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,0.125,0.023717948717948745,0.04038461538461546,0.15000000000000002,0.175,0.0,0.0,0.059615384615384626,0.0,-0.024999999999999967,0.04999999999999999,-0.07500000000000001
gpt-4.1,-0.07499999999999996,-0.20000000000000007,-0.050000000000000044,,-0.07500000000000007,-0.04999999999999999,0.07500000000000001,0.09999999999999998,-0.025000000000000022,0.15000000000000002,0.425,0.44999999999999996,0.025000000000000022,-0.07499999999999996,-0.025000000000000022,0.07499999999999996,0.175,0.32500000000000007,0.025000000000000022
haiku-3.5,0.32499999999999996,0.125,0.45,0.3,,0.375,0.475,0.32499999999999996,0.025000000000000022,0.3,0.45,0.5,0.025000000000000022,0.3391025641025641,0.325,0.375,0.45,0.35,0.35
sonnet-3.7,-0.17499999999999993,-0.55,-0.025000000000000022,-0.10000000000000003,-0.825,,0.65,0.5,-0.775,0.0,0.275,0.725,-0.42500000000000004,-0.22499999999999998,-0.22500000000000003,-0.19999999999999996,0.35,0.8,0.07500000000000001
sonnet-4.5,-0.32499999999999996,-0.32499999999999996,-0.375,-0.375,-0.22499999999999998,-0.35,,-0.025000000000000022,-0.15000000000000002,-0.10000000000000009,0.09999999999999998,0.44999999999999996,-0.17500000000000004,-0.33333333333333337,-0.275,-0.17500000000000004,-0.19999999999999996,0.050000000000000044,-0.25
opus-4.1,-0.07499999999999996,-0.17500000000000004,-0.17500000000000004,0.025000000000000022,-0.475,-0.375,0.125,,-0.19999999999999996,0.32499999999999996,0.5,0.85,-0.15000000000000002,-0.1282051282051282,-0.15000000000000002,-0.04999999999999993,-0.02499999999999991,0.4,-0.07499999999999996
gemini-2.0-flash-lite,0.07499999999999996,0.07500000000000001,0.175,0.10000000000000003,0.25,0.025,0.025,0.075,,0.12499999999999999,0.075,0.0,0.0,0.1,-0.024999999999999967,0.2,0.075,0.025,0.05
gemini-2.0-flash,-0.04999999999999993,-0.125,0.09999999999999998,-0.15000000000000002,-0.09999999999999998,0.04999999999999999,-0.050000000000000044,-0.024999999999999967,-0.35,,0.17500000000000002,0.25,-0.09999999999999998,0.0,-0.09999999999999998,0.09999999999999998,0.050000000000000044,0.0,0.09999999999999998
