,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.009513547377454724,0.48646728463836986,0.08316048921733506,0.3234749451713832,0.010661253016161125,1.0,0.41226846698965924,0.3234749451713832,0.009563548476957924,0.0004324919013755396,0.0027039335071804547,0.4211369313239446,0.5702839158682146,0.3723669805154127,0.20993874257441802,0.030633221824776388,0.010661253016161125,0.5993269211024361
gpt-4.1-mini,0.017611931616510864,,0.0017291717948422802,0.04398378691677216,0.15991096003143135,0.20993874257441802,0.003373050580186074,0.0017291717948422802,0.6604312405882872,0.10311785419190199,0.3234749451713832,0.0008725735575987835,0.15991096003143135,0.0064917046580324584,0.05773020355768705,0.018900485537150465,0.009563548476957924,0.08316048921733506,0.2620346280225958
gpt-4o,0.16004928081560948,0.18319640413269297,,0.3234749451713832,0.3234749451713832,0.7105198474425775,0.7434672032976994,0.023351920363457058,1.0,0.6605792583493815,0.05669100677848826,0.017611931616510864,1.0,1.0,0.15997833764787375,1.0,0.5702839158682146,0.3234749451713832,0.18301996150239602
gpt-4.1,0.41226846698965924,0.009563548476957924,0.5993269211024361,,0.18301996150239602,0.6231952830196219,0.4738380587937252,0.3234749451713832,0.5702839158682146,0.05669100677848826,1.760958583255596e-05,1.5920337303142612e-06,0.7105198474425775,0.44555539942811107,0.7672414557706502,0.3234749451713834,0.08969868351109314,0.0009088272855831884,0.7999375281936048
haiku-3.5,9.983420250071443e-05,0.13340422288162462,1.5920337303142612e-06,0.0007153923866428523,,8.350923773292067e-05,6.271107061174908e-07,0.00035748617194406046,0.7434672032976997,0.0017291717948422802,1.5920337303142612e-06,2.3659946646190576e-07,0.5702839158682146,0.0003483435463919072,0.00035748617194406046,8.350923773292067e-05,7.736752780154574e-06,0.00017482223771303685,4.629107098940451e-05
sonnet-3.7,0.16426096263503526,2.9026592062722794e-08,0.8378598248683087,0.4566790640233048,2.412231710901708e-16,,1.596964129662958e-08,1.5270843185257843e-05,3.3381586175973516e-14,1.0,0.025843326428150914,1.7238882497169078e-12,0.00013836717089415253,0.037232588507408355,0.04815232151768002,0.07315584857997082,0.00457000617880566,4.546738559251783e-12,0.4982384034577405
sonnet-4.5,9.983420250071443e-05,9.983420250071443e-05,2.089591881885961e-05,2.089591881885961e-05,0.0017291717948422802,4.629107098940451e-05,,0.7434672032976997,0.012359142085013994,0.10311785419190192,0.3234749451713832,1.5920337303142612e-06,0.0064917046580324584,9.212294404080043e-05,0.0004324919013755396,0.0064917046580324584,0.009563548476957924,0.5702839158682146,0.023351920363457058
opus-4.1,0.08316048921733506,0.006491704658032463,0.006491704658032463,0.7999375281936048,6.271107061174908e-07,2.089591881885961e-05,0.22976813188050177,,0.003373050580186074,0.00035748617194406046,1.5270843185257843e-05,1.1771819014101268e-17,0.012359142085013994,0.023237265010245305,0.012359142085013994,0.3234749451713832,0.6604312405882872,0.00027385737947389926,0.44555539942811107
gemini-2.0-flash-lite,0.18301996150239602,0.3234749451713834,0.0064917046580324584,0.04398378691677216,0.0027039335071804547,0.5702839158682146,0.3234749451713832,0.08316048921733506,,0.05773020355768705,0.08316048921733506,1.0,1.0,0.10311785419190198,0.7105198474425775,0.0033730505801860804,0.18301996150239602,0.3234749451713832,0.15991096003143135
gemini-2.0-flash,0.5993269211024361,0.20049586084994875,0.3522600618731436,0.08316048921733506,0.25323508542565065,0.6604312405882872,0.6231952830196219,0.8118482072985085,4.6291070989404345e-05,,0.07010413538106665,0.0059163827982102206,0.10311785419190199,1.0,0.290749133760195,0.3522600618731436,0.6231952830196219,1.0,0.37778821137764085
gemini-2.5-flash,0.3234749451713832,0.15991096003143135,0.3234749451713832,0.3234749451713832,1.0,1.0,0.15991096003143124,0.4211369313239446,1.0,0.7434672032976994,,0.2620346280225958,1.0,0.3234749451713832,0.5702839158682146,1.0,0.08316048921733506,0.7854353297923936,0.4211369313239446
gemini-2.5-pro,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,1.0,1.0,0.15991096003143135,0.0051235694408548055,,1.0,1.0,1.0,1.0,1.0,0.04398378691677216,0.15991096003143135
ll-3.1-8b,0.15991096003143135,1.0,0.15991096003143135,0.5702839158682146,0.023351920363457058,1.0,1.0,0.15991096003143135,0.48646728463836986,0.6604312405882872,0.08316048921733506,1.0,,0.15991096003143135,0.08316048921733506,1.0,0.3234749451713832,0.10311785419190199,0.3234749451713832
ll-3.1-70b,0.04398378691677216,0.0017291717948422802,0.32363608386440834,0.7672414557706502,0.03298515293070816,0.4213174061602605,0.012359142085013994,0.04398378691677216,0.15991096003143135,0.7105198474425775,0.0051235694408548055,4.629107098940451e-05,0.3234749451713832,,0.3234749451713832,0.4211369313239446,0.023351920363457058,0.0007153923866428523,0.2620346280225958
ll-3.1-405b,0.10311785419190199,0.0004324919013755396,0.05773020355768705,0.2620346280225958,0.15991096003143135,0.0059163827982102206,0.0033730505801860804,0.13340422288162462,0.3234749451713832,0.0017291717948422802,0.0059163827982102206,1.5920337303142612e-06,0.15991096003143135,0.3234749451713832,,0.7434672032976994,0.0051235694408548055,6.630791733125348e-06,0.41226846698965924
qwen-2.5-7b,0.3234749451713832,0.18301996150239602,0.2620346280225958,0.2620346280225958,0.08316048921733506,0.5702839158682146,0.48646728463836986,0.10311785419190199,0.08316048921733506,0.48646728463836986,0.0027039335071804547,0.0007153923866428523,0.3234749451713832,0.4211369313239446,0.3234749451713832,,0.017611931616510864,0.0027039335071804547,0.3234749451713832
qwen-2.5-72b,0.0033730505801860804,9.983420250071443e-05,9.983420250071407e-05,0.08316048921733506,0.0027039335071804547,0.00023581382815235518,0.20049586084994875,0.48646728463836986,0.18301996150239602,0.3234749451713834,0.0007153923866428523,2.3659946646190576e-07,0.15991096003143135,0.018900485537150465,0.05669100677848826,0.07010413538106665,,0.00601416913524899,0.009759623077235872
qwen-3.0-80b,1.0,0.15991096003143124,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.08316048921733506,1.0,0.04398378691677216,0.15991096003143135,0.48646728463836986,0.0051235694408548055,0.3234749451713832,0.5702839158682146,1.0,0.5702839158682146,0.023351920363457058,,0.3234749451713832
