evaluator,deepseek-3.0,deepseek-3.1,gemini-2.0-flash,gemini-2.0-flash-lite,gemini-2.5-flash,gemini-2.5-pro,gpt-4.1,gpt-4.1-mini,gpt-4o,gpt-4o-mini,haiku-3.5,ll-3.1-405b,ll-3.1-70b,ll-3.1-8b,opus-4.1,qwen-2.5-72b,qwen-2.5-7b,qwen-3.0-80b,sonnet-3.7,sonnet-4.5
deepseek-3.0,,-0.025000000000000022,0.025000000000000022,0.0,0.175,0.35,0.04999999999999993,-0.09999999999999998,-0.17499999999999993,-0.09999999999999998,0.0,,-0.15000000000000002,0.0,,0.0,-0.07499999999999996,0.05,-0.125,0.04999999999999999
deepseek-3.1,0.050000000000000044,,0.0,-0.050000000000000044,0.0,0.19999999999999998,-0.07499999999999996,-0.1499999999999999,0.0,0.04999999999999993,-0.050000000000000044,,-0.04999999999999993,0.0,,0.0,0.02499999999999991,-0.05000000000000002,0.050000000000000044,0.05000000000000002
gemini-2.0-flash,-0.10000000000000003,-0.125,,0.16249999999999998,-0.08750000000000002,0.025000000000000022,0.0,-0.025000000000000022,-0.09999999999999998,-0.025000000000000022,-0.09999999999999998,,-0.07499999999999996,-0.050000000000000044,,0.025000000000000022,-0.04999999999999993,0.1,-0.04999999999999999,0.025000000000000022
gemini-2.0-flash-lite,0.1,0.075,0.0,,0.037500000000000006,0.125,0.024999999999999967,0.10000000000000003,0.07500000000000001,0.125,0.050000000000000044,,0.07500000000000001,-0.04999999999999993,,0.125,0.024999999999999994,0.2,0.0,0.049999999999999996
gemini-2.5-flash,0.0,-0.025000000000000022,-0.012499999999999956,0.0,,-0.025000000000000022,0.0,-0.04999999999999993,-0.07500000000000007,0.025000000000000022,0.0,,-0.025000000000000022,0.0,,-0.025000000000000022,0.0,-0.050000000000000044,-0.04999999999999993,-0.04999999999999993
gemini-2.5-pro,0.0,-0.02499999999999991,0.03750000000000009,0.0,0.15000000000000002,,0.025000000000000022,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
gpt-4.1,0.04999999999999999,0.024999999999999967,0.15000000000000002,0.07500000000000007,-0.04999999999999999,-0.07499999999999996,,0.0,0.07499999999999996,-0.025000000000000022,0.09999999999999998,,0.0,-0.025000000000000022,,0.0,0.07499999999999996,0.125,-0.025000000000000022,-0.07500000000000001
gpt-4.1-mini,-0.025000000000000022,0.0,-0.04999999999999999,0.0,0.05,0.025000000000000022,-0.04999999999999999,,0.0,-0.024999999999999967,-0.025000000000000022,,-0.025000000000000022,-0.025000000000000022,,-0.024999999999999994,0.0,-0.024999999999999994,-0.07499999999999998,-0.04999999999999999
gpt-4o,0.025000000000000022,0.125,0.009615384615384581,-0.04871794871794877,0.0,0.125,0.0,-0.08552631578947367,,0.021052631578947323,0.025000000000000022,,0.0,0.0,,0.07499999999999996,0.07500000000000007,0.0,0.0,0.0
gpt-4o-mini,0.0,0.0,0.0,0.025000000000000022,-0.04999999999999999,-0.07500000000000001,0.0,-0.04038461538461546,0.0,,0.0,,-0.024999999999999967,0.050000000000000044,,-0.025000000000000022,0.0,-0.025000000000000022,0.0,-0.025000000000000022
haiku-3.5,-0.07500000000000001,-0.14999999999999997,0.0,0.0,-0.10000000000000003,-0.17500000000000004,-0.125,0.025000000000000022,-0.07500000000000001,-0.02499999999999991,,,-0.039102564102564075,-0.025000000000000022,,-0.09999999999999998,-0.04999999999999999,-0.275,-0.10000000000000003,-0.22499999999999998
ll-3.1-405b,,,,,,,,,,,,,,,,,,,,
ll-3.1-70b,0.039102564102564075,-0.024999999999999967,0.125,0.09999999999999998,0.024999999999999967,0.024999999999999967,0.0,0.07499999999999996,0.014102564102564108,0.07499999999999996,0.0,,,0.025000000000000022,,0.024999999999999967,0.07499999999999996,-0.025000000000000022,-0.03589743589743588,0.0
ll-3.1-8b,-0.024999999999999994,0.0,-0.02500000000000001,0.0,-0.024999999999999994,0.0,-0.024999999999999994,-0.07500000000000001,-0.024999999999999994,-0.07499999999999998,0.0,,0.025000000000000022,,,-0.024999999999999994,0.0,-0.075,-0.024999999999999994,0.0
opus-4.1,,,,,,,,,,,,,,,,,,,,
qwen-2.5-72b,-0.025000000000000022,-0.04999999999999999,0.0,0.025000000000000022,0.025000000000000022,-0.025000000000000022,0.0,0.0,0.0,0.0,0.025000000000000022,,-0.025000000000000022,0.0,,,0.025000000000000022,0.0,0.0,-0.025000000000000022
qwen-2.5-7b,0.0,0.0,0.0,-0.09999999999999998,0.0,0.024999999999999967,0.0,0.0,0.0,0.0,-0.09999999999999998,,0.0,0.0,,0.0,,0.0,0.0,0.0
qwen-3.0-80b,-0.275,-0.20000000000000007,-0.17499999999999993,-0.07499999999999996,-0.09999999999999998,0.050000000000000044,-0.22499999999999998,-0.07500000000000007,-0.15000000000000002,-0.17499999999999993,-0.09999999999999998,,-0.2749999999999999,0.125,,-0.25,-0.275,,-0.19999999999999996,-0.3999999999999999
sonnet-3.7,-0.050000000000000044,-0.07500000000000001,0.050000000000000044,0.5,-0.2,-0.125,-0.09999999999999998,-0.025000000000000022,-0.07499999999999996,-0.12500000000000006,0.225,,-0.025000000000000022,-0.09999999999999998,,-0.125,0.02499999999999991,-0.20000000000000007,,-0.22499999999999998
sonnet-4.5,0.0,-0.07499999999999996,-0.25,-0.07499999999999996,-0.07500000000000007,0.07500000000000007,-0.20000000000000007,-0.30000000000000004,-0.07499999999999996,-0.25000000000000006,-0.30000000000000004,,-0.19166666666666665,-0.25,,-0.125,0.0,0.07499999999999996,-0.2,
