evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.0,deepseek-3.1
gpt-4o-mini,,0.5704548413552414,1.0,1.0,1.0,1.0,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.08316048921733506,0.15991096003143135,0.3234749451713832,1.0,0.3234749451713832,0.5702839158682146,1.0,1.0
gpt-4.1-mini,0.5702839158682146,,1.0,0.3234749451713832,0.3234749451713832,0.08316048921733506,0.15991096003143135,1.0,0.3234749451713832,0.15991096003143135,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.5702839158682146,0.3234749451713832,1.0
gpt-4o,0.570634881938006,0.4215075450511595,,1.0,0.3234749451713832,1.0,1.0,0.32363608386440823,0.6605792583493815,1.0,0.023351920363457058,1.0,1.0,0.18301996150239602,0.08316048921733506,1.0,0.3234749451713832,0.023351920363457058
gpt-4.1,0.6604312405882872,1.0,0.08316048921733506,,0.15991096003143135,0.5702839158682146,0.18301996150239602,0.08316048921733506,0.012359142085013994,0.3234749451713832,0.18301996150239602,0.5702839158682146,1.0,0.18301996150239602,1.0,0.09596045449533595,0.3234749451713832,0.5702839158682146
haiku-3.5,0.5702839158682146,0.7105198474425775,0.18301996150239602,0.09596045449533595,,0.15991096003143135,0.0051235694408548055,0.7672414557706502,1.0,0.10311785419190192,0.0064917046580324584,0.5702839158682146,0.4213174061602605,0.4211369313239446,0.04398378691677216,0.0014035129681758294,0.2620346280225958,0.012359142085013994
sonnet-3.7,0.09596045449533595,0.7105198474425775,0.3234749451713834,0.15991096003143135,0.010661253016161125,,0.0017291717948422802,2.3659946646190576e-07,0.4211369313239446,0.030633221824776388,0.023351920363457058,0.25323508542565065,0.7434672032976994,0.6604312405882872,0.13340422288162462,0.003373050580186074,0.5338939001152949,0.41226846698965924
sonnet-4.5,0.0027039335071804547,0.0007153923866428523,0.32347494517138353,0.018900485537150465,0.0002101106390518012,0.018900485537150465,,0.2620346280225958,0.0027039335071804547,0.3234749451713834,0.18301996150239597,0.0027039335071804547,0.009513547377454724,1.0,0.05773020355768705,0.18301996150239602,1.0,0.2620346280225958
gemini-2.0-flash-lite,0.16839246602241173,0.25323508542565065,0.44555539942811107,0.7434672032976997,0.44555539942811107,1.0,0.15991096003143135,,1.0,0.5702839158682146,0.023351920363457058,0.5702839158682146,0.3234749451713834,0.7999375281936048,0.09596045449533595,0.0033730505801860804,0.10311785419190199,0.18301996150239602
gemini-2.0-flash,0.6604312405882872,0.5702839158682146,0.15991096003143135,1.0,0.10311785419190198,0.15991096003143135,0.3234749451713832,0.009563548476957924,,0.05773020355768705,0.5702839158682146,0.4211369313239446,0.2620346280225958,0.48646728463836986,0.7434672032976994,0.25323508542565065,0.10311785419190199,0.023351920363457058
gemini-2.5-flash,0.3234749451713832,0.15991096003143135,0.08316048921733506,1.0,1.0,0.15991096003143135,0.3234749451713832,1.0,0.5702839158682146,,0.3234749451713832,1.0,0.3234749451713832,1.0,0.5702839158682146,0.3234749451713832,1.0,0.5702839158682146
gemini-2.5-pro,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,1.0,0.3234749451713832,0.032049808935126455,,1.0,1.0,1.0,1.0,1.0,1.0,0.5702839158682146
ll-3.1-8b,0.18301996150239602,0.18301996150239602,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,1.0,1.0,0.5702839158682146,0.3234749451713832,1.0,,0.3234749451713832,1.0,0.3234749451713832,0.08316048921733506,0.3234749451713832,1.0
ll-3.1-70b,0.08316048921733506,0.08316048921733506,1.0,1.0,1.0,1.0,1.0,0.04398378691677216,0.023351920363457058,0.3234749451713832,0.3234749451713832,0.3234749451713832,,0.08316048921733506,0.3234749451713832,0.3234749451713832,0.32363608386440823,0.3234749451713832
qwen-2.5-7b,1.0,1.0,1.0,1.0,0.10311785419190192,1.0,1.0,0.04398378691677216,1.0,1.0,0.3234749451713832,1.0,1.0,,1.0,1.0,1.0,1.0
qwen-2.5-72b,1.0,1.0,1.0,1.0,0.5702839158682146,1.0,0.3234749451713832,0.5702839158682146,1.0,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,,1.0,0.3234749451713832,0.15991096003143135
qwen-3.0-80b,0.017611931616510864,0.2620346280225958,0.012359142085013994,0.0051235694408548055,0.10311785419190198,0.0033730505801860804,9.158898673391077e-06,0.2620346280225958,0.017611931616510864,0.25323508542565065,0.5338939001152949,0.023351920363457058,0.0032275338338229272,0.0004324919013755396,0.0008725735575987835,,0.0004324919013755396,0.003373050580186074
deepseek-3.0,0.10311785419190198,0.04398378691677216,0.017611931616510864,0.5338939001152949,1.0,0.05773020355768705,0.4211369313239446,1.0,0.6604312405882872,0.03298515293070816,4.6291070989404345e-05,1.0,0.012359142085013994,0.2620346280225958,1.0,0.15991096003143124,,0.7105198474425775
deepseek-3.1,0.4211369313239446,0.012359142085013994,1.0,0.3234749451713834,0.15991096003143124,0.5702839158682146,0.4211369313239446,0.15991096003143135,1.0,1.0,0.018900485537150465,1.0,0.4211369313239446,0.7434672032976997,1.0,0.4211369313239446,0.4211369313239446,
