,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.5702839158682146,0.48646728463836986,0.15991096003143135,0.3234749451713832,0.5702839158682146,0.7672414557706502,0.7105198474425775,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.15991096003143135,0.5702839158682146,1.0,0.7105198474425775,0.04398378691677216,0.0064917046580324584,0.6604312405882872
gpt-4.1-mini,0.3234749451713832,,0.3234749451713832,1.0,1.0,0.08316048921733506,0.08316048921733506,0.3234749451713832,0.3234749451713832,1.0,1.0,0.3234749451713832,1.0,0.3234749451713832,0.15991096003143124,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832
gpt-4o,1.0,0.0438940794168621,,1.0,0.3234749451713832,0.5710253890895836,1.0,1.0,1.0,0.08314877539551088,0.6608995723512259,1.0,0.32380587235541847,0.16012407999050976,1.0,0.3243747105262056,1.0,0.18319640413269297,1.0
gpt-4.1,0.15991096003143135,1.0,1.0,,0.3234749451713832,0.3234749451713832,0.10311785419190192,1.0,0.15991096003143135,0.3234749451713832,0.5702839158682146,0.04398378691677216,1.0,0.15991096003143135,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.5702839158682146
haiku-3.5,0.15991096003143135,0.3234749451713832,0.3234749451713832,1.0,,1.0,0.3234749451713832,1.0,0.08316048921733506,1.0,1.0,0.08316048921733506,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,1.0
sonnet-3.7,0.3234749451713832,0.04398378691677216,0.08316048921733506,0.6604312405882872,0.15991096003143135,,0.05773020355768705,0.012359142085013994,1.0,0.3234749451713832,0.15991096003143135,0.0017291717948422802,0.3234749451713832,0.15991096003143124,0.3234749451713832,0.5702839158682146,0.7105198474425775,0.05773020355768705,0.5702839158682146
sonnet-4.5,0.15991096003143135,0.15991096003143135,1.0,0.04398378691677216,0.3234749451713832,1.0,,0.4211369313239446,0.3234749451713832,0.3234749451713832,0.012359142085013994,0.18301996150239602,1.0,1.0,0.3234749451713832,1.0,0.3234749451713832,0.4211369313239446,0.3234749451713832
opus-4.1,1.0,1.0,0.3234749451713832,1.0,1.0,0.3234749451713832,0.3234749451713834,,1.0,0.3234749451713832,0.2620346280225958,0.0064917046580324584,1.0,1.0,0.3234749451713832,1.0,1.0,0.7434672032976994,0.5702839158682146
gemini-2.0-flash-lite,1.0,0.3234749451713832,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.3234749451713832,0.3234749451713832,0.15991096003143124,1.0,1.0,1.0
gemini-2.0-flash,0.3234749451713832,0.5702839158682146,0.3234749451713832,1.0,0.3234749451713832,0.15991096003143135,1.0,0.3234749451713832,0.3234749451713832,,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.15991096003143135,1.0,0.3234749451713832,0.08316048921733506,0.5702839158682146
gemini-2.5-flash,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,0.5702839158682146,0.3234749451713832,1.0,0.15991096003143135,,0.3234749451713832,1.0,1.0,1.0,0.5702839158682146,1.0,0.7672414557706502,0.5702839158682146
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3234749451713832,0.3234749451713832,,1.0,1.0,1.0,1.0,1.0,0.3234749451713832,1.0
ll-3.1-8b,1.0,0.15991096003143135,0.3234749451713832,0.15991096003143124,0.15991096003143124,1.0,1.0,1.0,0.15991096003143135,0.3234749451713832,1.0,1.0,,0.3234749451713832,1.0,1.0,1.0,1.0,1.0
ll-3.1-70b,0.32363608386440823,0.32363608386440834,1.0,1.0,1.0,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.5702839158682146,0.3234749451713832,0.15991096003143124,1.0,,1.0,0.3234749451713832,0.15991096003143135,0.5702839158682146,1.0
ll-3.1-405b,0.32380587235541847,0.16012407999050976,1.0,0.32380587235541847,1.0,1.0,0.3234749451713832,0.04398378691677216,1.0,1.0,1.0,0.15991096003143135,1.0,1.0,,1.0,0.3234749451713832,0.08314216219362838,1.0
qwen-2.5-7b,1.0,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.15991096003143135,0.5702839158682146,0.3234749451713832,1.0,0.08316048921733506,1.0,0.15991096003143124,1.0,1.0,1.0,,0.3234749451713832,0.15991096003143124,0.3234749451713832
qwen-2.5-72b,1.0,0.3234749451713832,0.3234749451713832,1.0,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,0.3234749451713832,0.15991096003143135,0.3234749451713832,,0.3234749451713832,0.3234749451713832
qwen-3.0-80b,1.0,1.0,1.0,1.0,0.3234749451713832,1.0,0.15991096003143135,0.3234749451713832,0.3234749451713832,1.0,1.0,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.15991096003143135,1.0,,0.15991096003143135
deepseek-3.1,0.3234749451713832,0.3234749451713832,0.08316048921733506,0.5702839158682146,0.3234749451713832,0.4211369313239446,1.0,0.5702839158682146,1.0,0.6604312405882872,0.18301996150239602,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,1.0,0.6604312405882872,0.15991096003143124,
