evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,-0.050000000000000044,0.10000000000000003,0.050000000000000044,-0.025000000000000022,-0.04999999999999993,-0.050000000000000044,0.025000000000000022,0.0,0.0,-0.025,0.1,0.04999999999999993,0.07500000000000001,0.010897435897435914,0.0,-0.024999999999999994,0.10000000000000003,-0.024999999999999967
gpt-4.1-mini,0.0,,0.07499999999999998,0.0,0.04999999999999993,0.024999999999999994,0.05,0.05,0.0,0.0,0.0,0.05,0.025000000000000022,0.024999999999999994,-0.04999999999999999,0.0,0.0,0.024999999999999994,0.0
gpt-4o,-0.02991452991452992,-0.06578947368421051,,0.03888888888888886,-0.025000000000000022,-0.05277777777777781,0.017857142857142794,0.07222222222222219,0.0,0.10921052631578954,0.15540540540540537,0.08676470588235291,0.022368421052631593,-0.030405405405405372,-0.010121457489878583,0.0535714285714286,-0.036111111111111094,0.1486842105263157,0.061486486486486525
gpt-4.1,0.025000000000000022,-0.025000000000000022,0.0,,-0.050000000000000044,0.0,0.04999999999999999,0.04999999999999999,-0.025000000000000022,0.0,0.02500000000000001,-0.024999999999999994,0.02179487179487183,0.050000000000000044,-0.0064102564102563875,0.04999999999999993,0.025000000000000022,0.024999999999999994,-0.024999999999999967
haiku-3.5,0.04999999999999999,0.07499999999999996,0.0,0.024999999999999994,,0.0,0.025,0.0,0.025000000000000022,0.0,0.0,-0.025,0.025000000000000022,0.15,0.024999999999999967,0.07499999999999998,0.024999999999999994,0.0,0.0
sonnet-3.7,0.0,-0.025000000000000022,0.0,0.19999999999999996,0.0,,0.125,0.15,0.0,0.125,0.35,0.30000000000000004,0.04999999999999993,0.0,0.125,0.050000000000000044,0.15000000000000002,0.35,0.125
sonnet-4.5,0.0,0.025000000000000022,-0.050000000000000044,-0.025000000000000022,0.0,-0.07499999999999996,,0.09999999999999998,0.0,-0.025000000000000022,0.22499999999999998,0.19999999999999996,0.0,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,-0.09999999999999998,-0.025000000000000022,-0.04999999999999993
opus-4.1,0.0,0.0,-0.025000000000000022,0.04999999999999993,0.0,0.0,0.024999999999999967,,0.0,0.09999999999999998,0.17500000000000004,0.17500000000000002,0.0,0.0,-0.025000000000000022,0.025000000000000022,0.0,0.125,-0.025000000000000022
gemini-2.0-flash-lite,0.0,0.025000000000000022,0.0,0.0,-0.04999999999999999,0.0,0.0,0.0,,0.024999999999999994,0.0,0.0,0.0,-0.024999999999999994,0.0,0.0,0.0,0.0,0.0
gemini-2.0-flash,0.0,0.04999999999999993,0.0,-0.025000000000000022,0.0,0.04999999999999999,0.0,0.0,0.025000000000000022,,0.024999999999999994,0.024999999999999994,0.0,-0.025000000000000022,0.025000000000000022,0.050000000000000044,0.050000000000000044,-0.07500000000000001,0.04999999999999999
gemini-2.5-flash,0.0,0.02499999999999991,0.0,-0.025000000000000022,0.0,-0.025000000000000022,0.0,-0.025000000000000022,0.0,-0.025000000000000022,,-0.024999999999999994,0.0,0.0,-0.02499999999999991,-0.025000000000000022,0.0,0.050000000000000044,0.125
gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,,0.0,0.0,0.0,0.0,0.0,0.025000000000000022,0.0
ll-3.1-8b,0.0,-0.025000000000000022,0.0,0.04999999999999999,-0.025000000000000022,0.0,0.0,0.025,0.0,0.0,0.0,0.0,,0.024999999999999994,0.05000000000000002,0.02500000000000001,0.0,0.0,-0.025
ll-3.1-70b,-0.050000000000000044,-0.005769230769230749,0.0,-0.012820512820512886,0.0,-0.024999999999999967,0.04999999999999999,0.0,0.0,0.025000000000000022,0.025000000000000022,0.024999999999999994,-0.02499999999999991,,-0.025000000000000022,0.024999999999999967,0.024999999999999967,0.024999999999999994,0.025000000000000022
ll-3.1-405b,-0.09736842105263155,-0.07837837837837835,-0.04999999999999999,-0.009210526315789502,0.0,-0.024999999999999967,0.024999999999999994,0.0,0.0,0.07500000000000001,0.04999999999999999,0.075,-0.004487179487179471,-0.011538461538461608,,0.0,0.04999999999999999,0.05263157894736842,-0.024999999999999967
qwen-2.5-7b,0.0,0.0,0.024999999999999967,-0.050000000000000044,-0.04999999999999993,0.025000000000000022,0.07500000000000001,0.04999999999999999,0.0,0.0,0.09999999999999998,0.05000000000000002,0.0,0.0,0.050000000000000044,,0.10000000000000003,0.025000000000000022,0.04999999999999999
qwen-2.5-72b,0.0,-0.050000000000000044,-0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000022,0.05000000000000002,0.075,0.0,0.0,-0.050000000000000044,-0.050000000000000044,,-0.05000000000000002,-0.025000000000000022
qwen-3.0-80b,0.0,-0.025000000000000022,0.0,-0.02499999999999991,-0.025000000000000022,0.0,0.0,0.025000000000000022,-0.02499999999999991,0.025000000000000022,0.025000000000000022,0.14999999999999997,0.025000000000000022,0.02499999999999991,0.0,0.050000000000000044,0.09999999999999998,,0.050000000000000044
deepseek-3.1,0.02499999999999991,-0.025000000000000022,0.050000000000000044,0.025000000000000022,0.025000000000000022,0.024999999999999967,0.0,0.0,0.0,0.04999999999999993,0.10000000000000003,0.024999999999999994,-0.025000000000000022,0.07499999999999996,0.09999999999999998,0.025000000000000022,0.10000000000000003,0.0,
