,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.15991096003143135,0.04398378691677216,0.15991096003143135,0.3234749451713832,0.15991096003143135,0.5702839158682146,0.6604312405882872,1.0,1.0,0.3234749451713832,0.04398378691677216,0.15991096003143135,0.18301996150239602,1.0,1.0,0.6604312405882872,0.04398378691677216,0.3234749451713832
gpt-4.1-mini,1.0,,0.08316048921733506,1.0,0.15991096003143135,0.5702839158682146,0.15991096003143124,0.15991096003143124,1.0,1.0,1.0,0.15991096003143135,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,1.0,0.3234749451713832,1.0
gpt-4o,1.0,0.08314877539551088,,0.5710253890895836,0.3234749451713832,0.3241743423860386,1.0,0.3241743423860386,1.0,0.023237265010245325,0.09598351537154143,0.661451584292237,1.0,0.16012407999050976,0.32398502626512715,1.0,1.0,0.023237265010245325,0.570824786694462
gpt-4.1,0.3234749451713832,0.3234749451713832,1.0,,0.15991096003143124,1.0,0.3234749451713832,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.3234749451713832,0.32363608386440823,0.15991096003143135,1.0,0.15991096003143135,0.3234749451713832,0.3234749451713832,0.5702839158682146
haiku-3.5,0.15991096003143135,0.08316048921733506,1.0,0.3234749451713832,,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,1.0,0.3234749451713832,0.3234749451713832,0.012359142085013994,0.3234749451713832,0.18301996150239602,0.3234749451713832,1.0,1.0
sonnet-3.7,1.0,0.6604312405882872,1.0,0.0033730505801860804,1.0,,0.023351920363457058,0.032049808935126455,1.0,0.023351920363457058,4.6291070989404345e-05,0.0002101106390518012,0.15991096003143135,1.0,0.05773020355768705,0.4211369313239446,0.05669100677848826,4.629107098940451e-05,0.09596045449533595
sonnet-4.5,1.0,0.3234749451713832,0.15991096003143135,0.3234749451713832,1.0,0.08316048921733506,,0.15991096003143135,1.0,0.3234749451713832,0.0017291717948422802,0.009563548476957924,1.0,0.32380587235541847,0.3234749451713832,0.3234749451713832,0.04398378691677216,0.6604312405882872,0.4211369313239446
opus-4.1,1.0,1.0,0.3234749451713832,0.15991096003143135,1.0,1.0,0.7105198474425775,,1.0,0.04398378691677216,0.0064917046580324584,0.0064917046580324584,1.0,1.0,0.3234749451713832,0.3234749451713832,1.0,0.09596045449533595,0.5702839158682146
gemini-2.0-flash-lite,1.0,0.5702839158682146,1.0,1.0,0.15991096003143135,1.0,1.0,1.0,,0.3234749451713832,1.0,1.0,1.0,0.3234749451713832,1.0,1.0,1.0,1.0,1.0
gemini-2.0-flash,1.0,0.15991096003143135,1.0,0.5702839158682146,1.0,0.15991096003143124,1.0,1.0,0.3234749451713832,,0.3234749451713832,0.6604312405882872,1.0,0.3234749451713832,0.3234749451713832,0.15991096003143135,0.15991096003143135,0.08316048921733506,0.15991096003143135
gemini-2.5-flash,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,0.3234749451713832,,0.5702839158682146,1.0,1.0,0.5702839158682146,0.3234749451713832,1.0,0.48646728463836986,0.05773020355768705
