evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,-0.025000000000000022,0.050000000000000044,0.0,0.0,-0.07499999999999996,-0.025000000000000022,0.04999999999999999,0.0,-0.025000000000000022,0.0,0.07500000000000001,0.09999999999999998,0.025000000000000022,0.010897435897435914,0.02499999999999991,-0.12499999999999999,-0.07499999999999998,-0.04999999999999999
gpt-4.1-mini,-0.04999999999999999,,0.125,0.0,0.04999999999999993,0.09999999999999998,0.12499999999999999,0.1,0.025000000000000022,0.0,0.0,0.075,0.025000000000000022,0.05000000000000002,0.0,0.04999999999999999,0.0,0.05,0.024999999999999994
gpt-4o,-0.01602564102564108,0.025000000000000022,,0.025000000000000022,0.0,-0.050000000000000044,-0.025000000000000022,0.04999999999999999,0.0,0.025000000000000022,0.125,0.04999999999999999,0.04999999999999993,0.0,-0.015384615384615441,-0.010897435897435859,0.0,0.04999999999999999,0.025000000000000022
gpt-4.1,-0.02499999999999991,-0.025000000000000022,0.0,,-0.025000000000000022,-0.025000000000000022,-0.04999999999999999,0.04999999999999999,0.025000000000000022,0.025000000000000022,0.05,0.07500000000000001,0.025000000000000022,0.0,0.0,0.02499999999999991,0.0,0.05000000000000002,0.0
haiku-3.5,0.0,0.04999999999999999,0.024999999999999994,0.024999999999999994,,0.0,0.05,0.0,0.09999999999999998,0.0,0.0,0.05,0.0,0.15,0.0,0.04999999999999999,0.0,0.0,0.0
sonnet-3.7,-0.025000000000000022,-0.125,0.07499999999999996,0.17499999999999993,-0.04999999999999993,,0.25,0.30000000000000004,0.0,0.15000000000000002,0.45000000000000007,0.525,0.07499999999999996,-0.050000000000000044,0.07499999999999996,0.07499999999999996,0.17500000000000004,0.475,0.15000000000000002
sonnet-4.5,-0.050000000000000044,-0.025000000000000022,-0.050000000000000044,-0.125,-0.025000000000000022,-0.07499999999999996,,0.04999999999999993,-0.025000000000000022,-0.07500000000000007,0.07499999999999996,0.275,0.0,-0.02564102564102555,-0.050000000000000044,-0.025000000000000022,-0.125,-0.07499999999999996,-0.09999999999999998
opus-4.1,0.0,0.0,0.0,0.04999999999999993,0.0,-0.04999999999999993,0.09999999999999998,,0.0,0.15000000000000002,0.25,0.35,0.0,0.0,0.0,0.025000000000000022,0.0,0.15000000000000002,0.0
gemini-2.0-flash-lite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.024999999999999994,0.0,0.0,0.0,0.0,-0.024999999999999967,0.049999999999999996,0.0,0.0,0.0
gemini-2.0-flash,-0.025000000000000022,0.07499999999999996,-0.025000000000000022,-0.025000000000000022,-0.025000000000000022,0.0,0.0,0.025000000000000022,0.0,,0.05000000000000002,0.024999999999999994,-0.025000000000000022,0.0,-0.025000000000000022,0.050000000000000044,0.025000000000000022,0.0,0.024999999999999967
gemini-2.5-flash,0.0,0.02499999999999991,0.0,0.0,0.0,-0.025000000000000022,0.02499999999999991,0.0,0.0,0.025000000000000022,,-0.05,0.0,0.0,-0.02499999999999991,0.0,0.0,0.025000000000000022,0.09999999999999998
gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ll-3.1-8b,0.0,-0.07500000000000001,0.02500000000000001,0.0,-0.07500000000000001,0.0,0.0,0.025,-0.04999999999999999,0.02500000000000001,0.0,0.0,,0.04999999999999999,0.05000000000000002,0.02500000000000001,0.0,0.0,-0.025
ll-3.1-70b,-0.0608974358974359,-0.050000000000000044,0.0,0.0,0.0,0.0,0.04999999999999999,-0.025000000000000022,-0.025000000000000022,0.050000000000000044,0.05000000000000002,0.075,-0.02499999999999991,,-0.025000000000000022,0.0,-0.025000000000000022,0.05000000000000002,0.025000000000000022
ll-3.1-405b,-0.125,-0.02499999999999991,-0.04999999999999999,-0.04294871794871802,0.0,-0.024999999999999967,0.04999999999999999,0.09999999999999998,0.0,0.07500000000000001,0.04999999999999999,0.12499999999999999,-0.02499999999999991,-0.025000000000000022,,0.0,0.025000000000000022,0.1386913229018493,-0.024999999999999967
qwen-2.5-7b,0.0,-0.025000000000000022,0.0,-0.050000000000000044,-0.07499999999999996,-0.025000000000000022,0.10000000000000003,0.024999999999999967,0.0,0.07499999999999996,0.09999999999999998,0.1,0.0,0.0,0.050000000000000044,,0.07500000000000001,0.07500000000000001,0.024999999999999967
qwen-2.5-72b,0.0,-0.025000000000000022,-0.125,0.0,0.0,0.025000000000000022,0.025000000000000022,-0.024999999999999967,0.0,0.0,0.05000000000000002,0.09999999999999999,0.0,0.02499999999999991,0.0,-0.07500000000000007,,-0.07500000000000001,-0.050000000000000044
qwen-3.0-80b,0.0,-0.025000000000000022,0.0,-0.02499999999999991,0.0,0.0,-0.050000000000000044,0.0,0.0,0.025000000000000022,0.025000000000000022,0.175,0.025000000000000022,0.0,0.02499999999999991,0.0,0.09999999999999998,,0.0
deepseek-3.1,-0.025000000000000022,-0.04999999999999993,0.125,0.04999999999999993,0.0,-0.025000000000000022,0.0,0.024999999999999967,0.0,0.025000000000000022,0.025000000000000022,0.05,-0.025000000000000022,0.02499999999999991,0.07499999999999996,0.025000000000000022,0.07500000000000001,0.05000000000000002,
