,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1
gpt-4o-mini,,0.3234749451713832,0.48646728463836986,1.0,1.0,0.08316048921733506,0.7105198474425775,0.4211369313239446,1.0,0.3234749451713832,1.0,0.08316048921733506,0.04398378691677216,0.7105198474425775,1.0,0.7105198474425775,0.023351920363457058,0.08316048921733506,0.3234749451713832
gpt-4.1-mini,0.3234749451713832,,0.023351920363457058,1.0,0.15991096003143135,0.04398378691677216,0.023351920363457058,0.04398378691677216,0.3234749451713832,1.0,1.0,0.08316048921733506,0.3234749451713832,0.15991096003143124,1.0,0.15991096003143135,1.0,0.15991096003143124,0.3234749451713832
gpt-4o,1.0,0.3234749451713832,,0.5702839158682146,1.0,0.4211369313239446,0.6604312405882872,0.15991096003143135,1.0,0.6604312405882872,0.023351920363457058,0.4211369313239446,0.15991096003143135,1.0,0.32363608386440823,0.32363608386440834,1.0,0.3234749451713832,0.6604312405882872
gpt-4.1,0.5702839158682146,0.3234749451713832,1.0,,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.3234749451713832,0.5702839158682146,0.15991096003143135,0.08316048921733506,0.3234749451713832,1.0,1.0,0.5702839158682146,1.0,0.15991096003143124,1.0
haiku-3.5,1.0,0.15991096003143124,0.3234749451713832,0.3234749451713832,,1.0,0.15991096003143135,1.0,0.04398378691677216,1.0,1.0,0.15991096003143135,1.0,0.012359142085013994,1.0,0.3234749451713832,1.0,1.0,1.0
sonnet-3.7,0.7105198474425775,0.05773020355768705,0.3234749451713834,0.032985152930708146,0.15991096003143135,,0.0027039335071804547,0.0002101106390518012,1.0,0.012359142085013994,2.6030923077229088e-05,8.510244968700323e-08,0.08316048921733506,0.4211369313239446,0.2620346280225958,0.2620346280225958,0.07010413538106665,3.288483708117103e-06,0.08316048921733506
sonnet-4.5,0.15991096003143135,0.3234749451713832,0.15991096003143135,0.023351920363457058,0.3234749451713832,0.08316048921733506,,0.5338939001152949,0.3234749451713832,0.08316048921733506,0.2620346280225958,0.0004324919013755396,1.0,0.32380587235541847,0.15991096003143124,0.3234749451713832,0.023351920363457058,0.32347494517138353,0.10311785419190199
opus-4.1,1.0,1.0,1.0,0.3234749451713832,1.0,0.15991096003143135,0.10311785419190192,,1.0,0.012359142085013994,0.0027039335071804547,4.629107098940451e-05,1.0,1.0,1.0,0.3234749451713832,1.0,0.032049808935126455,1.0
gemini-2.0-flash-lite,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3234749451713832,1.0,1.0,1.0,1.0,0.3234749451713832,0.15991096003143124,1.0,1.0,1.0
gemini-2.0-flash,0.3234749451713832,0.08316048921733506,0.3234749451713832,0.6604312405882872,0.3234749451713832,1.0,1.0,0.3234749451713832,1.0,,0.15991096003143135,0.3234749451713832,0.3234749451713832,1.0,0.3234749451713832,0.15991096003143135,0.3234749451713832,1.0,0.3234749451713832
gemini-2.5-flash,1.0,0.3234749451713832,1.0,1.0,1.0,0.3234749451713832,0.5702839158682146,1.0,1.0,0.3234749451713832,,0.15991096003143135,1.0,1.0,0.3234749451713832,1.0,1.0,0.7105198474425775,0.10311785419190198
gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3234749451713832,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ll-3.1-8b,1.0,0.08316048921733506,0.3234749451713832,1.0,0.08316048921733506,1.0,1.0,0.5702839158682146,0.15991096003143135,0.3234749451713832,1.0,1.0,,0.15991096003143135,0.15991096003143135,0.3234749451713832,1.0,1.0,0.3234749451713832
ll-3.1-70b,0.0831548665581953,0.15991096003143135,1.0,1.0,1.0,1.0,0.15991096003143135,0.3234749451713832,0.3234749451713832,0.15991096003143135,0.3234749451713832,0.08316048921733506,0.3234749451713832,,0.3234749451713832,1.0,0.6604312405882872,0.3234749451713832,0.5702839158682146
ll-3.1-405b,0.023351920363457058,0.3234749451713832,0.15991096003143135,0.15997833764787375,1.0,0.3234749451713832,0.15991096003143124,0.04398378691677216,1.0,0.08316048921733506,0.15991096003143124,0.023351920363457058,0.3234749451713832,0.5702839158682146,,1.0,0.5702839158682146,0.01219039032855804,0.5702839158682146
qwen-2.5-7b,1.0,0.3234749451713832,1.0,0.15991096003143124,0.08316048921733506,0.3234749451713832,0.10311785419190199,0.3234749451713832,1.0,0.18301996150239602,0.04398378691677216,0.04398378691677216,1.0,1.0,0.15991096003143124,,0.08316048921733506,0.08316048921733506,0.3234749451713832
qwen-2.5-72b,1.0,0.3234749451713832,0.023351920363457058,1.0,1.0,0.3234749451713832,0.5702839158682146,0.5702839158682146,1.0,1.0,0.15991096003143135,0.04398378691677216,1.0,0.3234749451713832,1.0,0.18301996150239602,,0.08316048921733506,0.15991096003143124
qwen-3.0-80b,1.0,0.3234749451713832,1.0,0.3234749451713832,1.0,1.0,0.15991096003143135,1.0,1.0,0.3234749451713832,0.3234749451713832,0.0064917046580324584,0.5702839158682146,1.0,0.3234749451713832,1.0,0.04398378691677216,,1.0
deepseek-3.1,0.6604312405882872,0.15991096003143135,0.05773020355768705,0.3234749451713832,1.0,0.7434672032976997,1.0,0.6604312405882872,1.0,0.5702839158682146,0.6604312405882872,0.15991096003143135,0.3234749451713832,0.7105198474425775,0.08316048921733506,0.7105198474425775,0.18301996150239602,0.15991096003143124,
