evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.475,0.475,0.48,0.4,0.475,0.465,,0.52,0.495,0.5,0.545,0.485,0.49,0.475,0.51,0.485,0.665,0.5349999999999999,0.57,0.5249999999999999,0.49,0.46,0.505,0.505
gpt-4.1-mini,0.285,0.5,0.26,0.27,0.435,0.4,0.545,,0.645,0.415,0.725,0.535,0.495,0.465,0.455,0.385,0.87,0.735,0.72,0.765,0.595,0.335,0.38,0.435
gpt-4o,0.43295,0.4792,0.4619129251700681,0.405,0.495,0.46738095238095234,0.4945833333333334,0.5330781627719582,,0.512704248366013,0.5936272108843538,0.5001315068493151,0.48960000000000004,0.4898,0.4847945205479452,0.49499799919967985,0.7536,0.6093931972789116,0.5560164383561643,0.5892571428571428,0.5358739726027397,0.4796,0.48744897959183675,0.5807999999999999
gpt-4.1,0.505,0.51,0.515,0.5,0.5399999999999999,0.505,0.53,0.5,0.53,,0.595,0.515,0.5,0.5,0.55,0.5299999999999999,0.855,0.69,0.65,0.735,0.57,0.525,0.535,0.535
haiku-3.5,0.22,0.325,0.19,0.255,0.245,0.255,0.44,0.355,0.44,0.295,,0.395,0.305,0.295,0.29,0.22,0.7,0.53,0.57,0.505,0.435,0.235,0.215,0.325
sonnet-3.7,0.7447342465753425,0.6452273047149895,0.4806,0.46,0.675,0.81,0.26882758620689656,0.2728082191780822,0.24482816901408447,0.3056876712328767,0.4661224489795919,,0.6929784501213073,0.6750372976776918,0.3300689655172414,0.39869863013698637,0.6030222222222222,0.4178388888888888,0.3775469912102773,0.4693260273972603,0.3361091954022989,0.5984651504035217,0.47826530612244894,0.9479211267605634
sonnet-4.5,0.505,0.49,0.395,0.52,0.51,0.41,0.71,0.56,0.68,0.54,0.735,0.605,,0.465,0.515,0.41,0.895,0.735,0.77,0.86,0.75,0.565,0.5,0.53
opus-4.1,0.8237254901960784,0.5526530612244899,0.567843137254902,0.76,0.905,0.605,0.975,0.795,0.9294117647058823,0.7940196078431373,0.845,0.695,0.575,,0.785,0.705,0.99,0.9849019607843137,0.975,0.98,0.985,0.85,0.8,0.9195098039215687
gemini-2.0-flash-lite,0.23,0.595,0.24999999999999997,0.235,0.375,0.415,0.835,0.7,0.88,0.64,0.865,0.835,0.6,0.58,,0.31,0.93,0.905,0.88,0.83,0.77,0.285,0.44,0.395
gemini-2.0-flash,0.325,0.83,0.345,0.265,0.58,0.58,0.92,0.875,0.93,0.805,0.925,0.9,0.78,0.76,0.7273287671232876,,0.95,0.95,0.94,0.95,0.895,0.465,0.63,0.705
ll-3.1-8b,0.44,0.465,0.41,0.345,0.37,0.43,0.44,0.465,0.46,0.445,0.47,0.485,0.445,0.445,0.425,0.4,,0.47,0.49,0.465,0.475,0.4,0.415,0.45
ll-3.1-70b,0.51,0.495,0.46,0.46,0.485,0.49,0.47,0.48,0.485,0.485,0.51,0.485,0.48,0.465,0.475,0.47,0.55,,0.505,0.51,0.52,0.475,0.475,0.52
ll-3.1-405b,0.595,0.375,0.335,0.415,0.44445205479452055,0.435,0.385,0.365,0.4,0.34,0.5549999999999999,0.45,0.435,0.32,0.355,0.3,0.745,0.585,,0.575,0.455,0.485,0.34,0.765
qwen-2.5-7b,0.485,0.49,0.475,0.465,0.46,0.48,0.505,0.495,0.495,0.505,0.505,0.495,0.475,0.465,0.485,0.46,0.605,0.515,0.525,,0.505,0.45,0.49,0.5
qwen-2.5-72b,0.52,0.49,0.495,0.49,0.5,0.48,0.5,0.505,0.5,0.5,0.495,0.485,0.47,0.475,0.515,0.505,0.675,0.56,0.56,0.55,,0.485,0.495,0.51
qwen-3.0-80b,0.315,0.805,0.585,0.36,0.685,0.59,0.965,0.925,0.96,0.9,0.965,0.93,0.765,0.785,0.845,0.74,0.98,0.98,0.965,0.985,0.945,,0.725,0.515
deepseek-3.1,0.3,0.715,0.285,0.285,0.5,0.475,0.89,0.81,0.89,0.715,0.885,0.79,0.67,0.675,0.735,0.64,0.96,0.945,0.935,0.91,0.855,0.385,,0.44
kimi-k2,0.49,0.5930272108843537,0.5077450980392156,0.58,0.6,0.4923469387755102,0.785,0.6313645458183273,0.75,0.595,0.77,0.695,0.585,0.55,0.685,0.63,0.905,0.84,0.865,0.885,0.795,0.55,0.5576530612244899,
