evaluator,deviation
gpt-4o-mini,0.015294117647058902
gpt-4.1-mini,0.05882352941176472
gpt-4o,0.040312159567023165
gpt-4.1,0.07911764705882351
haiku-3.5,-0.11470588235294121
sonnet-3.7,-0.036261626678103565
sonnet-4.5,0.1367647058823529
opus-4.1,0.35781430219146493
gemini-2.0-flash-lite,0.18705882352941172
gemini-2.0-flash,0.3298428686543111
ll-3.1-8b,-0.05029411764705882
ll-3.1-70b,-0.008235294117647118
ll-3.1-405b,-0.037941176470588256
qwen-2.5-7b,-0.001470588235294057
qwen-2.5-72b,0.016764705882352904
qwen-3.0-80b,0.375
deepseek-3.1,0.2723529411764707
kimi-k2,0.21023632982604812
