evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.620728928096832,0.9436515209907435,1.0,0.22924659725971616,0.7237710263128071,0.8320703744377614,0.5246223557223147,0.8320703744377614,0.7237710263128071,3.547178174130631e-06,0.35800309062450253,0.055965740494264664,0.5246223557223147,0.8320703744377614,0.2888204971747663,0.9436515209907435,0.9436515209907435
gpt-4.1-mini,0.22924659725971616,,4.9729734792135474e-05,0.019396944540338436,1.5280548809315418e-10,0.35800309062450253,0.9436515209907435,0.35800309062450253,0.22924659725971616,0.0014016905787957862,4.443048372394473e-28,2.0554776988442582e-11,4.0153927932332665e-10,2.7087202681654102e-14,0.008722501247447119,3.547178174130631e-06,0.0008450699446919163,0.07683763213126038
gpt-4o,0.9436515209907435,0.35800309062450253,,0.7237710263128071,0.008722501247447119,1.0,0.8320703744377614,0.8320703744377614,0.7237710263128071,0.9436515209907435,2.74428563600153e-13,0.0022794385018057297,0.13736665086863098,0.013130355940531638,0.35800309062450253,0.620728928096832,0.7237710263128071,0.028125407232926447
gpt-4.1,0.4367534895513279,1.0,0.4367534895513279,,0.008722501247447119,0.7237710263128071,1.0,1.0,0.1789640395332512,0.4367534895513279,1.074224337388063e-25,8.026905991184951e-08,2.6528755595268727e-05,2.0554776988442582e-11,0.055965740494264664,0.5246223557223147,0.35800309062450253,0.35800309062450253
haiku-3.5,0.10363903843785756,4.9729734792135474e-05,0.10363903843785756,6.307981725354878e-09,,0.0036349479525299325,3.518157850375524e-08,6.307981725354878e-09,2.579201364431024e-09,6.837911374316684e-16,1.507061557352626e-08,0.4367534895513279,0.055965740494264664,0.9436515209907435,0.07683763213126038,2.7087202681654102e-14,1.8955128506989977e-16,8.32791304839136e-07
sonnet-3.7,5.674278251460795e-11,1.5280548809315418e-10,2.74428563600153e-13,3.518157850375524e-08,0.35800309062450253,,3.518157850375524e-08,8.32791304839136e-07,1.7375869279363153e-06,0.005685155996750306,0.0036349479525299325,0.028125407232926447,0.0008450699446919163,0.4367534895513279,3.547178174130631e-06,0.005685155996750306,0.620728928096832,2.9477076042968534e-44
sonnet-4.5,2.579201364431024e-09,0.10363903843785756,3.904467779916419e-07,0.2888204971747663,2.0554776988442582e-11,0.0036349479525299325,,0.35800309062450253,0.7237710263128071,0.013130355940531638,1.9469657355817759e-32,2.0554776988442582e-11,8.170450466250983e-15,1.796785446116057e-26,8.393020875604775e-13,0.07683763213126038,1.0,0.4367534895513279
opus-4.1,3.2380445534845885e-51,1.3341607802802957e-17,1.5864176725511623e-39,1.3341607802802957e-17,3.413490545945216e-24,3.518157850375524e-08,0.040037191613399414,,1.8955128506989977e-16,6.307981725354878e-09,2.501776602005736e-56,1.659679419208622e-54,3.2380445534845885e-51,8.216676583874543e-53,1.659679419208622e-54,6.17313535621387e-25,3.3840159775152846e-18,2.303221098810145e-37
gemini-2.0-flash-lite,9.335983227292453e-23,1.507061557352626e-08,9.237398300715988e-30,9.129815585318678e-05,2.8853963271389072e-27,9.335983227292453e-23,0.005685155996750306,0.028125407232926447,,8.026905991184951e-08,1.5864176725511623e-39,2.4758428158072635e-34,9.237398300715988e-30,4.626215477385569e-22,8.170450466250983e-15,1.0299193834837603e-09,0.10363903843785756,0.0036349479525299325
gemini-2.0-flash,2.303221098810145e-37,6.551477846194491e-29,1.5864176725511623e-39,8.323830722853027e-19,1.9794233967752223e-38,2.255860572918924e-33,6.837911374316684e-16,8.738435036825214e-14,1.5280548809315418e-10,,2.9477076042968534e-44,2.9477076042968534e-44,8.113775994575524e-42,2.9477076042968534e-44,1.9469657355817759e-32,0.35800309062450253,0.0002892752637870567,6.307981725354878e-09
ll-3.1-8b,0.10363903843785756,0.35800309062450253,0.2888204971747663,0.13736665086863098,0.4367534895513279,0.7237710263128071,0.13736665086863098,0.13736665086863098,0.040037191613399414,0.005685155996750306,,0.4367534895513279,0.8320703744377614,0.35800309062450253,0.5246223557223147,0.005685155996750306,0.019396944540338436,0.1789640395332512
ll-3.1-70b,0.4367534895513279,0.620728928096832,0.7237710263128071,0.7237710263128071,0.8320703744377614,0.7237710263128071,0.620728928096832,0.35800309062450253,0.5246223557223147,0.4367534895513279,0.1789640395332512,,0.9436515209907435,0.8320703744377614,0.620728928096832,0.5246223557223147,0.5246223557223147,0.620728928096832
ll-3.1-405b,0.0014016905787957862,0.00016418525031640068,0.005685155996750306,7.086525758599002e-06,0.13736665086863098,0.1789640395332512,0.07683763213126038,3.904467779916419e-07,4.9729734792135474e-05,1.507061557352626e-08,2.5006948050908607e-12,0.019396944540338436,,0.040037191613399414,0.22924659725971616,0.7237710263128071,7.086525758599002e-06,2.7087202681654102e-14
qwen-2.5-7b,0.9436515209907435,0.9436515209907435,0.9436515209907435,0.9436515209907435,0.9436515209907435,0.9436515209907435,0.5246223557223147,0.35800309062450253,0.7237710263128071,0.2888204971747663,0.0036349479525299325,0.7237710263128071,0.5246223557223147,,0.9436515209907435,0.1789640395332512,0.8320703744377614,1.0
qwen-2.5-72b,1.0,0.9436515209907435,1.0,1.0,0.9436515209907435,0.7237710263128071,0.4367534895513279,0.5246223557223147,0.7237710263128071,0.9436515209907435,8.32791304839136e-07,0.10363903843785756,0.10363903843785756,0.1789640395332512,,0.7237710263128071,0.9436515209907435,0.8320703744377614
qwen-3.0-80b,2.94834827995298e-48,1.9794233967752223e-38,7.152472728108974e-47,2.255860572918924e-33,2.94834827995298e-48,1.5864176725511623e-39,2.7087202681654102e-14,1.8955128506989977e-16,3.413490545945216e-24,7.261223938014485e-12,8.216676583874543e-53,8.216676583874543e-53,2.94834827995298e-48,1.659679419208622e-54,5.12121787597151e-43,,1.5280548809315418e-10,0.7237710263128071
