evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.06500000000000006,0.01041666666666663,0.030000000000000027,0.015000000000000013,0.2461724137931035,0.19999999999999996,0.44999999999999996,0.345,0.405,0.10499999999999998,0.004999999999999893,0.04500000000000004,0.029999999999999916,0.010000000000000009,0.425,0.395,0.29000000000000004
gpt-4.1-mini,0.06500000000000006,,0.1780781627719582,0.08500000000000002,0.07999999999999996,0.1921917808219178,0.05500000000000005,0.26000000000000006,0.15499999999999997,0.26,0.3350000000000001,0.21499999999999997,0.08499999999999996,0.26,0.09999999999999998,0.26000000000000006,0.19000000000000006,0.06636454581832735
gpt-4o,0.01041666666666663,0.1780781627719582,,0.04270424836601305,0.03362721088435372,0.2550403241366005,0.16960000000000003,0.4192117647058824,0.3647945205479452,0.42499799919967984,0.2136,0.0943931972789116,0.043983561643835656,0.08425714285714281,0.03587397260273972,0.4396,0.3774489795918367,0.33079999999999987
gpt-4.1,0.030000000000000027,0.08499999999999996,0.04270424836601305,,0.1100000000000001,0.17931232876712333,0.040000000000000036,0.2940196078431373,0.19000000000000006,0.33499999999999996,0.30000000000000004,0.17499999999999993,0.009999999999999898,0.24,0.06999999999999995,0.42500000000000004,0.25,0.13
haiku-3.5,0.014999999999999958,0.07999999999999996,0.033627210884353775,0.11000000000000004,,0.1388775510204081,0.03999999999999998,0.13999999999999996,0.15499999999999997,0.14500000000000005,0.16999999999999993,0.040000000000000036,0.12499999999999989,0.010000000000000009,0.07,0.19999999999999996,0.1,0.09500000000000003
sonnet-3.7,0.2461724137931035,0.1921917808219178,0.2550403241366005,0.17931232876712327,0.1388775510204081,,0.2979784501213073,0.3700372976776918,0.16506896551724137,0.29869863013698633,0.08802222222222222,0.0971611111111112,0.17245300878972275,0.03567397260273969,0.17889080459770113,0.5284651504035217,0.2682653061224489,0.6429211267605633
sonnet-4.5,0.19999999999999996,0.05500000000000005,0.16960000000000008,0.040000000000000036,0.039999999999999925,0.2979784501213073,,0.03999999999999998,0.11499999999999999,0.19,0.3400000000000001,0.21499999999999997,0.20500000000000007,0.33499999999999996,0.21999999999999997,0.32999999999999996,0.17000000000000004,0.11499999999999999
opus-4.1,0.44999999999999996,0.2600000000000001,0.4192117647058824,0.2940196078431373,0.1399999999999999,0.3700372976776918,0.040000000000000036,,0.365,0.46499999999999997,0.43500000000000005,0.44990196078431366,0.29500000000000004,0.44500000000000006,0.45999999999999996,0.635,0.4750000000000001,0.4695098039215688
gemini-2.0-flash-lite,0.345,0.15500000000000003,0.36479452054794514,0.19000000000000006,0.15500000000000003,0.16506896551724137,0.11499999999999999,0.365,,0.03732876712328764,0.3550000000000001,0.38,0.235,0.31499999999999995,0.28500000000000003,0.12999999999999995,0.175,0.08000000000000007
gemini-2.0-flash,0.405,0.26,0.42499799919967984,0.33499999999999996,0.14500000000000002,0.2986986301369864,0.18999999999999995,0.46499999999999997,0.0373287671232877,,0.35,0.41999999999999993,0.24,0.4099999999999999,0.4,0.20500000000000002,0.27,0.33499999999999996
