evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,4.5820363978827675e-20,1.3341607802802957e-17,2.7087202681654102e-14,2.3971559589524633e-15,0.013130355940531638,0.005685155996750306,0.013130355940531638,0.0008450699446919163,1.3341607802802957e-17,8.32791304839136e-07,1.7375869279363153e-06,0.040037191613399414,0.0014016905787957862,7.086525758599002e-06,8.170450466250983e-15,8.32791304839136e-07,7.261223938014485e-12,0.008722501247447119
gpt-4.1-mini,2.94834827995298e-48,1.659679419208622e-54,8.216676583874543e-53,2.501652141700179e-58,5.12121787597151e-43,1.659679419208622e-54,2.94834827995298e-48,1.0580407265197449e-49,8.216676583874543e-53,1.5344874793053407e-45,0.5246223557223147,4.626215477385569e-22,9.237398300715988e-30,2.579201364431024e-09,1.9794233967752223e-38,1.5344874793053407e-45,5.12121787597151e-43,1.796785446116057e-26
gpt-4o,5.12121787597151e-43,2.94834827995298e-48,1.5344874793053407e-45,8.216676583874543e-53,2.567529911241726e-35,2.9477076042968534e-44,2.303221098810145e-37,1.5864176725511623e-39,9.237398300715988e-30,1.5864176725511623e-39,0.0036349479525299325,8.170450466250983e-15,4.626215477385569e-22,6.837911374316684e-16,2.5089767668245594e-36,1.595273675439492e-31,4.443048372394473e-28,3.3840159775152846e-18
gpt-4.1,1.0299193834837603e-09,0.008722501247447119,7.086525758599002e-06,0.028125407232926447,8.738435036825214e-14,8.32791304839136e-07,2.6528755595268727e-05,0.00016418525031640068,3.518157850375524e-08,2.579201364431024e-09,2.9477076042968534e-44,1.9469657355817759e-32,3.413490545945216e-24,4.5820363978827675e-20,1.3341607802802957e-17,0.0014016905787957862,8.32791304839136e-07,3.904467779916419e-07
haiku-3.5,0.9436515209907435,0.019396944540338436,0.9436515209907435,0.07683763213126038,0.07683763213126038,0.620728928096832,0.07683763213126038,0.0014016905787957862,0.0036349479525299325,0.0004994264864177523,8.323830722853027e-19,4.0153927932332665e-10,6.307981725354878e-09,2.6528755595268727e-05,2.6528755595268727e-05,7.086525758599002e-06,0.2888204971747663,2.0554776988442582e-11
sonnet-3.7,1.0,0.1789640395332512,0.040037191613399414,0.8320703744377614,0.0014016905787957862,4.9729734792135474e-05,8.738435036825214e-14,2.579201364431024e-09,0.13736665086863098,7.086525758599002e-06,1.9843700887411167e-19,0.0014016905787957862,0.8320703744377614,0.0022794385018057297,0.7237710263128071,2.8853963271389072e-27,2.579201364431024e-09,2.567529911241726e-35
sonnet-4.5,8.170450466250983e-15,9.129815585318678e-05,7.086525758599002e-06,1.507061557352626e-08,0.008722501247447119,0.7237710263128071,0.5246223557223147,0.1789640395332512,1.8955128506989977e-16,2.3971559589524633e-15,2.303221098810145e-37,1.8955128506989977e-16,4.0153927932332665e-10,1.796785446116057e-26,1.3341607802802957e-17,1.818080038171794e-23,1.7903211442481548e-07,9.237398300715988e-30
opus-4.1,8.216676583874543e-53,5.674278251460795e-11,5.12121787597151e-43,9.335983227292453e-23,1.5280548809315418e-10,0.7237710263128071,0.7237710263128071,0.620728928096832,9.237398300715988e-30,1.2434522550868792e-30,8.216676583874543e-53,8.113775994575524e-42,2.5089767668245594e-36,1.0580407265197449e-49,7.152472728108974e-47,1.0580407265197449e-49,9.237398300715988e-30,1.1804539068010893e-40
gemini-2.0-flash-lite,6.551477846194491e-29,1.5864176725511623e-39,1.9469657355817759e-32,1.5864176725511623e-39,6.551477846194491e-29,4.626215477385569e-22,1.2434522550868792e-30,2.255860572918924e-33,1.796785446116057e-26,1.9794233967752223e-38,7.086525758599002e-06,2.3971559589524633e-15,1.0299193834837603e-09,1.9843700887411167e-19,6.17313535621387e-25,1.5864176725511623e-39,2.303221098810145e-37,6.551477846194491e-29
gemini-2.0-flash,0.35800309062450253,0.013130355940531638,0.7237710263128071,0.0002892752637870567,0.9436515209907435,0.008722501247447119,0.005685155996750306,0.028125407232926447,8.32791304839136e-07,2.5006948050908607e-12,2.0554776988442582e-11,0.028125407232926447,0.0022794385018057297,0.005685155996750306,0.2888204971747663,3.547178174130631e-06,3.547178174130631e-06,0.35800309062450253
ll-3.1-8b,0.7237710263128071,0.7237710263128071,0.7237710263128071,0.4367534895513279,0.5246223557223147,0.5246223557223147,0.040037191613399414,0.620728928096832,0.1789640395332512,0.028125407232926447,0.0022794385018057297,0.1789640395332512,0.22924659725971616,0.8320703744377614,0.2888204971747663,0.008722501247447119,0.5246223557223147,0.8320703744377614
ll-3.1-70b,0.5246223557223147,0.22924659725971616,0.620728928096832,0.10363903843785756,6.307981725354878e-09,1.0299193834837603e-09,4.0153927932332665e-10,7.086525758599002e-06,7.086525758599002e-06,0.055965740494264664,5.103820542710692e-17,1.507061557352626e-08,7.261223938014485e-12,1.0299193834837603e-09,4.0153927932332665e-10,0.0002892752637870567,0.008722501247447119,1.9469657355817759e-32
ll-3.1-405b,8.393020875604775e-13,2.5006948050908607e-12,5.103820542710692e-17,8.026905991184951e-08,1.8955128506989977e-16,1.3341607802802957e-17,4.9729734792135474e-05,3.904467779916419e-07,6.307981725354878e-09,3.518157850375524e-08,0.7237710263128071,1.507061557352626e-08,4.0153927932332665e-10,9.129815585318678e-05,8.026905991184951e-08,3.518157850375524e-08,0.7237710263128071,4.626215477385569e-22
qwen-2.5-7b,1.1804539068010893e-40,8.216676583874543e-53,1.0580407265197449e-49,7.152472728108974e-47,1.5344874793053407e-45,2.303221098810145e-37,7.152472728108974e-47,2.94834827995298e-48,8.216676583874543e-53,8.216676583874543e-53,1.7903211442481548e-07,1.9794233967752223e-38,2.255860572918924e-33,8.113775994575524e-42,2.9477076042968534e-44,1.0580407265197449e-49,2.9477076042968534e-44,8.113775994575524e-42
qwen-2.5-72b,5.12121787597151e-43,1.9794233967752223e-38,8.113775994575524e-42,1.1804539068010893e-40,1.3341607802802957e-17,2.255860572918924e-33,1.9794233967752223e-38,2.4758428158072635e-34,6.551477846194491e-29,2.8853963271389072e-27,0.2888204971747663,4.5820363978827675e-20,2.2139771125184135e-21,1.0241023451092756e-20,2.9477076042968534e-44,1.9794233967752223e-38,2.567529911241726e-35,1.9843700887411167e-19
