evaluator,deviation
gpt-4o-mini,-0.04676470588235293
gpt-4.1-mini,-0.04235294117647059
gpt-4o,-0.033235294117647085
gpt-4.1,0.09823529411764709
haiku-3.5,-0.20647058823529418
sonnet-3.7,-0.040882352941176425
sonnet-4.5,0.236764705882353
opus-4.1,0.2723529411764706
gemini-2.0-flash-lite,0.21029411764705874
gemini-2.0-flash,0.3002941176470588
ll-3.1-8b,-0.1588235294117647
ll-3.1-70b,-0.16264705882352937
ll-3.1-405b,-0.18277760419236194
qwen-2.5-7b,-0.08352941176470591
qwen-2.5-72b,-0.02058823529411763
qwen-3.0-80b,0.39264705882352946
deepseek-3.1,0.29647058823529404
kimi-k2,0.3938235294117647
