evaluator,performance,n_samples
gpt-4o-mini,0.45323529411764707,3400
gpt-4.1-mini,0.4576470588235294,3400
gpt-4o,0.4667647058823529,3400
gpt-4.1,0.5982352941176471,3400
haiku-3.5,0.2935294117647058,3400
sonnet-3.7,0.4591176470588236,3400
sonnet-4.5,0.736764705882353,3400
opus-4.1,0.7723529411764706,3400
gemini-2.0-flash-lite,0.7102941176470587,3400
gemini-2.0-flash,0.8002941176470588,3400
ll-3.1-8b,0.3411764705882353,3400
ll-3.1-70b,0.33735294117647063,3400
ll-3.1-405b,0.31722239580763806,3400
qwen-2.5-7b,0.4164705882352941,3400
qwen-2.5-72b,0.47941176470588237,3400
qwen-3.0-80b,0.8926470588235295,3400
deepseek-3.1,0.796470588235294,3400
kimi-k2,0.8938235294117647,3400
