evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.74,0.805,0.8,0.645,0.745,0.665,0.675,0.625,0.6,0.62,0.68,0.69,0.77,0.835,0.57,0.63,0.61
gpt-4.1-mini,0.56,,0.535,0.605,0.515,0.54,0.56,0.555,0.56,0.53,0.505,0.53,0.545,0.545,0.59,0.505,0.545,0.515
gpt-4o,0.89,0.855,,0.885,0.76,0.855,0.81,0.815,0.785,0.705,0.685,0.82,0.84,0.82,0.87,0.7,0.71,0.78
gpt-4.1,0.64,0.68,0.585,,0.535,0.64,0.61,0.625,0.665,0.62,0.52,0.565,0.56,0.57,0.63,0.56,0.575,0.54
haiku-3.5,0.59,0.56,0.63,0.555,,0.575,0.535,0.525,0.51,0.52,0.595,0.62,0.615,0.59,0.575,0.505,0.54,0.5
sonnet-3.7,0.39,0.46,0.39,0.435,0.435,,0.445,0.455,0.43,0.465,0.43,0.41,0.4,0.425,0.39,0.475,0.46,0.48
sonnet-4.5,0.465,0.395,0.425,0.385,0.475,0.43,,0.4,0.365,0.405,0.495,0.48,0.46,0.49,0.445,0.385,0.42,0.425
opus-4.1,0.51,0.53,0.505,0.52,0.51,0.52,0.6,,0.545,0.5,0.505,0.505,0.505,0.505,0.505,0.475,0.51,0.55
gemini-2.0-flash-lite,0.43,0.35,0.455,0.295,0.43,0.365,0.315,0.225,,0.225,0.455,0.43,0.425,0.435,0.385,0.29,0.26,0.225
gemini-2.0-flash,0.465,0.46,0.49,0.42,0.49,0.455,0.385,0.36,0.26,,0.5,0.48,0.485,0.475,0.465,0.265,0.26,0.26
ll-3.1-8b,0.79,0.73,0.82,0.725,0.765,0.83,0.775,0.71,0.705,0.69,,0.88,0.86,0.855,0.825,0.635,0.69,0.635
ll-3.1-70b,0.81,0.745,0.85,0.755,0.76,0.785,0.69,0.63,0.61,0.555,0.78,,0.88,0.85,0.8,0.555,0.59,0.59
ll-3.1-405b,0.696969696969697,0.6030150753768844,0.7386934673366834,0.6,0.595,0.67,0.605,0.575,0.56,0.53,0.645,0.79,,0.695,0.625,0.535,0.525,0.515
qwen-2.5-7b,0.87,0.825,0.88,0.82,0.745,0.815,0.745,0.755,0.67,0.67,0.715,0.805,0.805,,0.855,0.63,0.69,0.645
qwen-2.5-72b,0.75,0.665,0.665,0.615,0.595,0.64,0.605,0.615,0.57,0.56,0.545,0.615,0.625,0.65,,0.52,0.58,0.545
qwen-3.0-80b,0.495,0.495,0.5,0.51,0.51,0.515,0.54,0.56,0.53,0.53,0.505,0.51,0.515,0.51,0.5,,0.575,0.485
deepseek-3.1,0.525,0.52,0.525,0.51,0.54,0.51,0.55,0.555,0.515,0.54,0.52,0.525,0.51,0.51,0.525,0.6,,0.57
kimi-k2,0.51,0.525,0.51,0.53,0.515,0.51,0.525,0.52,0.505,0.515,0.515,0.495,0.52,0.49,0.505,0.575,0.52,
