evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.2888204971747663,0.0036349479525299325,0.005685155996750306,3.547178174130631e-06,0.07683763213126038,1.7903211442481548e-07,1.0299193834837603e-09,2.74428563600153e-13,3.3840159775152846e-18,1.818080038171794e-23,7.261223938014485e-12,8.393020875604775e-13,7.086525758599002e-06,0.22924659725971616,2.567529911241726e-35,1.0241023451092756e-20,4.626215477385569e-22
gpt-4.1-mini,0.0022794385018057297,,6.307981725354878e-09,2.5006948050908607e-12,2.7087202681654102e-14,0.2888204971747663,4.0153927932332665e-10,2.3971559589524633e-15,5.674278251460795e-11,4.626215477385569e-22,6.551477846194491e-29,7.261223938014485e-12,2.0554776988442582e-11,2.74428563600153e-13,0.8320703744377614,1.1804539068010893e-40,2.2139771125184135e-21,1.9469657355817759e-32
gpt-4o,0.8320703744377614,0.9436515209907435,,0.22924659725971616,0.0022794385018057297,0.9436515209907435,0.0022794385018057297,0.0004994264864177523,0.0004994264864177523,2.5006948050908607e-12,1.3341607802802957e-17,0.0022794385018057297,0.10363903843785756,0.013130355940531638,0.1789640395332512,8.393020875604775e-13,1.507061557352626e-08,0.013130355940531638
gpt-4.1,7.261223938014485e-12,2.579201364431024e-09,2.2139771125184135e-21,,2.2139771125184135e-21,1.7375869279363153e-06,0.055965740494264664,0.0004994264864177523,0.22924659725971616,1.7375869279363153e-06,2.9477076042968534e-44,6.551477846194491e-29,4.626215477385569e-22,9.237398300715988e-30,8.026905991184951e-08,1.796785446116057e-26,1.5280548809315418e-10,4.626215477385569e-22
haiku-3.5,3.904467779916419e-07,0.0022794385018057297,0.013130355940531638,2.74428563600153e-13,,2.0554776988442582e-11,2.8853963271389072e-27,1.9469657355817759e-32,1.796785446116057e-26,2.255860572918924e-33,6.307981725354878e-09,0.4367534895513279,0.22924659725971616,0.10363903843785756,6.307981725354878e-09,1.9794233967752223e-38,6.17313535621387e-25,1.796785446116057e-26
sonnet-3.7,0.0008450699446919163,0.2888204971747663,2.579201364431024e-09,0.00016418525031640068,1.8955128506989977e-16,,8.323830722853027e-19,2.8853963271389072e-27,8.393020875604775e-13,3.413490545945216e-24,1.796785446116057e-26,4.0153927932332665e-10,5.674278251460795e-11,2.5006948050908607e-12,0.8320703744377614,2.4758428158072635e-34,8.738435036825214e-14,6.17313535621387e-25
sonnet-4.5,2.5089767668245594e-36,3.413490545945216e-24,2.4758428158072635e-34,2.74428563600153e-13,1.1804539068010893e-40,1.818080038171794e-23,,0.055965740494264664,1.7903211442481548e-07,0.13736665086863098,3.2380445534845885e-51,1.0580407265197449e-49,2.9477076042968534e-44,7.152472728108974e-47,1.2434522550868792e-30,0.0036349479525299325,0.0002892752637870567,2.0554776988442582e-11
opus-4.1,1.0580407265197449e-49,2.567529911241726e-35,2.94834827995298e-48,3.3840159775152846e-18,2.501776602005736e-56,2.255860572918924e-33,0.1789640395332512,,0.008722501247447119,0.013130355940531638,1.659679419208622e-54,2.501652141700179e-58,3.2380445534845885e-51,2.501652141700179e-58,1.1804539068010893e-40,0.019396944540338436,0.1789640395332512,2.579201364431024e-09
gemini-2.0-flash-lite,1.796785446116057e-26,3.3840159775152846e-18,1.2434522550868792e-30,1.5280548809315418e-10,4.443048372394473e-28,4.5820363978827675e-20,3.547178174130631e-06,0.008722501247447119,,3.547178174130631e-06,1.9794233967752223e-38,2.255860572918924e-33,6.551477846194491e-29,2.8853963271389072e-27,8.323830722853027e-19,8.026905991184951e-08,0.055965740494264664,0.019396944540338436
gemini-2.0-flash,1.9794233967752223e-38,1.595273675439492e-31,7.152472728108974e-47,1.818080038171794e-23,8.113775994575524e-42,1.2434522550868792e-30,3.518157850375524e-08,8.026905991184951e-08,7.086525758599002e-06,,8.216676583874543e-53,7.152472728108974e-47,1.1804539068010893e-40,1.1804539068010893e-40,2.4758428158072635e-34,0.019396944540338436,0.055965740494264664,0.028125407232926447
