evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.15000000000000002,0.11499999999999999,0.14,0.014999999999999902,0.18499999999999994,0.23000000000000004,0.25499999999999995,0.10499999999999998,0.12500000000000006,0.20999999999999996,0.15999999999999992,0.12876712328767126,0.15000000000000002,0.05499999999999999,0.07499999999999998,0.11500000000000005,0.12999999999999998
gpt-4.1-mini,0.15000000000000002,,0.20999999999999996,0.03500000000000003,0.15500000000000003,0.08000000000000007,0.125,0.13500000000000004,0.06999999999999995,0.060000000000000026,0.2849999999999999,0.19500000000000006,0.11183673469387756,0.22999999999999998,0.07499999999999984,0.019999999999999962,0.05499999999999999,0.04000000000000005
gpt-4o,0.11499999999999999,0.20999999999999996,,0.27999999999999997,0.019999999999999907,0.20499999999999985,0.29500000000000004,0.33999999999999997,0.26,0.21499999999999986,0.21499999999999997,0.10999999999999999,0.012176870748299429,0.09999999999999998,0.21500000000000002,0.22999999999999998,0.24499999999999994,0.36999999999999994
gpt-4.1,0.14,0.03500000000000003,0.28,,0.06999999999999995,0.03500000000000003,0.185,0.17500000000000004,0.18,0.16999999999999998,0.2549999999999999,0.25,0.09999999999999987,0.32999999999999996,0.09499999999999997,0.08999999999999997,0.11499999999999999,0.060000000000000026
haiku-3.5,0.014999999999999958,0.15500000000000003,0.019999999999999962,0.06999999999999995,,0.050000000000000044,0.07000000000000006,0.09499999999999999,0.010000000000000009,0.03999999999999995,0.15000000000000002,0.09000000000000008,0.10999999999999999,0.014999999999999958,0.009999999999999953,0.03499999999999996,0.060000000000000026,0.07500000000000007
sonnet-3.7,0.18499999999999994,0.08000000000000007,0.20499999999999985,0.03500000000000003,0.050000000000000044,,0.034999999999999976,0.03500000000000003,0.06499999999999995,0.04000000000000001,0.2699999999999999,0.11499999999999999,0.07999999999999996,0.24,0.030000000000000027,0.05999999999999997,0.08999999999999997,0.08999999999999994
sonnet-4.5,0.22999999999999998,0.125,0.29500000000000004,0.18499999999999994,0.07000000000000006,0.03500000000000003,,0.019999999999999962,0.3500000000000001,0.13999999999999996,0.2699999999999999,0.18999999999999995,0.14500000000000002,0.31499999999999995,0.16000000000000003,0.235,0.07999999999999996,0.10999999999999988
opus-4.1,0.2549999999999999,0.135,0.33999999999999997,0.17500000000000004,0.09499999999999997,0.03500000000000003,0.020000000000000018,,0.18999999999999995,0.09999999999999992,0.255,0.15500000000000003,0.07999999999999996,0.30999999999999994,0.14,0.25499999999999995,0.12500000000000006,0.09000000000000002
gemini-2.0-flash-lite,0.10499999999999998,0.06999999999999995,0.26,0.18000000000000005,0.010000000000000009,0.06499999999999995,0.3500000000000001,0.18999999999999995,,0.004999999999999949,0.18000000000000005,0.06000000000000005,0.025000000000000022,0.09499999999999997,0.04500000000000004,0.1999999999999999,0.20500000000000002,0.33
gemini-2.0-flash,0.125,0.06000000000000005,0.21499999999999986,0.17000000000000004,0.039999999999999925,0.040000000000000036,0.14,0.09999999999999987,0.0050000000000000044,,0.19999999999999996,0.02499999999999991,0.0050000000000001155,0.135,0.06500000000000006,0.20500000000000002,0.24,0.285
