evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.97,0.045,0.01,0.03,0.035,0.025,0.0,0.015,0.035,0.03,0.325,0.09,0.13,0.11,0.035,0.02,0.045,0.015
gpt-4.1-mini,0.065,0.97,0.045,0.025,0.095,0.02,0.005,0.0,0.045,0.03,0.545,0.225,0.145,0.33,0.14,0.01,0.075,0.015
gpt-4o,0.045,0.02,0.99,0.045,0.035,0.015,0.03019607843137255,0.04,0.055,0.035,0.35308219178082195,0.095,0.12,0.135,0.045,0.05,0.06,0.015
gpt-4.1,0.08,0.02,0.06,0.96,0.16,0.065,0.04,0.025,0.07,0.065,0.69,0.315,0.255,0.4,0.16,0.04,0.08,0.015
haiku-3.5,0.03,0.045,0.02,0.035,0.985,0.01,0.01,0.01,0.04,0.025,0.2421232876712329,0.06,0.08120000000000001,0.04527397260273973,0.025,0.015,0.0256,0.01
sonnet-3.7,0.085,0.045,0.05,0.045,0.145,0.985,0.03,0.02,0.075,0.06,0.49079999999999996,0.18,0.145,0.28,0.115,0.055,0.11,0.04
sonnet-4.5,0.215,0.12,0.18,0.11,0.22,0.115,0.89,0.09,0.175,0.13,0.7068493150684931,0.34,0.2355178082191781,0.56,0.275,0.16,0.1358904109589041,0.16064625850340136
opus-4.1,0.125,0.07,0.095,0.04,0.13,0.05,0.005,0.99,0.065,0.045,0.6813698630136986,0.29,0.2355178082191781,0.505,0.19,0.05,0.07,0.035
gemini-2.0-flash-lite,0.03,0.02,0.02,0.02,0.04,0.02,0.01,0.02,0.99,0.01,0.235,0.05,0.085,0.055,0.03,0.02,0.03,0.02
gemini-2.0-flash,0.095,0.065,0.08,0.05,0.175,0.085,0.07,0.05,0.04,0.975,0.435,0.2,0.23,0.26499999999999996,0.155,0.07,0.09,0.05
ll-3.1-8b,0.095,0.22,0.14,0.145,0.295,0.215,0.2,0.175,0.115,0.085,0.625,0.23,0.245,0.235,0.215,0.15,0.115,0.21
ll-3.1-70b,0.035,0.035,0.03,0.03,0.05,0.02,0.03,0.02,0.045,0.03,0.33,0.895,0.125,0.105,0.075,0.02,0.03,0.03
ll-3.1-405b,0.02,0.025,0.03,0.02,0.03,0.02,0.02,0.02,0.035,0.03,0.285,0.08,0.92,0.07,0.04,0.02,0.03,0.02
qwen-2.5-7b,0.02,0.02,0.02,0.035,0.035,0.035,0.035,0.02,0.0,0.005,0.25,0.04,0.095,0.955,0.03,0.03,0.03,0.025
qwen-2.5-72b,0.01,0.01,0.015,0.01,0.01,0.01,0.0,0.0,0.04,0.03,0.32,0.095,0.09,0.08,0.98,0.015,0.035,0.0
qwen-3.0-80b,0.08,0.03,0.07,0.01,0.115,0.065,0.03,0.03,0.085,0.04,0.5549999999999999,0.23,0.205,0.345,0.15,0.98,0.065,0.0
deepseek-3.1,0.035,0.015,0.025,0.01,0.045,0.015,0.015,0.0,0.015,0.015,0.445,0.125,0.135,0.175,0.07,0.01,0.97,0.01
kimi-k2,0.14,0.055,0.115,0.06,0.225,0.075,0.045,0.06,0.125,0.095,0.668921568627451,0.365,0.30999999999999994,0.46,0.225,0.06,0.085,0.96
