evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,1.0580407265197449e-49,1.5344874793053407e-45,2.501776602005736e-56,1.0580407265197449e-49,2.94834827995298e-48,3.2380445534845885e-51,1.2446030555722283e-60,1.659679419208622e-54,2.94834827995298e-48,1.0580407265197449e-49,8.32791304839136e-07,2.567529911241726e-35,4.443048372394473e-28,1.595273675439492e-31,2.94834827995298e-48,8.216676583874543e-53,1.5344874793053407e-45,1.659679419208622e-54
gpt-4.1-mini,1.1804539068010893e-40,1.0580407265197449e-49,1.5344874793053407e-45,3.2380445534845885e-51,2.4758428158072635e-34,8.216676583874543e-53,2.501652141700179e-58,1.2446030555722283e-60,1.5344874793053407e-45,1.0580407265197449e-49,0.22924659725971616,2.3971559589524633e-15,1.074224337388063e-25,1.7375869279363153e-06,1.796785446116057e-26,2.501776602005736e-56,1.9794233967752223e-38,1.659679419208622e-54
gpt-4o,1.5344874793053407e-45,8.216676583874543e-53,2.501776602005736e-56,1.5344874793053407e-45,2.94834827995298e-48,1.659679419208622e-54,1.0580407265197449e-49,7.152472728108974e-47,5.12121787597151e-43,2.94834827995298e-48,4.9729734792135474e-05,2.4758428158072635e-34,9.237398300715988e-30,2.8853963271389072e-27,1.5344874793053407e-45,2.9477076042968534e-44,8.113775994575524e-42,1.659679419208622e-54
gpt-4.1,2.303221098810145e-37,8.216676583874543e-53,8.113775994575524e-42,7.152472728108974e-47,1.818080038171794e-23,1.1804539068010893e-40,7.152472728108974e-47,3.2380445534845885e-51,1.5864176725511623e-39,1.1804539068010893e-40,8.026905991184951e-08,1.7903211442481548e-07,2.5006948050908607e-12,0.005685155996750306,1.818080038171794e-23,7.152472728108974e-47,2.303221098810145e-37,1.659679419208622e-54
haiku-3.5,1.0580407265197449e-49,1.5344874793053407e-45,8.216676583874543e-53,2.94834827995298e-48,1.659679419208622e-54,2.501776602005736e-56,2.501776602005736e-56,2.501776602005736e-56,7.152472728108974e-47,3.2380445534845885e-51,8.738435036825214e-14,8.113775994575524e-42,2.303221098810145e-37,1.5344874793053407e-45,3.2380445534845885e-51,1.659679419208622e-54,3.2380445534845885e-51,2.501776602005736e-56
sonnet-3.7,2.5089767668245594e-36,1.5344874793053407e-45,2.9477076042968534e-44,1.5344874793053407e-45,1.074224337388063e-25,1.659679419208622e-54,1.0580407265197449e-49,8.216676583874543e-53,1.9794233967752223e-38,8.113775994575524e-42,0.8320703744377614,1.0241023451092756e-20,1.074224337388063e-25,4.0153927932332665e-10,1.2434522550868792e-30,5.12121787597151e-43,1.595273675439492e-31,7.152472728108974e-47
sonnet-4.5,1.8955128506989977e-16,9.237398300715988e-30,1.0241023451092756e-20,1.595273675439492e-31,6.837911374316684e-16,1.2434522550868792e-30,1.595273675439492e-31,2.567529911241726e-35,2.2139771125184135e-21,4.443048372394473e-28,6.307981725354878e-09,7.086525758599002e-06,2.7087202681654102e-14,0.10363903843785756,1.5280548809315418e-10,1.818080038171794e-23,2.8853963271389072e-27,1.818080038171794e-23
opus-4.1,6.551477846194491e-29,1.5864176725511623e-39,2.4758428158072635e-34,7.152472728108974e-47,4.443048372394473e-28,2.9477076042968534e-44,2.501652141700179e-58,2.501776602005736e-56,1.1804539068010893e-40,1.5344874793053407e-45,3.904467779916419e-07,2.579201364431024e-09,2.7087202681654102e-14,0.9436515209907435,1.9843700887411167e-19,2.9477076042968534e-44,1.5864176725511623e-39,2.94834827995298e-48
gemini-2.0-flash-lite,1.0580407265197449e-49,8.216676583874543e-53,8.216676583874543e-53,8.216676583874543e-53,7.152472728108974e-47,8.216676583874543e-53,2.501776602005736e-56,8.216676583874543e-53,2.501776602005736e-56,2.501776602005736e-56,2.7087202681654102e-14,2.9477076042968534e-44,2.5089767668245594e-36,5.12121787597151e-43,1.0580407265197449e-49,8.216676583874543e-53,1.0580407265197449e-49,8.216676583874543e-53
gemini-2.0-flash,2.4758428158072635e-34,1.1804539068010893e-40,2.303221098810145e-37,2.9477076042968534e-44,2.2139771125184135e-21,2.5089767668245594e-36,1.5864176725511623e-39,2.9477076042968534e-44,7.152472728108974e-47,3.2380445534845885e-51,0.07683763213126038,3.3840159775152846e-18,8.170450466250983e-15,2.0554776988442582e-11,3.413490545945216e-24,1.5864176725511623e-39,2.567529911241726e-35,2.9477076042968534e-44
