evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,0,58,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
opus-4.1-thinking,58,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
gemini-2.5-pro-thinking,200,58,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
qwen-3.0-80b-thinking,200,58,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
deepseek-r1-thinking,200,58,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
kimi-k2-thinking,200,58,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
gpt-4o-mini,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
gpt-4.1-mini,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
gpt-4o,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
gpt-4.1,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200
haiku-3.5,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,200
sonnet-3.7,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200
sonnet-4.5,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200
opus-4.1,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200
gemini-2.0-flash-lite,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200
gemini-2.0-flash,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200
ll-3.1-8b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200
ll-3.1-70b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200
ll-3.1-405b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200
qwen-2.5-7b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200,200
qwen-2.5-72b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,200
qwen-3.0-80b,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200
deepseek-3.1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200
kimi-k2,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0
