evaluator,performance,n_samples
gpt-oss-120b-thinking,0.5347915368555345,4658.0
opus-4.1-thinking,0.614864658847047,4658.0
gemini-2.5-pro-thinking,0.5524775112443778,4658.0
qwen-3.0-80b-thinking,0.5565946669546522,4658.0
deepseek-r1-thinking,0.5039720446598059,4658.0
kimi-k2-thinking,0.5925035481774958,4658.0
gpt-4o-mini,0.5796739130434783,4800.0
gpt-4.1-mini,0.5321739130434783,4800.0
gpt-4o,0.538169943270141,4800.0
gpt-4.1,0.6377173913043479,4800.0
haiku-3.5,0.5218478260869566,4800.0
sonnet-3.7,0.5226675676268195,4800.0
sonnet-4.5,0.607995652173913,4800.0
opus-4.1,0.6859130434782609,4800.0
gemini-2.0-flash-lite,0.4923913043478261,4800.0
gemini-2.0-flash,0.5870652173913044,4800.0
ll-3.1-8b,0.4608695652173913,4800.0
ll-3.1-70b,0.4766304347826087,4800.0
ll-3.1-405b,0.5805807027992853,4800.0
qwen-2.5-7b,0.49826086956521737,4800.0
qwen-2.5-72b,0.5443478260869565,4800.0
qwen-3.0-80b,0.5311956521739131,4800.0
deepseek-3.1,0.5334782608695652,4800.0
kimi-k2,0.5190461401952086,4800.0
