evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,0.8275862068965517,0.88,0.86,0.76,0.8241206030150754,0.7777777777777778,0.8140703517587939,0.7157360406091371,0.855,0.65,0.817258883248731,0.7889447236180904,0.7638190954773869,0.7969543147208121,0.8542713567839196,0.58,0.665,0.65,0.7,0.7461928934010152,0.795,0.815,0.7386934673366834
opus-4.1-thinking,0.4827586206896552,,0.5689655172413793,0.5172413793103449,0.5689655172413793,0.603448275862069,0.5,0.6379310344827587,0.6206896551724138,0.5964912280701754,0.5517241379310345,0.6140350877192983,0.6724137931034483,0.6206896551724138,0.5862068965517241,0.5862068965517241,0.5344827586206896,0.5344827586206896,0.5,0.5087719298245614,0.603448275862069,0.5517241379310345,0.46551724137931033,0.543859649122807
gemini-2.5-pro-thinking,0.8693467336683417,0.5689655172413793,,0.88,0.755,0.81,0.51,0.525,0.51,0.56,0.505,0.515,0.635,0.56,0.61,0.775,0.505,0.505,0.505,0.5,0.52,0.79,0.725,0.775
qwen-3.0-80b-thinking,0.745,0.6140350877192983,0.755,,0.6984924623115578,0.7487437185929648,0.5505050505050505,0.6030150753768844,0.5477386934673367,0.62,0.55,0.575,0.61,0.6432160804020101,0.625,0.6683417085427136,0.52,0.5175879396984925,0.545,0.542713567839196,0.5527638190954773,0.6934673366834171,0.6080402010050251,0.705
deepseek-r1-thinking,0.74,0.7413793103448276,0.8,0.745,,0.79,0.665,0.71,0.62,0.775,0.62,0.695,0.745,0.795,0.76,0.805,0.525,0.575,0.565,0.605,0.64,0.805,0.825,0.74
kimi-k2-thinking,0.7589743589743589,0.6896551724137931,0.7959183673469388,0.8020304568527918,0.8298969072164949,,0.59,0.65,0.5678391959798995,0.7386934673366834,0.5628140703517588,0.6030150753768844,0.6632653061224489,0.685,0.7563451776649747,0.8282828282828283,0.52,0.5380710659898477,0.5376884422110553,0.5376884422110553,0.5778894472361809,0.7989949748743719,0.8071065989847716,0.7878787878787878
gpt-4o-mini,0.965,0.965,0.96,0.9,0.965,0.945,,0.97,0.985,0.99,0.915,0.965,0.97,0.965,0.97,0.955,0.835,0.945,0.92,0.965,0.98,0.95,0.955,0.955
gpt-4.1-mini,0.755,0.92,0.75,0.74,0.885,0.88,0.845,,0.805,0.885,0.725,0.905,0.895,0.905,0.865,0.845,0.61,0.765,0.76,0.725,0.845,0.805,0.81,0.885
gpt-4o,0.8917525773195877,0.9292929292929293,0.9187817258883249,0.825,0.935,0.9296482412060302,0.9642857142857143,0.9543147208121827,,0.9641025641025641,0.8629441624365483,0.9591836734693877,0.9292929292929293,0.9595959595959596,0.9494949494949495,0.9494949494949495,0.7474747474747475,0.8883248730964467,0.9132653061224489,0.883248730964467,0.9642857142857143,0.898989898989899,0.9195979899497487,0.898989898989899
gpt-4.1,0.975,0.96,0.975,0.97,0.94,0.955,0.95,0.99,0.96,,0.895,0.955,0.96,0.96,0.95,0.95,0.645,0.8,0.83,0.755,0.92,0.965,0.945,0.945
haiku-3.5,0.63,0.705,0.61,0.685,0.645,0.635,0.64,0.605,0.68,0.615,,0.635,0.595,0.625,0.61,0.53,0.61,0.65,0.58,0.615,0.585,0.565,0.585,0.565
sonnet-3.7,0.5532994923857868,0.4793814432989691,0.45454545454545453,0.53,0.495,0.5,0.45685279187817257,0.44329896907216493,0.4947916666666667,0.45918367346938777,0.40609137055837563,,0.4270833333333333,0.44329896907216493,0.4467005076142132,0.40404040404040403,0.4536082474226804,0.4381443298969072,0.413265306122449,0.5051020408163265,0.5077720207253886,0.4114583333333333,0.4213197969543147,0.5104166666666666
sonnet-4.5,0.115,0.11,0.165,0.08,0.12,0.17,0.23,0.12,0.19,0.09,0.245,0.125,,0.115,0.125,0.18,0.395,0.245,0.28,0.37,0.25,0.105,0.12,0.12
opus-4.1,0.4120603015075377,0.4371859296482412,0.34673366834170855,0.43,0.465,0.375,0.505,0.425,0.5025125628140703,0.4321608040201005,0.475,0.405,0.435,,0.445,0.435,0.51,0.48743718592964824,0.49748743718592964,0.51,0.505,0.45,0.41,0.4723618090452261
gemini-2.0-flash-lite,0.66,0.765,0.72,0.655,0.745,0.805,0.605,0.69,0.55,0.71,0.555,0.615,0.72,0.76,,0.72,0.54,0.545,0.58,0.6,0.65,0.715,0.74,0.755
gemini-2.0-flash,0.655,0.59,0.705,0.655,0.65,0.68,0.55,0.575,0.54,0.615,0.545,0.56,0.6,0.62,0.6414141414141414,,0.54,0.52,0.53,0.53,0.535,0.755,0.7,0.635
ll-3.1-8b,0.91,0.955,0.91,0.835,0.87,0.92,0.91,0.915,0.92,0.905,0.92,0.945,0.945,0.925,0.915,0.89,,0.96,0.95,0.945,0.925,0.88,0.895,0.89
ll-3.1-70b,0.95,0.945,0.95,0.92,0.955,0.96,0.94,0.93,0.965,0.945,0.95,0.975,0.95,0.955,0.945,0.95,0.93,,0.965,0.97,0.96,0.945,0.945,0.95
ll-3.1-405b,0.695,0.825,0.775,0.785,0.8535353535353535,0.815,0.755,0.725,0.78,0.73,0.735,0.8,0.785,0.76,0.735,0.71,0.695,0.815,,0.765,0.785,0.785,0.76,0.575
qwen-2.5-7b,0.945,0.96,0.975,0.955,0.96,0.97,0.975,0.945,0.955,0.955,0.965,0.965,0.955,0.955,0.965,0.96,0.875,0.965,0.935,,0.965,0.94,0.96,0.96
qwen-2.5-72b,0.96,0.97,0.975,0.96,0.97,0.97,0.98,0.965,0.97,0.97,0.975,0.975,0.97,0.965,0.965,0.955,0.805,0.92,0.92,0.95,,0.965,0.965,0.96
qwen-3.0-80b,0.665,0.625,0.715,0.68,0.695,0.71,0.525,0.535,0.52,0.57,0.525,0.54,0.645,0.645,0.635,0.69,0.51,0.52,0.525,0.515,0.555,,0.725,0.725
deepseek-3.1,0.69,0.665,0.685,0.725,0.81,0.765,0.58,0.61,0.58,0.705,0.585,0.63,0.68,0.715,0.715,0.76,0.53,0.535,0.535,0.56,0.615,0.775,,0.79
kimi-k2,0.82,0.7839195979899497,0.7738693467336684,0.8,0.77,0.7738693467336684,0.665,0.797979797979798,0.71,0.795,0.72,0.765,0.795,0.8,0.755,0.82,0.585,0.62,0.615,0.605,0.695,0.84,0.8391959798994975,
