evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,0.14800580076020603,0.013130355940531638,0.4367534895513279,2.6528755595268727e-05,0.0036349479525299325,3.547178174130631e-06,0.00016418525031640068,2.579201364431024e-09,0.019396944540338436,1.9843700887411167e-19,7.086525758599002e-06,3.518157850375524e-08,4.9729734792135474e-05,7.086525758599002e-06,0.028125407232926447,2.303221098810145e-37,2.2139771125184135e-21,1.818080038171794e-23,3.3840159775152846e-18,1.5280548809315418e-10,0.0004994264864177523,0.0014016905787957862,8.393020875604775e-13
opus-4.1-thinking,2.0315945360449565e-06,,0.08694889972991102,8.959402428981857e-08,3.1581898207733166e-10,0.08694889972991102,1.5702617754687068e-08,0.5118423084381691,3.011590962911926e-05,0.0022325516199429235,3.011590962911926e-05,0.14800580076020603,0.5118423084381691,0.14800580076020603,0.011928139715763179,0.011928139715763179,3.169950413273171e-12,3.1581898207733166e-10,3.1581898207733166e-10,3.496476719266895e-11,4.5166191631196295e-07,3.011590962911926e-05,0.024746035842440804,2.4021645783633976e-09
gemini-2.5-pro-thinking,0.10363903843785756,3.169950413273171e-12,,0.028125407232926447,1.5280548809315418e-10,7.086525758599002e-06,2.501776602005736e-56,3.2380445534845885e-51,2.501776602005736e-56,8.113775994575524e-42,2.501652141700179e-58,1.659679419208622e-54,2.8853963271389072e-27,1.5864176725511623e-39,1.595273675439492e-31,1.5280548809315418e-10,2.501652141700179e-58,2.501652141700179e-58,2.501652141700179e-58,2.501776602005736e-56,8.216676583874543e-53,8.026905991184951e-08,2.3971559589524633e-15,8.32791304839136e-07
qwen-3.0-80b-thinking,0.0036349479525299325,8.219663963332515e-06,0.0014016905787957862,,1.5280548809315418e-10,8.32791304839136e-07,2.567529911241726e-35,1.074224337388063e-25,2.5089767668245594e-36,1.818080038171794e-23,2.255860572918924e-33,1.9469657355817759e-32,1.0241023451092756e-20,3.3840159775152846e-18,1.074224337388063e-25,2.7087202681654102e-14,1.0580407265197449e-49,7.152472728108974e-47,1.1804539068010893e-40,7.152472728108974e-47,1.5864176725511623e-39,1.3857451572364532e-05,1.0241023451092756e-20,1.7903211442481548e-07
deepseek-r1-thinking,3.904467779916419e-07,0.23704711476271959,9.129815585318678e-05,6.307981725354878e-09,,0.10363903843785756,1.3341607802802957e-17,2.579201364431024e-09,6.17313535621387e-25,8.32791304839136e-07,1.796785446116057e-26,2.0554776988442582e-11,0.0004994264864177523,0.008722501247447119,8.026905991184951e-08,0.040037191613399414,3.2380445534845885e-51,1.9794233967752223e-38,2.4758428158072635e-34,6.551477846194491e-29,1.0241023451092756e-20,0.35800309062450253,0.07683763213126038,0.10363903843785756
kimi-k2-thinking,0.013130355940531638,0.0022325516199429235,0.620728928096832,0.4367534895513279,0.07683763213126038,,4.443048372394473e-28,3.3840159775152846e-18,1.595273675439492e-31,2.579201364431024e-09,2.567529911241726e-35,1.074224337388063e-25,4.0153927932332665e-10,1.5280548809315418e-10,1.507061557352626e-08,0.013130355940531638,7.152472728108974e-47,2.9477076042968534e-44,5.12121787597151e-43,5.12121787597151e-43,1.9469657355817759e-32,0.1789640395332512,0.0014016905787957862,0.0008450699446919163
gpt-4o-mini,0.5246223557223147,0.5246223557223147,0.620728928096832,0.005685155996750306,0.5246223557223147,0.35800309062450253,,0.620728928096832,0.9436515209907435,1.0,0.22924659725971616,0.7237710263128071,0.8320703744377614,0.5246223557223147,0.8320703744377614,0.7237710263128071,3.547178174130631e-06,0.35800309062450253,0.055965740494264664,0.5246223557223147,0.8320703744377614,0.2888204971747663,0.9436515209907435,0.9436515209907435
gpt-4.1-mini,1.0299193834837603e-09,1.0,7.261223938014485e-12,5.674278251460795e-11,0.07683763213126038,0.005685155996750306,0.22924659725971616,,4.9729734792135474e-05,0.019396944540338436,1.5280548809315418e-10,0.35800309062450253,0.9436515209907435,0.35800309062450253,0.22924659725971616,0.0014016905787957862,4.443048372394473e-28,2.0554776988442582e-11,4.0153927932332665e-10,2.7087202681654102e-14,0.008722501247447119,3.547178174130631e-06,0.0008450699446919163,0.07683763213126038
gpt-4o,0.07683763213126038,0.620728928096832,0.2888204971747663,0.008722501247447119,0.9436515209907435,0.35800309062450253,0.9436515209907435,0.35800309062450253,,0.7237710263128071,0.008722501247447119,1.0,0.8320703744377614,0.8320703744377614,0.7237710263128071,0.9436515209907435,2.74428563600153e-13,0.0022794385018057297,0.13736665086863098,0.013130355940531638,0.35800309062450253,0.620728928096832,0.7237710263128071,0.028125407232926447
gpt-4.1,0.9436515209907435,0.8320703744377614,0.7237710263128071,1.0,0.2888204971747663,0.9436515209907435,0.4367534895513279,1.0,0.4367534895513279,,0.008722501247447119,0.7237710263128071,1.0,1.0,0.1789640395332512,0.4367534895513279,1.074224337388063e-25,8.026905991184951e-08,2.6528755595268727e-05,2.0554776988442582e-11,0.055965740494264664,0.5246223557223147,0.35800309062450253,0.35800309062450253
