evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,,0.4137931034482758,0.14764705882352935,0.135,0.029999999999999916,0.01264259549973834,0.1416666666666665,0.08196078431372555,0.14352142857142858,0.08999999999999997,0.030000000000000027,0.404301593514118,0.19872549019607844,0.4669567827130854,0.11027586206896556,0.09686274509803927,0.36,0.33499999999999996,0.43499999999999994,0.28500000000000003,0.2456551724137931,0.06000000000000005,0.08500000000000008,0.238843537414966
opus-4.1-thinking,0.4137931034482758,,0.5517241379310346,0.6338742393509128,0.48275862068965514,0.3275862068965517,0.3370689655172413,0.051724137931034475,0.2550620689655173,0.21216362407031786,0.1008620689655172,0.24191425535731537,0.061724137931034484,0.050795214637579134,0.26741379310344826,0.5024137931034482,0.39603448275862085,0.39155172413793105,0.27155172413793105,0.4027789046653144,0.3175862068965517,0.5808620689655173,0.3701724137931034,0.47064722440700424
gemini-2.5-pro-thinking,0.14764705882352935,0.5517241379310346,,0.19499999999999995,0.08499999999999996,0.1395945205479453,0.47,0.235,0.4519129251700681,0.45499999999999996,0.18499999999999994,0.4656,0.26,0.49784313725490204,0.1399999999999999,0.06999999999999995,0.4049999999999999,0.45499999999999996,0.32999999999999996,0.46499999999999997,0.475,0.2749999999999999,0.05999999999999994,0.18274509803921568
qwen-3.0-80b-thinking,0.135,0.6338742393509128,0.19499999999999995,,0.01892156862745087,0.145491539081386,0.3086,0.12392156862745096,0.3192156862745098,0.33999999999999997,0.15500000000000003,0.355,0.33999999999999997,0.5584313725490196,0.08999999999999997,0.028529411764705914,0.31499999999999995,0.41950980392156856,0.3500000000000001,0.42470588235294127,0.41931372549019597,0.01303921568627453,0.10392156862745072,0.265
deepseek-r1-thinking,0.02999999999999997,0.48275862068965514,0.08499999999999996,0.018921568627450924,,0.006773618538324422,0.27,0.14500000000000002,0.345,0.21499999999999997,0.10499999999999998,0.41000000000000003,0.135,0.49754901960784315,0.06499999999999995,0.15499999999999992,0.345,0.41000000000000003,0.3482520547945206,0.33499999999999996,0.31999999999999995,0.15000000000000008,0.06499999999999995,0.03999999999999998
kimi-k2-thinking,0.01264259549973834,0.3275862068965517,0.13959452054794524,0.14549153908138607,0.006773618538324366,,0.3350000000000001,0.20000000000000007,0.3567927170868346,0.21382352941176463,0.164625850340136,0.6642857142857143,0.12940229885057464,0.32999999999999996,0.11544827586206896,0.1688611334944936,0.3899999999999999,0.4388299319727892,0.37979591836734683,0.42431372549019597,0.37431372549019615,0.13772108843537412,0.08917405318291705,0.11357981548783902
gpt-4o-mini,0.1416666666666665,0.3370689655172413,0.47,0.3086,0.27,0.335,,0.06500000000000006,0.01041666666666663,0.030000000000000027,0.015000000000000013,0.2461724137931035,0.19999999999999996,0.44999999999999996,0.345,0.405,0.10499999999999998,0.004999999999999893,0.04500000000000004,0.029999999999999916,0.010000000000000009,0.425,0.395,0.29000000000000004
gpt-4.1-mini,0.0819607843137255,0.051724137931034475,0.235,0.12392156862745096,0.14499999999999996,0.20000000000000007,0.06500000000000006,,0.1780781627719582,0.08500000000000002,0.07999999999999996,0.1921917808219178,0.05500000000000005,0.26000000000000006,0.15499999999999997,0.26,0.3350000000000001,0.21499999999999997,0.08499999999999996,0.26,0.09999999999999998,0.26000000000000006,0.19000000000000006,0.06636454581832735
gpt-4o,0.14352142857142863,0.25506206896551725,0.4519129251700681,0.3192156862745098,0.345,0.35679271708683463,0.01041666666666663,0.1780781627719582,,0.04270424836601305,0.03362721088435372,0.2550403241366005,0.16960000000000003,0.4192117647058824,0.3647945205479452,0.42499799919967984,0.2136,0.0943931972789116,0.043983561643835656,0.08425714285714281,0.03587397260273972,0.4396,0.3774489795918367,0.33079999999999987
gpt-4.1,0.08999999999999997,0.21216362407031786,0.45499999999999996,0.33999999999999997,0.21499999999999997,0.21382352941176463,0.030000000000000027,0.08499999999999996,0.04270424836601305,,0.1100000000000001,0.17931232876712333,0.040000000000000036,0.2940196078431373,0.19000000000000006,0.33499999999999996,0.30000000000000004,0.17499999999999993,0.009999999999999898,0.24,0.06999999999999995,0.42500000000000004,0.25,0.13
haiku-3.5,0.030000000000000054,0.10086206896551725,0.185,0.15500000000000003,0.10499999999999998,0.164625850340136,0.014999999999999958,0.07999999999999996,0.033627210884353775,0.11000000000000004,,0.1388775510204081,0.03999999999999998,0.13999999999999996,0.15499999999999997,0.14500000000000005,0.16999999999999993,0.040000000000000036,0.12499999999999989,0.010000000000000009,0.07,0.19999999999999996,0.1,0.09500000000000003
sonnet-3.7,0.404301593514118,0.24191425535731537,0.4656,0.35500000000000004,0.41000000000000003,0.6642857142857143,0.2461724137931035,0.1921917808219178,0.2550403241366005,0.17931232876712327,0.1388775510204081,,0.2979784501213073,0.3700372976776918,0.16506896551724137,0.29869863013698633,0.08802222222222222,0.0971611111111112,0.17245300878972275,0.03567397260273969,0.17889080459770113,0.5284651504035217,0.2682653061224489,0.6429211267605633
sonnet-4.5,0.19872549019607844,0.061724137931034484,0.26,0.33999999999999997,0.135,0.1294022988505747,0.19999999999999996,0.05500000000000005,0.16960000000000008,0.040000000000000036,0.039999999999999925,0.2979784501213073,,0.03999999999999998,0.11499999999999999,0.19,0.3400000000000001,0.21499999999999997,0.20500000000000007,0.33499999999999996,0.21999999999999997,0.32999999999999996,0.17000000000000004,0.11499999999999999
opus-4.1,0.4669567827130854,0.05079521463757908,0.49784313725490204,0.5584313725490196,0.49754901960784315,0.32999999999999996,0.44999999999999996,0.2600000000000001,0.4192117647058824,0.2940196078431373,0.1399999999999999,0.3700372976776918,0.040000000000000036,,0.365,0.46499999999999997,0.43500000000000005,0.44990196078431366,0.29500000000000004,0.44500000000000006,0.45999999999999996,0.635,0.4750000000000001,0.4695098039215688
gemini-2.0-flash-lite,0.11027586206896553,0.26741379310344826,0.1399999999999999,0.08999999999999997,0.06499999999999995,0.1154482758620689,0.345,0.15500000000000003,0.36479452054794514,0.19000000000000006,0.15500000000000003,0.16506896551724137,0.11499999999999999,0.365,,0.03732876712328764,0.3550000000000001,0.38,0.235,0.31499999999999995,0.28500000000000003,0.12999999999999995,0.175,0.08000000000000007
gemini-2.0-flash,0.09686274509803922,0.5024137931034482,0.06999999999999995,0.028529411764705914,0.15499999999999992,0.1688611334944936,0.405,0.26,0.42499799919967984,0.33499999999999996,0.14500000000000002,0.2986986301369864,0.18999999999999995,0.46499999999999997,0.0373287671232877,,0.35,0.41999999999999993,0.24,0.4099999999999999,0.4,0.20500000000000002,0.27,0.33499999999999996
ll-3.1-8b,0.36000000000000004,0.3960344827586208,0.40499999999999997,0.31499999999999995,0.345,0.38999999999999996,0.10500000000000004,0.335,0.21360000000000007,0.3,0.16999999999999993,0.08802222222222222,0.34,0.435,0.35500000000000004,0.35,,0.020000000000000018,0.235,0.07,0.15000000000000002,0.38,0.37499999999999994,0.35500000000000004
