evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,0.23164663125524182,0.7855172413793103,0.8113888888888888,0.6974482758620689,0.7847871148459383,0.8657442528735632,0.8630361305361305,0.8134293706293707,0.885430985915493,0.7849300699300699,0.8655319148936171,0.8557191827780062,0.8398094449047224,0.8269444444444445,0.8206293706293707,0.784452614379085,0.9687712878254748,0.9358421985815601,0.91735,0.8975524475524476,0.8534931506849316,0.6791142857142858,0.8316876712328767,0.9039278320023663
opus-4.1-thinking,0.955,0.38620689655172413,0.895,0.975,0.975,0.7574,0.985,0.73,0.95,0.8,0.71,0.46,0.475,0.42,0.8944117647058824,0.885,0.98,0.94,0.9094,0.98,0.96,0.97,0.87,0.9248039215686275
gemini-2.5-pro-thinking,0.065,0.06896551724137931,1.0,0.02,0.03,0.02,0.1,0.015,0.025,0.015,0.105,0.03,0.025,0.0,0.04,0.02,0.665,0.25,0.195,0.48,0.155,0.035,0.04,0.015
qwen-3.0-80b-thinking,0.09183156453269428,0.1593466424682396,0.03803252032520325,0.9605653594771241,0.11996265172735761,0.05224237063246351,0.12116206357477853,0.030452771272443405,0.029432185937040306,0.0355889724310777,0.1433986928104575,0.09003448275862068,0.05419468248736542,0.06404923599320883,0.07142857142857142,0.054209092813743975,0.8321212121212122,0.38367701863354037,0.25803508771929823,0.4686078531361551,0.23266666666666666,0.03509333333333333,0.051965811965811966,0.09281792717086834
deepseek-r1-thinking,0.08,0.08620689655172414,0.03,0.055,0.89,0.03,0.105,0.03010204081632653,0.065,0.020310344827586205,0.11,0.07030612244897959,0.055,0.055,0.085,0.075,0.59,0.26929251700680273,0.18136986301369862,0.3485616438356164,0.15071428571428572,0.05,0.06523809523809523,0.10561224489795919
kimi-k2-thinking,0.3125571504518873,0.2443140132061629,0.1348358208955224,0.2928199428389965,0.23031474820143885,0.8520289855072464,0.38733695652173916,0.17810212765957445,0.3834153846153846,0.1715151515151515,0.407158273381295,0.24462780795771544,0.199020979020979,0.13372079266489206,0.24853682487725037,0.21206640876853644,0.85062114356232,0.5761736694677871,0.6081722199369257,0.641159420289855,0.458,0.2785984848484848,0.17510314185972706,0.29032608695652173
gpt-4o-mini,0.45,0.315,0.215,0.255,0.33,0.33,0.815,0.205,0.235,0.225,0.41,0.4,0.41,0.38,0.205,0.325,0.67,0.425,0.385,0.34,0.23,0.325,0.26,0.595
gpt-4.1-mini,0.015,0.025,0.025,0.015,0.06,0.055,0.035,0.985,0.02,0.005,0.055,0.015,0.035,0.03,0.02,0.045,0.475,0.17,0.12,0.29,0.075,0.045,0.055,0.14
gpt-4o,0.15371732026143792,0.09047619047619047,0.11078431372549019,0.08766666666666666,0.09588235294117649,0.11547619047619047,0.055,0.03534246575342466,0.955,0.020068027210884357,0.09037414965986396,0.050272108843537416,0.08,0.07,0.12102739726027398,0.07054794520547945,0.39693877551020407,0.22849583669084073,0.17143835616438355,0.22,0.085,0.11109589041095891,0.1320467365028203,0.1991666666666667
gpt-4.1,0.525,0.665,0.705,0.625,0.695,0.605,0.715,0.405,0.66,0.58,0.76,0.675,0.65,0.635,0.695,0.71,0.95,0.895,0.845,0.815,0.795,0.615,0.675,0.68
