evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.3469387755102041,0.17346938775510204,0.45918367346938777,0.3979591836734694,0.3877551020408163,0.40816326530612246,,0.3673469387755102,0.47959183673469385,0.3877551020408163,0.4387755102040816,0.42857142857142855,0.3877551020408163,0.23469387755102042,0.5510204081632653,0.5918367346938775,0.6326530612244898,0.5408163265306123,0.5510204081632653,0.5816326530612245,0.47959183673469385,0.2755102040816326,0.5,0.5102040816326531
gpt-4.1-mini,0.5408163265306123,0.6020408163265306,0.6632653061224489,0.6632653061224489,0.7448979591836735,0.6632653061224489,0.9285714285714286,,0.9183673469387755,0.5,0.9285714285714286,0.9081632653061225,0.5,0.5510204081632653,0.9693877551020408,0.9693877551020408,0.9591836734693877,0.9285714285714286,0.8673469387755102,0.9591836734693877,0.9081632653061225,0.3163265306122449,0.9591836734693877,0.6836734693877551
gpt-4o,0.37755102040816324,0.14285714285714285,0.41836734693877553,0.5204081632653061,0.41836734693877553,0.4387755102040816,0.5102040816326531,0.41836734693877553,,0.35714285714285715,0.4387755102040816,0.4387755102040816,0.32653061224489793,0.2857142857142857,0.5306122448979592,0.5204081632653061,0.7551020408163265,0.5918367346938775,0.5612244897959183,0.5612244897959183,0.5102040816326531,0.37755102040816324,0.5,0.5408163265306123
gpt-4.1,0.5102040816326531,0.5,0.5,0.6326530612244898,0.5306122448979592,0.5102040816326531,0.5918367346938775,0.5,0.5918367346938775,,0.5408163265306123,0.5204081632653061,0.4897959183673469,0.4897959183673469,0.6122448979591837,0.6326530612244898,0.9285714285714286,0.7755102040816326,0.7346938775510204,0.7755102040816326,0.6122448979591837,0.5,0.5306122448979592,0.5816326530612245
haiku-3.5,0.3979591836734694,0.2653061224489796,0.3979591836734694,0.30612244897959184,0.4897959183673469,0.4387755102040816,0.5816326530612245,0.1836734693877551,0.5306122448979592,0.2857142857142857,,0.5204081632653061,0.3673469387755102,0.24489795918367346,0.6938775510204082,0.6428571428571429,0.8979591836734694,0.7244897959183674,0.7040816326530612,0.6326530612244898,0.6326530612244898,0.22448979591836735,0.6836734693877551,0.5918367346938775
sonnet-3.7,0.4482758620689655,0.24489795918367346,0.574796063517868,0.5051638549175494,0.5259238830667403,0.4468684025334272,0.6796956070563819,0.3543279380717804,0.6213055843806449,0.4230557087699945,0.452515469464622,,0.298858526461432,0.25265800635258767,0.7346938775510204,0.7120794263651405,0.7742869077455544,0.4495166487647691,0.45603597371151855,0.6733742891378359,0.6020408163265306,0.35671056599979895,0.6151242906690849,0.8098818474758326
sonnet-4.5,0.5102040816326531,0.5204081632653061,0.5714285714285714,0.6224489795918368,0.7857142857142857,0.5918367346938775,0.9795918367346939,0.6938775510204082,0.9489795918367347,0.673469387755102,0.9591836734693877,0.9183673469387755,,0.4897959183673469,0.9591836734693877,0.9081632653061225,0.9794188861985473,0.9489795918367347,0.9081632653061225,0.9795918367346939,0.9591836734693877,0.5,0.9285714285714286,0.8673469387755102
opus-4.1,0.8571428571428571,0.3979591836734694,0.8979591836734694,0.9183673469387755,0.9693877551020408,0.6836734693877551,1.0,0.9183673469387755,1.0,0.9081632653061225,0.9693877551020408,0.9692148045658943,0.5,,1.0,1.0,1.0,1.0,0.9897959183673469,1.0,1.0,0.7653061224489796,0.9693877551020408,0.9693877551020408
gemini-2.0-flash-lite,0.05102040816326531,0.030612244897959183,0.04081632653061224,0.08163265306122448,0.16326530612244897,0.02040816326530612,0.3979591836734694,0.04081632653061224,0.41836734693877553,0.04081632653061224,0.7346938775510204,0.41836734693877553,0.01020408163265306,0.0,,0.46938775510204084,0.5,0.35714285714285715,0.35714285714285715,0.7346938775510204,0.5510204081632653,0.02040816326530612,0.3673469387755102,0.24489795918367346
gemini-2.0-flash,0.07142857142857142,0.030612244897959183,0.09183673469387756,0.10204081632653061,0.3469387755102041,0.07142857142857142,0.4387755102040816,0.04081632653061224,0.40816326530612246,0.061224489795918366,0.6020408163265306,0.4387755102040816,0.030612244897959183,0.030612244897959183,0.5510204081632653,,0.5714285714285714,0.4489795918367347,0.3877551020408163,0.6836734693877551,0.47959183673469385,0.030612244897959183,0.4387755102040816,0.37755102040816324
