evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,0.826530612244898,0.673469387755102,0.9591836734693877,0.8571428571428571,0.8673469387755102,0.9081632653061225,,0.8673469387755102,0.9387755102040817,0.8877551020408163,0.8979591836734694,0.8877551020408163,0.8877551020408163,0.7346938775510204,0.9081632653061225,0.8877551020408163,0.8469387755102041,0.9387755102040817,0.9285714285714286,0.9183673469387755,0.9591836734693877,0.7755102040816326,0.9795918367346939,0.9489795918367347
gpt-4.1-mini,0.8163265306122449,0.7959183673469388,0.7755102040816326,0.7755102040816326,0.7551020408163265,0.7142857142857143,0.5714285714285714,,0.5816326530612245,0.7959183673469388,0.5714285714285714,0.5918367346938775,0.7346938775510204,0.8061224489795918,0.5306122448979592,0.5306122448979592,0.5408163265306123,0.5714285714285714,0.6326530612244898,0.5408163265306123,0.5918367346938775,0.7551020408163265,0.5408163265306123,0.7959183673469388
gpt-4o,0.8367346938775511,0.6428571428571429,0.9183673469387755,0.8163265306122449,0.8979591836734694,0.9183673469387755,0.9897959183673469,0.9183673469387755,,0.8571428571428571,0.8775510204081632,0.9183673469387755,0.826530612244898,0.7857142857142857,0.9489795918367347,0.9183673469387755,0.7448979591836735,0.9081632653061225,0.9387755102040817,0.9183673469387755,0.9489795918367347,0.8367346938775511,0.9591836734693877,0.9591836734693877
gpt-4.1,0.9897959183673469,1.0,1.0,0.8673469387755102,0.9489795918367347,0.9897959183673469,0.9081632653061225,1.0,0.9081632653061225,,0.9591836734693877,0.9795918367346939,0.9897959183673469,0.9897959183673469,0.8877551020408163,0.8673469387755102,0.5714285714285714,0.7244897959183674,0.7653061224489796,0.7244897959183674,0.8877551020408163,1.0,0.9693877551020408,0.9183673469387755
haiku-3.5,0.2653061224489796,0.25510204081632654,0.2857142857142857,0.3979591836734694,0.2755102040816326,0.2653061224489796,0.32653061224489793,0.35714285714285715,0.3163265306122449,0.2755102040816326,,0.30612244897959184,0.29591836734693877,0.37755102040816324,0.35714285714285715,0.2857142857142857,0.41836734693877553,0.32653061224489793,0.30612244897959184,0.3163265306122449,0.29591836734693877,0.3163265306122449,0.3673469387755102,0.2755102040816326
sonnet-3.7,0.4479166666666667,0.6428571428571429,0.574468085106383,0.6105263157894737,0.6288659793814433,0.6145833333333334,0.5051546391752577,0.5833333333333334,0.6105263157894737,0.5979381443298969,0.6947368421052632,,0.5670103092783505,0.6,0.47959183673469385,0.4948453608247423,0.45161290322580644,0.43157894736842106,0.39361702127659576,0.6210526315789474,0.5918367346938775,0.5806451612903226,0.53125,0.4842105263157895
sonnet-4.5,0.030612244897959183,0.04081632653061224,0.09183673469387756,0.12244897959183673,0.2857142857142857,0.11224489795918367,0.47959183673469385,0.25510204081632654,0.4489795918367347,0.25510204081632654,0.45918367346938777,0.41836734693877553,,0.15306122448979592,0.45918367346938777,0.40816326530612246,0.4742268041237113,0.4489795918367347,0.40816326530612246,0.47959183673469385,0.45918367346938777,0.12244897959183673,0.42857142857142855,0.3673469387755102
opus-4.1,0.45918367346938777,0.1836734693877551,0.5204081632653061,0.5,0.4897959183673469,0.3877551020408163,0.5,0.47959183673469385,0.5,0.5102040816326531,0.4897959183673469,0.4639175257731959,0.3877551020408163,,0.5,0.5,0.4948453608247423,0.5,0.4897959183673469,0.5,0.5,0.3877551020408163,0.4897959183673469,0.5102040816326531
gemini-2.0-flash-lite,0.5306122448979592,0.5102040816326531,0.47959183673469385,0.5204081632653061,0.5,0.5204081632653061,0.5306122448979592,0.5,0.46938775510204084,0.5204081632653061,0.45918367346938777,0.5102040816326531,0.4897959183673469,0.5,,0.5,0.5102040816326531,0.4897959183673469,0.5102040816326531,0.4387755102040816,0.45918367346938777,0.5,0.47959183673469385,0.41836734693877553
gemini-2.0-flash,0.5510204081632653,0.5306122448979592,0.4897959183673469,0.5204081632653061,0.6428571428571429,0.5102040816326531,0.5510204081632653,0.47959183673469385,0.5,0.47959183673469385,0.6530612244897959,0.5918367346938775,0.5102040816326531,0.4897959183673469,0.3979591836734694,,0.47959183673469385,0.47959183673469385,0.47959183673469385,0.5714285714285714,0.5306122448979592,0.4897959183673469,0.5918367346938775,0.5510204081632653
ll-3.1-8b,0.8673469387755102,0.8775510204081632,0.9183673469387755,0.8367346938775511,0.9081632653061225,0.8775510204081632,0.9183673469387755,0.8673469387755102,0.9183673469387755,0.9081632653061225,0.9081632653061225,0.9285714285714286,0.8571428571428571,0.8877551020408163,0.9183673469387755,0.9387755102040817,,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9081632653061225,0.8469387755102041,0.9183673469387755,0.9183673469387755
ll-3.1-70b,0.9285714285714286,0.7959183673469388,0.9183673469387755,0.8163265306122449,0.8877551020408163,0.8673469387755102,0.9285714285714286,0.7346938775510204,0.8979591836734694,0.7857142857142857,0.7142857142857143,0.8163265306122449,0.6836734693877551,0.7142857142857143,0.8469387755102041,0.8469387755102041,0.8673469387755102,,0.9081632653061225,0.7755102040816326,0.8469387755102041,0.7346938775510204,0.8877551020408163,0.8979591836734694
ll-3.1-405b,0.7857142857142857,0.5816326530612245,0.7959183673469388,0.7040816326530612,0.826530612244898,0.7653061224489796,0.8775510204081632,0.7040816326530612,0.9285714285714286,0.6938775510204082,0.7448979591836735,0.8163265306122449,0.5918367346938775,0.5816326530612245,0.7653061224489796,0.7755102040816326,0.7448979591836735,0.7755102040816326,,0.7142857142857143,0.8775510204081632,0.6122448979591837,0.7857142857142857,0.7142857142857143
qwen-2.5-7b,0.9693877551020408,0.9693877551020408,0.9795918367346939,0.9693877551020408,0.9693877551020408,0.9591836734693877,0.9897959183673469,0.9693877551020408,0.9897959183673469,0.9591836734693877,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9795918367346939,0.9489795918367347,0.9795918367346939,0.9387755102040817,0.9693877551020408,0.9795918367346939,,0.9897959183673469,0.9489795918367347,0.9693877551020408,0.9795918367346939
qwen-2.5-72b,0.9387755102040817,0.9183673469387755,0.9387755102040817,0.9081632653061225,0.8877551020408163,0.9387755102040817,0.8469387755102041,0.7346938775510204,0.8877551020408163,0.7755102040816326,0.8367346938775511,0.8469387755102041,0.8367346938775511,0.826530612244898,0.673469387755102,0.7346938775510204,0.7142857142857143,0.7755102040816326,0.8469387755102041,0.8163265306122449,,0.8469387755102041,0.8163265306122449,0.7857142857142857
qwen-3.0-80b,0.4387755102040816,0.35714285714285715,0.4897959183673469,0.4489795918367347,0.42857142857142855,0.4897959183673469,0.5,0.5,0.5,0.47959183673469385,0.5,0.5,0.45918367346938777,0.4489795918367347,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5204081632653061
